Country,Player,Post
Russie,Igor Akinfeev ,Gardien de but
Russie,Andrey Lunev,Gardien de but
Russie,Vladimir Gabulov,Gardien de but
Russie,Andrey Semenov,Défenseur central
Russie,Ilya Kutepov,Défenseur central
Russie,Vladimir Granat,Défenseur central
Russie,Sergey Ignashevich,Défenseur central
Russie,Fedor Kudryashov,Arrière gauche
Russie,Mário Fernandes,Arrière droit
Russie,Igor Smolnikov,Arrière droit
Russie,Aleksandr Golovin,Milieu central
Russie,Alan Dzagoev,Milieu central
Russie,Roman Zobnin,Milieu central
Russie,Daler Kuzyaev,Milieu central
Russie,Yuri Gazinskiy,Milieu central
Russie,Yuri Zhirkov,Milieu gauche
Russie,Aleksey Miranchuk,Milieu offensif
Russie,Anton Miranchuk,Milieu offensif
Russie,Aleksandr Erokhin,Milieu offensif
Russie,Denis Cheryshev,Ailier gauche
Russie,Aleksandr Samedov,Ailier droit
Russie,Fedor Smolov,Avant centre
Russie,Artem Dzyuba,Avant centre
Arabie,Mohammed Al-Owais,Gardien de but
Arabie,Yasser Al-Mosailem,Gardien de but
Arabie,Abdullah Al-Muaiouf,Gardien de but
Arabie,Motaz Hawsawi,Défenseur central
Arabie,Omar Hawsawi,Défenseur central
Arabie,Osama Hawsawi,Défenseur central
Arabie,Ali Al-Boleahi,Défenseur central
Arabie,Yasir Al-Shahrani,Arrière gauche
Arabie,Mansour Al-Harbi,Arrière gauche
Arabie,Mohammed Al-Burayk,Arrière droit
Arabie,Abdullah Ateef,Milieu défensif
Arabie,Abdulmalek Al-Khaibri,Milieu défensif
Arabie,Abdullah Al-Khaibari,Milieu défensif
Arabie,Salman Al-Faraj,Milieu central
Arabie,Hussein Al-Moghawi,Milieu central
Arabie,Taisir Al-Jassim,Milieu central
Arabie,Mohamed Kanno,Milieu central
Arabie,Hattan Bahbir,Milieu offensif
Arabie,Yahya Al-Shehri,Milieu offensif
Arabie,Fahad Al-Muwallad,Ailier droit
Arabie,Salem Al-Dawsari,Ailier droit
Arabie,Muhannad Asiri,Avant centre
Arabie,Mohammed Al-Sahlawi,Avant centre
Portugal,Anthony Lopes,Gardien de but
Portugal,Rui Patrício .,Gardien de but
Portugal,Beto,Gardien de but
Portugal,Rúben Dias,Défenseur central
Portugal,Pepe,Défenseur central
Portugal,José Fonte,Défenseur central
Portugal,Bruno Alves,Défenseur central
Portugal,Raphaël Guerreiro,Arrière gauche
Portugal,Mário Rui,Arrière gauche
Portugal,Cédric Soares,Arrière droit
Portugal,Ricardo Pereira,Arrière droit
Portugal,William Carvalho,Milieu défensif
Portugal,Adrien Silva,Milieu central
Portugal,João Moutinho,Milieu central
Portugal,Manuel Fernandes,Milieu central
Portugal,João Mário,Milieu offensif
Portugal,Bruno Fernandes,Milieu offensif
Portugal,Gonçalo Guedes,Ailier gauche
Portugal,Bernardo Silva,Ailier droit
Portugal,Gelson Martins,Ailier droit
Portugal,Ricardo Quaresma,Ailier droit
Portugal,Cristiano Ronaldo ,Avant centre
Portugal,André Silva,Avant centre
Espagne,David de Gea,Gardien de but
Espagne,Kepa Arrizabalaga,Gardien de but
Espagne,Pepe Reina,Gardien de but
Espagne,Gerard Piqué,Défenseur central
Espagne,Sergio Ramos ,Défenseur central
Espagne,Nacho Fernández,Défenseur central
Espagne,Jordi Alba,Arrière gauche
Espagne,Nacho Monreal,Arrière gauche
Espagne,Daniel Carvajal ,Arrière droit
Espagne,César Azpilicueta,Arrière droit
Espagne,Álvaro Odriozola,Arrière droit
Espagne,Sergio Busquets ,Milieu défensif
Espagne,Saúl Ñíguez,Milieu central
Espagne,Koke,Milieu central
Espagne,Thiago,Milieu central
Espagne,Andrés Iniesta,Milieu central
Espagne,Isco,Milieu offensif
Espagne,David Silva,Milieu offensif
Espagne,Marco Asensio .,Ailier gauche
Espagne,Lucas Vázquez,Ailier droit
Espagne,Iago Aspas,Ailier droit
Espagne,Diego Costa .,Avant centre
Espagne,Rodrigo,Avant centre
France,Hugo Lloris ,Gardien de but
France,Alphonse Areola,Gardien de but
France,Steve Mandanda,Gardien de but
France,Raphaël Varane,Défenseur central
France,Samuel Umtiti,Défenseur central
France,Benjamin Pavard,Défenseur central
France,Presnel Kimpembe .,Défenseur central
France,Adil Rami,Défenseur central
France,Benjamin Mendy,Arrière gauche
France,Lucas Hernández ,Arrière gauche
France,Djibril Sidibé,Arrière droit
France,N'Golo Kanté .,Milieu défensif
France,Steven Nzonzi,Milieu défensif
France,Paul Pogba .,Milieu central
France,Corentin Tolisso,Milieu central
France,Blaise Matuidi,Milieu central
France,Nabil Fekir,Milieu offensif
France,Thomas Lemar,Ailier gauche
France,Kylian Mbappé .,Ailier droit
France,Ousmane Dembélé,Ailier droit
France,Florian Thauvin,Ailier droit
France,Antoine Griezmann,Avant centre
France,Olivier Giroud,Avant centre
Australie,Mathew Ryan,Gardien de but
Australie,Brad Jones,Gardien de but
Australie,Danny Vukovic,Gardien de but
Australie,Matthew Jurman,Défenseur central
Australie,Trent Sainsbury,Défenseur central
Australie,Milos Degenek ,Défenseur central
Australie,Aziz Behich,Arrière gauche
Australie,James Meredith,Arrière gauche
Australie,Joshua Risdon,Arrière droit
Australie,Mile Jedinak ,Milieu défensif
Australie,Jackson Irvine,Milieu défensif
Australie,Mark Milligan,Milieu défensif
Australie,Aaron Mooy,Milieu central
Australie,Massimo Luongo,Milieu central
Australie,Tom Rogic,Milieu offensif
Australie,Tim Cahill,Milieu offensif
Australie,Dimitri Petratos,Milieu offensif
Australie,Robbie Kruse,Ailier gauche
Australie,Mathew Leckie,Ailier droit
Australie,Daniel Arzani .,Ailier droit
Australie,Tomi Juric,Avant centre
Australie,Jamie Maclaren,Avant centre
Australie,Andrew Nabbout,Avant centre
Bresil,Alisson,Gardien de but
Bresil,Ederson,Gardien de but
Bresil,Cássio,Gardien de but
Bresil,Marquinhos,Défenseur central
Bresil,Thiago Silva,Défenseur central
Bresil,Miranda,Défenseur central
Bresil,Pedro Geromel,Défenseur central
Bresil,Marcelo,Arrière gauche
Bresil,Filipe Luís,Arrière gauche
Bresil,Danilo,Arrière droit
Bresil,Fágner,Arrière droit
Bresil,Casemiro,Milieu défensif
Bresil,Fernandinho,Milieu défensif
Bresil,Paulinho,Milieu central
Bresil,Fred,Milieu central
Bresil,Renato Augusto,Milieu central
Bresil,Neymar,Ailier gauche
Bresil,Philippe Coutinho,Ailier gauche
Bresil,Taison,Ailier gauche
Bresil,Douglas Costa,Ailier droit
Bresil,Willian,Ailier droit
Bresil,Roberto Firmino,Avant secondaire
Bresil,Gabriel Jesus,Avant centre
Suisse,Yann Sommer,Gardien de but
Suisse,Roman Bürki,Gardien de but
Suisse,Yvon Mvogo,Gardien de but
Suisse,Manuel Akanji,Défenseur central
Suisse,Fabian Schär,Défenseur central
Suisse,Johan Djourou,Défenseur central
Suisse,Ricardo Rodríguez,Arrière gauche
Suisse,François Moubandje,Arrière gauche
Suisse,Nico Elvedi,Arrière droit
Suisse,Michael Lang,Arrière droit
Suisse,Stephan Lichtsteiner,Arrière droit
Suisse,Granit Xhaka,Milieu défensif
Suisse,Denis Zakaria,Milieu défensif
Suisse,Gelson Fernandes ,Milieu défensif
Suisse,Valon Behrami,Milieu défensif
Suisse,Remo Freuler,Milieu central
Suisse,Blerim Dzemaili,Milieu central
Suisse,Steven Zuber,Milieu gauche
Suisse,Xherdan Shaqiri,Ailier droit
Suisse,Breel Embolo,Avant centre
Suisse,Haris Seferovic,Avant centre
Suisse,Josip Drmic,Avant centre
Suisse,Mario Gavranovic,Avant centre
Tunisie,Mouez Hassen,Gardien de but
Tunisie,Farouk Ben Mustapha,Gardien de but
Tunisie,Balbouli ,Gardien de but
Tunisie,Dylan Bronn,Défenseur central
Tunisie,Yohan Benalouane,Défenseur central
Tunisie,Yassine Meriah,Défenseur central
Tunisie,Syam Ben Youssef,Défenseur central
Tunisie,Rami Bedoui,Défenseur central
Tunisie,Oussama Haddadi,Arrière gauche
Tunisie,Ali Maâloul,Arrière gauche
