Code,Country,Player,Post,Post_Simple
RUS,Russie,Igor Akinfeev ,Gardien de but,Gardien
RUS,Russie,Andrey Lunev,Gardien de but,Gardien
RUS,Russie,Soslan Dzhanaev,Gardien de but,Gardien
RUS,Russie,Vladimir Gabulov,Gardien de but,Gardien
RUS,Russie,Andrey Semenov,Défenseur central,Défenseur
RUS,Russie,Roman Neustädter,Défenseur central,Défenseur
RUS,Russie,Ilya Kutepov,Défenseur central,Défenseur
RUS,Russie,Vladimir Granat,Défenseur central,Défenseur
RUS,Russie,Sergey Ignashevich,Défenseur central,Défenseur
RUS,Russie,Fedor Kudryashov,Arrière gauche,Défenseur
RUS,Russie,Konstantin Rausch,Arrière gauche,Défenseur
RUS,Russie,Mário Fernandes,Arrière droit,Défenseur
RUS,Russie,Igor Smolnikov,Arrière droit,Défenseur
RUS,Russie,Alan Dzagoev,Milieu central,Milieu
RUS,Russie,Aleksandr Golovin,Milieu central,Milieu
RUS,Russie,Roman Zobnin,Milieu central,Milieu
RUS,Russie,Daler Kuzyaev,Milieu central,Milieu
RUS,Russie,Yuri Gazinskiy,Milieu central,Milieu
RUS,Russie,Anton Miranchuk,Milieu central,Milieu
RUS,Russie,Aleksandr Tashaev,Milieu gauche,Milieu
RUS,Russie,Yuri Zhirkov,Milieu gauche,Milieu
RUS,Russie,Aleksey Miranchuk,Milieu offensif,Milieu
RUS,Russie,Aleksandr Erokhin,Milieu offensif,Milieu
RUS,Russie,Denis Cheryshev,Ailier gauche,Attaquant
RUS,Russie,Aleksandr Samedov,Ailier droit,Attaquant
RUS,Russie,Fedor Smolov,Avant centre,Attaquant
RUS,Russie,Artem Dzyuba,Avant centre,Attaquant
RUS,Russie,Fedor Chalov,Avant centre,Attaquant
ARA,Arabie,Yasser Al-Mosailem,Gardien de but,Gardien
ARA,Arabie,Abdullah Al-Muaiouf,Gardien de but,Gardien
ARA,Arabie,Mohammed Al-Owais,Gardien de but,Gardien
ARA,Arabie,Assaf Al Qarni,Gardien de but,Gardien
ARA,Arabie,Motaz Hawsawi,Défenseur central,Défenseur
ARA,Arabie,Osama Hawsawi,Défenseur central,Défenseur
ARA,Arabie,Omar Hawsawi,Défenseur central,Défenseur
ARA,Arabie,Mohammed Jahfali,Défenseur central,Défenseur
ARA,Arabie,Ali Al-Boleahi,Défenseur central,Défenseur
ARA,Arabie,Yasir Al-Shahrani,Arrière gauche,Défenseur
ARA,Arabie,Mansour Al-Harbi,Arrière gauche,Défenseur
ARA,Arabie,Mohammed Al-Burayk,Arrière droit,Défenseur
ARA,Arabie,Saeed Al-Mowalad,Arrière droit,Défenseur
ARA,Arabie,Abdullah Ateef,Milieu défensif,Milieu
ARA,Arabie,Abdulmalek Al-Khaibri,Milieu défensif,Milieu
ARA,Arabie,Abdullah Al-Khaibari,Milieu défensif,Milieu
ARA,Arabie,Salman Al-Faraj,Milieu central,Milieu
ARA,Arabie,Hussein Al Moghawi,Milieu central,Milieu
ARA,Arabie,Taisir Al-Jassim,Milieu central,Milieu
ARA,Arabie,Mohamed Kanu,Milieu central,Milieu
ARA,Arabie,Nawaf Al-Abed,Milieu offensif,Milieu
ARA,Arabie,Yahya Al-Shehri,Milieu offensif,Milieu
ARA,Arabie,Hattan Bahbir,Milieu offensif,Milieu
ARA,Arabie,Fahad Al-Muwallad,Ailier droit,Attaquant
ARA,Arabie,Salem Al-Dawsari,Ailier droit,Attaquant
ARA,Arabie,Mohammed Al-Kuwaykibi,Ailier droit,Attaquant
ARA,Arabie,Mohammed Al-Sahlawi,Avant centre,Attaquant
ARA,Arabie,Muhannad Asiri,Avant centre,Attaquant
POR,Portugal,Anthony Lopes,Gardien de but,Gardien
POR,Portugal,Rui Patrício,Gardien de but,Gardien
POR,Portugal,Beto XXXXX,Gardien de but,Gardien
POR,Portugal,Rúben Dias,Défenseur central,Défenseur
POR,Portugal,José Fonte,Défenseur central,Défenseur
POR,Portugal,Pepe XXXXX,Défenseur central,Défenseur
POR,Portugal,Bruno Alves,Défenseur central,Défenseur
POR,Portugal,Raphaël Guerreiro,Arrière gauche,Défenseur
POR,Portugal,Mário Rui,Arrière gauche,Défenseur
POR,Portugal,Cédric Soares,Arrière droit,Défenseur
POR,Portugal,Ricardo Pereira,Arrière droit,Défenseur
POR,Portugal,William Carvalho,Milieu défensif,Milieu
POR,Portugal,Adrien Silva,Milieu central,Milieu
POR,Portugal,João Moutinho,Milieu central,Milieu
POR,Portugal,Manuel Fernandes,Milieu central,Milieu
POR,Portugal,João Mário,Milieu offensif,Milieu
POR,Portugal,Bruno Fernandes,Milieu offensif,Milieu
POR,Portugal,Gonçalo Guedes,Ailier gauche,Attaquant
POR,Portugal,Bernardo Silva,Ailier droit,Attaquant
POR,Portugal,Gelson Martins,Ailier droit,Attaquant
POR,Portugal,Ricardo Quaresma,Ailier droit,Attaquant
POR,Portugal,Cristiano Ronaldo ,Avant centre,Attaquant
POR,Portugal,André Silva,Avant centre,Attaquant
"['SPA', 'ESP']",Espagne,David de Gea,Gardien de but,Gardien
"['SPA', 'ESP']",Espagne,Kepa Arrizabalaga,Gardien de but,Gardien
"['SPA', 'ESP']",Espagne,Pepe Reina,Gardien de but,Gardien
"['SPA', 'ESP']",Espagne,Gerard Piqué,Défenseur central,Défenseur
"['SPA', 'ESP']",Espagne,Sergio Ramos ,Défenseur central,Défenseur
"['SPA', 'ESP']",Espagne,César Azpilicueta,Défenseur central,Défenseur
"['SPA', 'ESP']",Espagne,Nacho Fernández,Défenseur central,Défenseur
"['SPA', 'ESP']",Espagne,Jordi Alba,Arrière gauche,Défenseur
"['SPA', 'ESP']",Espagne,Nacho Monreal,Arrière gauche,Défenseur
"['SPA', 'ESP']",Espagne,Daniel Carvajal ,Arrière droit,Défenseur
"['SPA', 'ESP']",Espagne,Álvaro Odriozola,Arrière droit,Défenseur
"['SPA', 'ESP']",Espagne,Sergio Busquets,Milieu défensif,Milieu
"['SPA', 'ESP']",Espagne,Saúl Ñíguez,Milieu central,Milieu
"['SPA', 'ESP']",Espagne,Koke,Milieu central,Milieu
"['SPA', 'ESP']",Espagne,Thiago,Milieu central,Milieu
"['SPA', 'ESP']",Espagne,Andrés Iniesta,Milieu central,Milieu
"['SPA', 'ESP']",Espagne,Isco,Milieu offensif,Milieu
"['SPA', 'ESP']",Espagne,David Silva,Milieu offensif,Milieu
"['SPA', 'ESP']",Espagne,Marco Asensio .,Ailier gauche,Attaquant
"['SPA', 'ESP']",Espagne,Lucas Vázquez,Ailier droit,Attaquant
"['SPA', 'ESP']",Espagne,Iago Aspas,Ailier droit,Attaquant
"['SPA', 'ESP']",Espagne,Diego Costa .,Avant centre,Attaquant
"['SPA', 'ESP']",Espagne,Rodrigo,Avant centre,Attaquant
FRA,France,Hugo Lloris ,Gardien de but,Gardien
FRA,France,Alphonse Areola,Gardien de but,Gardien
FRA,France,Steve Mandanda,Gardien de but,Gardien
FRA,France,Raphaël Varane,Défenseur central,Défenseur
FRA,France,Samuel Umtiti,Défenseur central,Défenseur
FRA,France,Benjamin Pavard,Défenseur central,Défenseur
FRA,France,Presnel Kimpembe,Défenseur central,Défenseur
FRA,France,Adil Rami,Défenseur central,Défenseur
FRA,France,Benjamin Mendy,Arrière gauche,Défenseur
FRA,France,Lucas Hernández ,Arrière gauche,Défenseur
FRA,France,Djibril Sidibé,Arrière droit,Défenseur
FRA,France,N'Golo Kanté,Milieu défensif,Milieu
FRA,France,Steven Nzonzi,Milieu défensif,Milieu
FRA,France,Paul Pogba,Milieu central,Milieu
FRA,France,Corentin Tolisso,Milieu central,Milieu
FRA,France,Blaise Matuidi,Milieu central,Milieu
FRA,France,Nabil Fekir,Milieu offensif,Milieu
FRA,France,Thomas Lemar,Ailier gauche,Attaquant
FRA,France,Kylian Mbappé .,Ailier droit,Attaquant
FRA,France,Ousmane Dembélé,Ailier droit,Attaquant
FRA,France,Florian Thauvin,Ailier droit,Attaquant
FRA,France,Antoine Griezmann,Avant centre,Attaquant
FRA,France,Olivier Giroud,Avant centre,Attaquant
AUS,Australie,Mathew Ryan,Gardien de but,Gardien
AUS,Australie,Brad Jones,Gardien de but,Gardien
AUS,Australie,Danny Vukovic,Gardien de but,Gardien
AUS,Australie,Matthew Jurman,Défenseur central,Défenseur
AUS,Australie,Trent Sainsbury,Défenseur central,Défenseur
AUS,Australie,Milos Degenek ,Défenseur central,Défenseur
AUS,Australie,Aziz Behich,Arrière gauche,Défenseur
AUS,Australie,James Meredith,Arrière gauche,Défenseur
AUS,Australie,Joshua Risdon,Arrière droit,Défenseur
AUS,Australie,Fran Karacic,Arrière droit,Défenseur
AUS,Australie,Mile Jedinak ,Milieu défensif,Milieu
AUS,Australie,Jackson Irvine,Milieu défensif,Milieu
AUS,Australie,Mark Milligan,Milieu défensif,Milieu
AUS,Australie,Aaron Mooy,Milieu central,Milieu
AUS,Australie,Massimo Luongo,Milieu central,Milieu
AUS,Australie,Joshua Brillante,Milieu central,Milieu
AUS,Australie,Tom Rogic,Milieu offensif,Milieu
AUS,Australie,James Troisi,Milieu offensif,Milieu
AUS,Australie,Tim Cahill,Milieu offensif,Milieu
AUS,Australie,Dimitri Petratos,Milieu offensif,Milieu
AUS,Australie,Robbie Kruse,Ailier gauche,Attaquant
AUS,Australie,Mathew Leckie,Ailier droit,Attaquant
AUS,Australie,Nikita Rukavytsya,Ailier droit,Attaquant
AUS,Australie,Andrew Nabbout ,Ailier droit,Attaquant
AUS,Australie,Daniel Arzani .,Ailier droit,Attaquant
AUS,Australie,Tomi Juric ,Avant centre,Attaquant
AUS,Australie,Jamie Maclaren,Avant centre,Attaquant
BRA,Bresil,Ederson,Gardien de but,Gardien
BRA,Bresil,Alisson,Gardien de but,Gardien
BRA,Bresil,Cássio,Gardien de but,Gardien
BRA,Bresil,Marquinhos,Défenseur central,Défenseur
BRA,Bresil,Thiago Silva ,Défenseur central,Défenseur
BRA,Bresil,Miranda,Défenseur central,Défenseur
