Age,Country,Description,Link,Name,Position,Firstname,Lastname
32,Australie,"Solidly built and a born competitor, Nahuel Guzman is an unorthodox keeper with excellent positional sense and good ball skills.",https://api.fifa.com/api/v1/picture/players/2018fwc/200999_sq-300_jpg?allowDefaultPicture=true,NAHUEL GUZMAN,Goalkeeper,Nahuel,Guzman
31,Australie,"Franco Armani owes his place at Russia 2018 to more than just the superb first four months he has enjoyed at River Plate. Though imposingly built, Armani has fine reflexes and is rarely caught out in the air, qualities that he combines with a gift for leadership.",https://api.fifa.com/api/v1/picture/players/2018fwc/398422_sq-300_jpg?allowDefaultPicture=true,FRANCO ARMANI,Goalkeeper,Franco,Armani
36,Australie,"Willy Caballero is an experienced, unfussy goalkeeper with excellent reflexes, fine ball skills and a commanding voice.",https://api.fifa.com/api/v1/picture/players/2018fwc/181440_sq-300_jpg?allowDefaultPicture=true,WILFREDO CABALLERO,Goalkeeper,Wilfredo,Caballero
31,Australie,,https://api.fifa.com/api/v1/picture/players/2018fwc/266796_sq-300_jpg?allowDefaultPicture=true,GABRIEL MERCADO,Defender,Gabriel,Mercado
25,Australie,"“A natural full-back,” remarked Jorge Sampaoli about tireless defender Nicolas Tagliafico, who is just as capable of bursting down the left flank to support an attack as he is of stopping the progress of an opposing winger.",https://api.fifa.com/api/v1/picture/players/2018fwc/308322_sq-300_jpg?allowDefaultPicture=true,NICOLAS TAGLIAFICO,Defender,Nicolas,Tagliafico
31,Australie,"Since winning his first senior cap under Diego Maradona in 2009, Cristian Ansaldi has made just four more appearances for _La_ _Albiceleste_, scoring one goal. A solid defender who knows when to get forward and can strike the ball with either foot, Ansaldi can also play in the centre of defence.",https://api.fifa.com/api/v1/picture/players/2018fwc/298593_sq-300_jpg?allowDefaultPicture=true,CRISTIAN ANSALDI,Defender,Cristian,Ansaldi
31,Australie,,https://api.fifa.com/api/v1/picture/players/2018fwc/266784_sq-300_jpg?allowDefaultPicture=true,FEDERICO FAZIO,Defender,Federico,Fazio
26,Australie,"Though the left-footed Marcos Acuna has spent most of his career in left midfield, he is just as effective a performer at full back or as a winger. Tireless when it comes to getting back to defend, he is committed and tactically astute and also has an eye for goal.",https://api.fifa.com/api/v1/picture/players/2018fwc/401204_sq-300_jpg?allowDefaultPicture=true,MARCOS ACUNA,Defender,Marcos,Acuna
34,Australie,"_El_ _Jefecito _(“The Little Chief”) has lost none of his ball-winning or passing abilities, and cemented his status as the team’s leader in the qualifiers. A key figure at Germany 2006, the captain at South Africa 2010 and decisive at Brazil 2014, Mascherano is looking for the title that would make him one of the greats of Argentinian football.",https://api.fifa.com/api/v1/picture/players/2018fwc/182372_sq-300_jpg?allowDefaultPicture=true,JAVIER MASCHERANO,Defender,Javier,Mascherano
28,Australie,"Now an experienced performer, Marcos Rojo is as familiar with the centre-half slot as he is with the left-back role. That versatility, combined with his athleticism, strength in the air and consistent performances at club level have kept Rojo in Jorge Sampaoli’s thoughts, despite the injury that saw him sidelined for seven months in 2017.",https://api.fifa.com/api/v1/picture/players/2018fwc/318688_sq-300_jpg?allowDefaultPicture=true,MARCOS ROJO,Defender,Marcos,Rojo
30,Australie,"A quick centre-back who rarely loses out in a one-on-one, Nicolas Otamendi also boasts excellent technique and is formidable in the air. These attributes, married with his strong character, have turned him into a key player at Pep Guardiola’s Manchester City as well as at international level.",https://api.fifa.com/api/v1/picture/players/2018fwc/310116_sq-300_jpg?allowDefaultPicture=true,NICOLAS OTAMENDI,Defender,Nicolas,Otamendi
27,Australie,"A winger or wide midfielder, Eduardo Salvio is quick, skilful and a precise passer who also has an eye for goal. Jorge Sampaoli believes he also has defensive qualities and sees him as a useful alternative at right-back.",https://api.fifa.com/api/v1/picture/players/2018fwc/268992_sq-300_jpg?allowDefaultPicture=true,EDUARDO SALVIO,Defender,Eduardo,Salvio
32,Australie,"Lucas Biglia has always thrived on international duty. A member of the side that finished third at the FIFA U-17 World Cup Finland 2003, he also helped Argentina triumph at the FIFA U-20 World Cup Netherlands 2005, along with Lionel Messi. Sergio Batista handed Biglia his first senior cap at the start of 2011 and he has rarely missed a call-up since 2013, appearing in all of Argentina’s seven matches at Brazil 2014.",https://api.fifa.com/api/v1/picture/players/2018fwc/200133_sq-300_jpg?allowDefaultPicture=true,LUCAS BIGLIA,Midfielder,Lucas,Biglia
29,Australie,"Ever Banega is one of a clutch of central midfielders to stand out for their astuteness, strong tackling and technical excellence. He played a prominent role in the qualifiers, where he made 11 appearances in all and pulled on the captain’s armband once.",https://api.fifa.com/api/v1/picture/players/2018fwc/266790_sq-300_jpg?allowDefaultPicture=true,EVER BANEGA,Midfielder,Ever,Banega
30,Australie,"A gifted, incisive left winger with the ability to get past people, Angel Di Maria has lost none of his ability to score goals and provide assists. Di Maria played in all 18 of Argentina's qualifiers for the Russia 2018.",https://api.fifa.com/api/v1/picture/players/2018fwc/266800_sq-300_jpg?allowDefaultPicture=true,ANGEL DI MARIA,Midfielder,Angel,Dimaria
25,Australie,"Since arriving at Independiente in 2016 at the age of 23, Meza has distinguished himself as a holding midfielder, attacking midfielder and a winger – his natural position – playing a key part in the club’s 2017 Copa Sudamericana win.",https://api.fifa.com/api/v1/picture/players/2018fwc/411433_sq-300_jpg?allowDefaultPicture=true,MAXIMILIANO MEZA,Midfielder,Maximiliano,Meza
32,Australie,"In the early years of his career Enzo Perez excelled as an explosive attacking midfielder with the ability to score and lay on assists.Yet on moving to Portugal he took up a holding role in midfield, which is where Jorge Sampaoli has chosen to deploy him.",https://api.fifa.com/api/v1/picture/players/2018fwc/316997_sq-300_jpg?allowDefaultPicture=true,ENZO PEREZ,Midfielder,Enzo,Perez
22,Australie,"A talented attacking midfielder, Giovani Lo Celso possesses superb vision and the audacity required to excel in the position. He has also shown his ability to slot into a holding role in midfield and to play out on the left.",https://api.fifa.com/api/v1/picture/players/2018fwc/395414_sq-300_jpg?allowDefaultPicture=true,GIOVANI LO CELSO,Midfielder,Giovani,Locelso
22,Australie,"“He could be a very important player for the national team,” said Lionel Messi on the day Cristian Pavon made his Argentina debut. A talented, pacy and incisive right winger, Pavon has the ability to play his team-mates in and cut in from the flank to shoot on goal himself.",https://api.fifa.com/api/v1/picture/players/2018fwc/371828_sq-300_jpg?allowDefaultPicture=true,CRISTIAN PAVON,Midfielder,Cristian,Pavon
30,Australie,"After receiving criticism for missing a clear-cut chance in the 2014 World Cup Final against Germany, Argentina striker Gonzalo Higuain is now looking to have the last word in Russia.",https://api.fifa.com/api/v1/picture/players/2018fwc/271550_sq-300_jpg?allowDefaultPicture=true,GONZALO HIGUAIN,Forward,Gonzalo,Higuain
30,Australie,"“This is Messi’s Argentina, not mine,” said Jorge Sampaoli, summing up just how important the Barcelona man is to the national side, a fact highlighted more clearly than ever during the qualifiers for the 2018 FIFA World Cup Russia™. In the ten matches in which Messi played, La Albiceleste collected 21 of their final tally of 28 points.",https://api.fifa.com/api/v1/picture/players/2018fwc/229397_sq-300_jpg?allowDefaultPicture=true,LIONEL MESSI,Forward,Lionel,Messi
30,Australie,"Sergio Aguero has a record to set straight at the 2018 FIFA World Cup Russia™, when he will hope to score his first world finals goal in his third consecutive appearance in the competition.",https://api.fifa.com/api/v1/picture/players/2018fwc/228528_sq-300_jpg?allowDefaultPicture=true,SERGIO AGUERO,Forward,Sergio,Aguero
24,Australie,"Known for his skill, jinking runs and deadly finishing, the Argentinian is one of the best forwards in the world, both inside and outside the box.",https://api.fifa.com/api/v1/picture/players/2018fwc/392905_sq-300_jpg?allowDefaultPicture=true,PAULO DYBALA,Forward,Paulo,Dybala
32,Russie,,https://api.fifa.com/api/v1/picture/players/2018fwc/215017_sq-300_jpg?allowDefaultPicture=true,IGOR AKINFEEV,Goalkeeper,Igor,Akinfeev
26,Russie,"Andrey Lunyov should have made his bow on the international stage last summer, but injury ruled him out of the FIFA Confederations Cup 2017. With the 2018 FIFA World Cup™ on the horizon and a few caps already under his belt, Lunyov was beginning to establish himself as Akinfeev’s main understudy when fate struck again, but luckily it seems his thigh problem should heal itself in time.",https://api.fifa.com/api/v1/picture/players/2018fwc/411573_sq-300_jpg?allowDefaultPicture=true,ANDREI LUNEV,Goalkeeper,Andrei,Lunev
