Age,Country,Description,Link,Name,Position,Firstname,Lastname
32,Argentina,"Solidly built and a born competitor, Nahuel Guzman is an unorthodox keeper with excellent positional sense and good ball skills.",https://api.fifa.com/api/v1/picture/players/2018fwc/200999_sq-300_jpg?allowDefaultPicture=true,NAHUEL GUZMAN,Goalkeeper,Nahuel,Guzman
31,Argentina,"Franco Armani owes his place at Russia 2018 to more than just the superb first four months he has enjoyed at River Plate. Though imposingly built, Armani has fine reflexes and is rarely caught out in the air, qualities that he combines with a gift for leadership.",https://api.fifa.com/api/v1/picture/players/2018fwc/398422_sq-300_jpg?allowDefaultPicture=true,FRANCO ARMANI,Goalkeeper,Franco,Armani
36,Argentina,"Willy Caballero is an experienced, unfussy goalkeeper with excellent reflexes, fine ball skills and a commanding voice.",https://api.fifa.com/api/v1/picture/players/2018fwc/181440_sq-300_jpg?allowDefaultPicture=true,WILFREDO CABALLERO,Goalkeeper,Wilfredo,Caballero
31,Argentina,"A right-back who is solid in defence and knows when to push forward, where he can be a threat in the air, Gabriel Mercado has earned the confidence of Jorge Sampaoli. Part of the reason for that is that he can also slot in as a centre-half in a three or four-man defence.",https://api.fifa.com/api/v1/picture/players/2018fwc/266796_sq-300_jpg?allowDefaultPicture=true,GABRIEL MERCADO,Defender,Gabriel,Mercado
25,Argentina,"“A natural full-back,” remarked Jorge Sampaoli about tireless defender Nicolas Tagliafico, who is just as capable of bursting down the left flank to support an attack as he is of stopping the progress of an opposing winger.",https://api.fifa.com/api/v1/picture/players/2018fwc/308322_sq-300_jpg?allowDefaultPicture=true,NICOLAS TAGLIAFICO,Defender,Nicolas,Tagliafico
31,Argentina,"Since winning his first senior cap under Diego Maradona in 2009, Cristian Ansaldi has made just four more appearances for _La_ _Albiceleste_, scoring one goal. A solid defender who knows when to get forward and can strike the ball with either foot, Ansaldi can also play in the centre of defence.",https://api.fifa.com/api/v1/picture/players/2018fwc/298593_sq-300_jpg?allowDefaultPicture=true,CRISTIAN ANSALDI,Defender,Cristian,Ansaldi
31,Argentina,"Federico Fazio’s versatility and the fine form he has shown with Roma this season, not least in the UEFA Champions League, convinced Jorge Sampaoli to restore him to the Argentina fold in the closing stages of the Russia 2018 qualifying competition, where he played in three of the final four matches.",https://api.fifa.com/api/v1/picture/players/2018fwc/266784_sq-300_jpg?allowDefaultPicture=true,FEDERICO FAZIO,Defender,Federico,Fazio
26,Argentina,"Though the left-footed Marcos Acuna has spent most of his career in left midfield, he is just as effective a performer at full back or as a winger. Tireless when it comes to getting back to defend, he is committed and tactically astute and also has an eye for goal.",https://api.fifa.com/api/v1/picture/players/2018fwc/401204_sq-300_jpg?allowDefaultPicture=true,MARCOS ACUNA,Defender,Marcos,Acuna
34,Argentina,"_El_ _Jefecito _(“The Little Chief”) has lost none of his ball-winning or passing abilities, and cemented his status as the team’s leader in the qualifiers. A key figure at Germany 2006, the captain at South Africa 2010 and decisive at Brazil 2014, Mascherano is looking for the title that would make him one of the greats of Argentinian football.",https://api.fifa.com/api/v1/picture/players/2018fwc/182372_sq-300_jpg?allowDefaultPicture=true,JAVIER MASCHERANO,Defender,Javier,Mascherano
28,Argentina,"Now an experienced performer, Marcos Rojo is as familiar with the centre-half slot as he is with the left-back role. That versatility, combined with his athleticism, strength in the air and consistent performances at club level have kept Rojo in Jorge Sampaoli’s thoughts, despite the injury that saw him sidelined for seven months in 2017.",https://api.fifa.com/api/v1/picture/players/2018fwc/318688_sq-300_jpg?allowDefaultPicture=true,MARCOS ROJO,Defender,Marcos,Rojo
30,Argentina,"A quick centre-back who rarely loses out in a one-on-one, Nicolas Otamendi also boasts excellent technique and is formidable in the air. These attributes, married with his strong character, have turned him into a key player at Pep Guardiola’s Manchester City as well as at international level.",https://api.fifa.com/api/v1/picture/players/2018fwc/310116_sq-300_jpg?allowDefaultPicture=true,NICOLAS OTAMENDI,Defender,Nicolas,Otamendi
27,Argentina,"A winger or wide midfielder, Eduardo Salvio is quick, skilful and a precise passer who also has an eye for goal. Jorge Sampaoli believes he also has defensive qualities and sees him as a useful alternative at right-back.",https://api.fifa.com/api/v1/picture/players/2018fwc/268992_sq-300_jpg?allowDefaultPicture=true,EDUARDO SALVIO,Defender,Eduardo,Salvio
