Time,Positive,Negative
2018-07-02 19:01:39.233643,77.0,24.0
2018-07-02 19:06:39.367231,79.0,22.0
2018-07-02 19:11:39.461293,86.0,15.0
2018-07-02 19:16:39.584755,84.0,17.0
2018-07-02 19:21:39.712490,89.0,12.0
2018-07-02 19:26:39.847179,88.0,13.0
2018-07-02 19:31:39.899188,83.0,18.0
2018-07-02 19:36:40.002931,85.0,16.0
2018-07-02 19:41:40.188668,82.0,19.0
2018-07-02 19:46:40.334304,76.0,25.0
2018-07-02 19:51:40.514377,80.0,20.0
2018-07-02 19:56:40.696731,85.0,16.0
2018-07-02 20:01:40.911445,84.0,17.0
2018-07-02 20:06:41.125912,86.0,15.0
2018-07-02 20:11:41.404199,82.0,19.0
2018-07-02 20:16:41.669792,81.0,20.0
2018-07-02 20:21:41.950258,78.0,23.0
2018-07-02 20:26:42.270561,74.0,27.0
2018-07-02 20:31:42.602035,73.0,28.0
2018-07-02 20:36:42.968177,77.0,24.0
2018-07-02 20:41:43.351226,70.0,31.0
2018-07-02 20:46:43.768093,75.0,26.0
2018-07-02 20:51:44.232417,63.0,38.0
2018-07-02 20:56:44.665344,76.0,25.0
2018-07-02 21:01:45.176507,82.0,19.0
2018-07-02 21:06:45.773831,64.0,37.0
2018-07-02 21:11:46.539823,55.0,46.0
2018-07-02 21:16:47.476752,63.0,38.0
2018-07-02 21:21:48.475288,75.0,26.0
2018-07-02 21:26:49.717560,72.0,29.0
2018-07-02 21:31:51.172634,68.0,33.0
2018-07-02 21:36:52.765337,62.0,39.0
2018-07-02 21:41:54.546172,68.0,33.0
2018-07-02 21:46:56.428213,71.0,30.0
2018-07-02 21:51:58.340449,72.0,29.0
2018-07-02 21:57:00.249735,63.0,38.0
2018-07-02 22:02:02.643158,73.0,28.0
2018-07-02 22:07:05.311410,71.0,30.0
2018-07-02 22:12:07.654478,70.0,31.0
2018-07-02 22:17:10.344020,72.0,29.0
2018-07-02 22:22:12.936249,72.0,29.0
2018-07-02 22:27:15.628178,75.0,26.0
2018-07-02 22:32:18.514382,78.0,23.0
2018-07-02 22:37:21.553830,72.0,29.0
2018-07-02 22:42:24.168426,73.0,28.0
2018-07-02 22:47:27.148168,69.0,32.0
2018-07-02 22:52:30.030688,75.0,26.0
2018-07-02 22:57:33.214481,73.0,28.0
2018-07-02 23:02:35.899109,76.0,25.0
2018-07-02 23:07:39.108764,73.0,28.0
