Time,Positive,Negative
2018-07-02 14:17:33.874122,60.0,41.0
2018-07-02 14:22:34.005434,66.0,34.0
2018-07-02 14:27:34.127026,69.0,32.0
2018-07-02 14:32:34.251986,68.0,33.0
2018-07-02 14:37:34.409772,73.0,28.0
2018-07-02 14:42:34.529971,70.0,31.0
2018-07-02 14:47:34.734738,61.0,40.0
2018-07-02 14:52:34.955582,73.0,28.0
2018-07-02 14:57:35.216168,79.0,22.0
2018-07-02 15:02:35.467258,73.0,28.0
2018-07-02 15:07:35.764989,55.0,46.0
2018-07-02 15:12:36.053808,48.0,53.0
2018-07-02 15:17:36.463454,62.0,39.0
2018-07-02 15:22:36.916267,60.0,41.0
2018-07-02 15:27:37.431446,64.0,37.0
2018-07-02 15:32:37.940774,62.0,39.0
2018-07-02 15:37:38.607181,66.0,35.0
2018-07-02 15:42:39.245865,71.0,30.0
2018-07-02 15:47:40.076761,77.0,24.0
2018-07-02 15:52:41.067922,78.0,23.0
2018-07-02 15:57:42.170202,77.0,24.0
2018-07-02 16:02:43.495468,76.0,25.0
2018-07-02 16:07:45.029971,78.0,23.0
2018-07-02 16:12:46.722610,79.0,22.0
2018-07-02 16:17:48.729280,73.0,28.0
2018-07-02 16:22:50.808203,74.0,27.0
2018-07-02 16:27:53.079463,72.0,29.0
2018-07-02 16:32:55.626763,67.0,34.0
2018-07-02 16:37:58.507978,64.0,37.0
2018-07-02 16:43:01.447376,67.0,34.0
2018-07-02 16:48:04.546840,75.0,26.0
2018-07-02 16:53:07.771771,73.0,28.0
2018-07-02 16:58:11.522559,73.0,28.0
2018-07-02 17:03:15.271293,69.0,32.0
2018-07-02 17:08:18.932317,72.0,29.0
2018-07-02 17:13:23.301167,78.0,23.0
2018-07-02 17:18:27.456445,79.0,22.0
2018-07-02 17:23:31.838812,72.0,29.0
2018-07-02 17:28:36.752030,61.0,40.0
2018-07-02 17:33:41.646843,48.0,53.0
2018-07-02 17:38:46.621620,63.0,38.0
2018-07-02 17:43:51.857397,67.0,34.0
2018-07-02 17:48:57.082449,66.0,35.0
2018-07-02 17:54:02.827342,58.0,43.0
2018-07-02 17:59:09.016899,59.0,42.0
2018-07-02 18:04:15.176016,56.0,45.0
2018-07-02 18:09:20.794224,60.0,41.0
2018-07-02 18:14:27.297377,68.0,33.0
2018-07-02 18:19:33.996189,70.0,31.0
2018-07-02 18:24:41.271055,71.0,30.0
2018-07-02 18:29:48.267728,71.0,30.0
2018-07-02 18:34:55.472747,70.0,31.0
2018-07-02 18:40:03.056919,70.0,31.0
2018-07-02 18:45:09.946975,73.0,28.0
2018-07-02 18:50:17.736714,72.0,29.0
2018-07-02 18:55:25.759521,74.0,27.0
2018-07-02 19:00:34.106735,74.0,27.0
2018-07-02 19:05:42.105681,80.0,21.0
2018-07-02 19:10:50.743350,80.0,21.0
2018-07-02 19:15:59.148449,78.0,23.0
2018-07-02 19:21:07.778147,77.0,24.0
2018-07-02 19:26:16.250182,77.0,24.0
2018-07-02 19:31:25.504093,79.0,22.0
2018-07-02 19:36:34.466072,82.0,19.0
2018-07-02 19:41:42.474077,81.0,20.0
2018-07-02 19:46:51.484033,76.0,25.0
2018-07-02 19:52:00.649383,80.0,21.0
2018-07-02 19:57:10.020226,78.0,23.0
2018-07-02 20:02:19.629596,80.0,21.0
2018-07-02 20:07:28.704403,84.0,17.0
2018-07-02 20:12:38.532263,83.0,18.0
2018-07-02 20:17:47.759008,82.0,19.0
2018-07-02 20:22:57.927018,83.0,18.0
2018-07-02 20:28:07.524331,84.0,17.0
2018-07-02 20:33:17.160025,85.0,16.0
2018-07-02 20:38:26.747598,83.0,18.0
2018-07-02 20:43:36.958721,83.0,18.0
2018-07-02 20:48:46.750272,85.0,16.0
2018-07-02 20:53:56.437455,82.0,19.0
2018-07-02 20:59:06.924818,82.0,19.0
2018-07-02 21:04:16.514502,83.0,18.0
2018-07-02 21:09:26.819713,83.0,18.0
2018-07-02 21:14:36.523133,84.0,17.0
2018-07-02 21:19:46.631317,83.0,18.0
2018-07-02 21:24:56.871009,82.0,19.0
2018-07-02 21:30:07.351920,84.0,17.0
