Count,Nation
22.0,GBR
18.0,USA
13.0,FRA
5.0,ZAF
5.0,NGA
4.0,IND
4.0,PRT
3.0,DEU
2.0,GHA
2.0,CAN
2.0,KEN
2.0,IRL
2.0,ITA
2.0,PAK
2.0,BRA
2.0,CHE
2.0,MYS
1.0,BEL
1.0,IDN
1.0,VEN
1.0,ESP
1.0,BGD
1.0,UGA
1.0,MDV
1.0,MEX
1.0,URY
1.0,NLD
1.0,TZA
1.0,ARE
1.0,NPL
1.0,COL
1.0,LBN
1.0,SGP
1.0,SAU
1.0,ARG
1.0,PHL
1.0,EGY
1.0,ZMB
1.0,HTI
1.0,CMR
1.0,AUS
1.0,BWA
1.0,ZWE
1.0,NZL
1.0,CHL
1.0,MAR
1.0,PRI
1.0,ISL
1.0,THA
1.0,NOR
1.0,DZA
1.0,SEN
1.0,TUR
1.0,CHN
1.0,NAM
1.0,KWT
1.0,GRC
1.0,LKA
1.0,PAN
1.0,NIC
1.0,JAM
1.0,QAT
1.0,JPN
1.0,TUN
1.0,JOR
1.0,SWE
1.0,HKG
1.0,MWI
1.0,OMN
1.0,BRB
1.0,GTM
1.0,GUF
1.0,MCO
1.0,CYP
1.0,JEY
1.0,POL
1.0,RUS
1.0,AUT
1.0,HND
1.0,LSO
1.0,LVA
1.0,GEO
1.0,FIN
1.0,HUN
1.0,ROU
1.0,MLT
1.0,ISR
1.0,CIV
1.0,MLI
1.0,DNK
1.0,IRQ
1.0,CZE
1.0,BEN
1.0,BGR
1.0,BLR
1.0,AZE
1.0,ECU
1.0,SRB
1.0,MTQ
1.0,KAZ
1.0,AGO
1.0,LBY
1.0,SVN
1.0,SDN
1.0,GGY
1.0,KOR
1.0,COD
1.0,REU
1.0,NER
1.0,RWA
1.0,SYC
1.0,CYM
1.0,LBR
1.0,SSD
1.0,ATA
1.0,AFG
1.0,CRI
1.0,PRK
1.0,MOZ
1.0,TWN
1.0,SVK
1.0,CUB
1.0,TGO
1.0,PNG
1.0,DOM
1.0,ARM
1.0,GIB
1.0,BIH
1.0,BRN
1.0,GAB
1.0,PER
1.0,UKR
1.0,ASM
1.0,MUS
1.0,ALB
1.0,MDG
1.0,BMU
1.0,MKD
1.0,SLV
