,created_at,hashtags,lang,location,locationBis,positivity,text
0,2018-06-17 14:30:49,"['copadomundo', 'brasil', 'suiza', 'brasui', 'braswi', 'matchday', 'GigantesPorNatureza', 'worldcup']",en,Dhaka/Bangladesh,BGD,0,"RT @HuurmanSuzanne: Matchday ⚽️🇧🇷💪🏼!! 
Brasil x Suiza

#copadomundo #brasil #suiza #brasui #braswi #matchday #GigantesPorNatureza #worldcup…"
1,2018-06-17 14:30:54,"['BRASWI', 'Nati']",fr,"Lucciana, France",FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
2,2018-06-17 14:31:31,"['BRASWI', 'Nati']",fr,"Villeurbanne, France",FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
3,2018-06-17 14:32:01,"['BRASWI', 'Nati']",fr,France,FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
4,2018-06-17 14:32:26,"['BRASWI', 'Nati']",fr,Charleville-Mézières,FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
5,2018-06-17 14:32:55,"['BRASWI', 'Nati']",fr,,,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
6,2018-06-17 14:32:58,"['BRASWI', 'Nati']",fr,,,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
7,2018-06-17 14:33:08,"['BRASUI', 'BRASWI']",es,,,0,Sono do hexa #BRASUI #BRASWI https://t.co/bId3V1xGvK
8,2018-06-17 14:33:25,"['BRASWI', 'Nati']",fr,,,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
9,2018-06-17 14:33:52,"['BRASWI', 'Nati']",fr,"Auvergne, France",FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
10,2018-06-17 14:33:54,"['BRASWI', 'Nati']",fr,"Neuchâtel, Suisse",CHE,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
11,2018-06-17 14:33:54,"['BRASWI', 'Nati']",fr,,,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
12,2018-06-17 14:34:04,"['BRASWI', 'Nati']",fr,"Ile-de-France, France",FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
13,2018-06-17 14:34:09,[],en,In The Hood,,0,"RT @AllLeedsTV: 🏆 Sunday 17th June

🇧🇷 Brazil vs🇨🇭Switzerland 
📺 Shown on ITV - 7PM 
⚽️ Group E
🗳 Vote what you think the final result will…"
14,2018-06-17 14:34:20,"['BRASWI', 'Nati']",fr,"Locmiquélic, France",FRA,0,"RT @lequipedestelle: 🚨🎁CADEAUX DU JOUR !🎁🚨

🇨🇭A l'occasion du match #BRASWI , gagnez le maillot officiel de l'Equipe de Suisse! #Nati 🇨🇭

P…"
