Time,Positive,Negative
2018-07-01 17:22:43.403793,97.0,4.0
2018-07-01 17:27:43.522436,100.0,0.0
2018-07-01 17:32:43.545890,84.0,17.0
2018-07-01 17:37:43.652544,89.0,12.0
2018-07-01 17:42:43.763160,67.0,34.0
2018-07-01 17:47:43.813118,67.0,34.0
2018-07-01 17:52:43.834226,76.0,25.0
2018-07-01 17:57:43.916655,85.0,16.0
2018-07-01 18:02:44.030807,84.0,17.0
2018-07-01 18:07:44.115068,83.0,18.0
2018-07-01 18:12:44.161820,83.0,18.0
2018-07-01 18:17:44.272791,83.0,18.0
2018-07-01 18:22:44.336273,80.0,20.0
2018-07-01 18:27:44.449063,85.0,16.0
2018-07-01 18:32:44.501552,88.0,12.0
2018-07-01 18:37:44.584508,86.0,15.0
2018-07-01 18:42:44.672230,78.0,23.0
2018-07-01 18:47:44.790538,68.0,33.0
2018-07-01 18:52:44.886750,80.0,21.0
2018-07-01 18:57:45.007096,84.0,17.0
2018-07-01 19:02:45.113959,83.0,18.0
2018-07-01 19:07:45.245086,94.0,7.0
2018-07-01 19:12:45.365721,76.0,25.0
2018-07-01 19:17:45.505376,76.0,25.0
2018-07-01 19:22:45.667807,81.0,20.0
2018-07-01 19:27:45.798741,81.0,20.0
2018-07-01 19:32:45.930288,82.0,19.0
2018-07-01 19:37:46.066999,77.0,24.0
2018-07-01 19:42:46.222682,91.0,10.0
2018-07-01 19:47:46.410547,91.0,10.0
2018-07-01 19:52:46.587977,89.0,12.0
2018-07-01 19:57:46.753238,86.0,15.0
2018-07-01 20:02:46.997342,72.0,29.0
2018-07-01 20:07:47.319791,58.0,43.0
2018-07-01 20:12:47.717840,60.0,41.0
2018-07-01 20:17:48.147202,78.0,23.0
2018-07-01 20:22:48.550433,73.0,28.0
2018-07-01 20:27:48.997490,78.0,23.0
2018-07-01 20:32:49.444970,65.0,36.0
2018-07-01 20:37:49.952605,73.0,28.0
2018-07-01 20:42:50.507753,70.0,31.0
2018-07-01 20:47:51.075345,72.0,29.0
2018-07-01 20:52:51.645848,73.0,28.0
2018-07-01 20:57:52.130429,79.0,22.0
2018-07-01 21:02:52.751234,74.0,27.0
2018-07-01 21:07:53.333998,67.0,34.0
2018-07-01 21:12:53.923750,62.0,39.0
2018-07-01 21:17:54.576841,59.0,42.0
2018-07-01 21:22:55.173832,53.0,48.0
2018-07-01 21:27:55.778061,58.0,43.0
2018-07-01 21:32:56.430706,56.0,45.0
2018-07-01 21:37:57.105514,56.0,45.0
2018-07-01 21:42:57.834731,57.0,44.0
2018-07-01 21:47:58.542859,57.0,44.0
2018-07-01 21:52:59.333261,63.0,38.0
2018-07-01 21:58:00.156739,67.0,34.0
2018-07-01 22:03:01.025383,61.0,40.0
2018-07-01 22:08:01.938312,54.0,47.0
2018-07-01 22:13:02.824433,53.0,48.0
2018-07-01 22:18:03.782892,53.0,48.0
2018-07-01 22:23:04.730294,48.0,53.0
2018-07-01 22:28:05.909496,55.0,46.0
2018-07-01 22:33:07.071211,55.0,46.0
2018-07-01 22:38:08.468220,56.0,45.0
2018-07-01 22:43:10.023698,72.0,29.0
2018-07-01 22:48:11.659171,67.0,34.0
2018-07-01 22:53:13.640355,70.0,31.0
2018-07-01 22:58:15.428581,79.0,22.0
2018-07-01 23:03:17.568978,78.0,23.0
2018-07-01 23:08:19.657329,75.0,26.0
2018-07-01 23:13:21.831022,75.0,26.0
2018-07-01 23:18:23.996350,78.0,23.0
2018-07-01 23:23:26.171112,75.0,26.0
2018-07-01 23:28:28.350675,76.0,25.0
2018-07-01 23:33:30.736440,74.0,27.0
2018-07-01 23:38:33.024781,74.0,27.0
2018-07-01 23:43:35.096013,75.0,26.0
2018-07-01 23:48:37.548563,73.0,28.0
2018-07-01 23:53:39.904874,75.0,25.0
2018-07-01 23:58:42.193873,75.0,26.0
