Time,Positive,Negative
2018-06-26 11:13:34.000000,77.0,24.0
2018-06-26 11:18:34.000000,92.0,8.0
2018-06-26 11:23:34.000000,100.0,0.0
2018-06-26 11:28:34.000000,100.0,0.0
2018-06-26 11:33:34.000000,93.0,8.0
2018-06-26 11:38:34.000000,100.0,0.0
2018-06-26 11:43:34.000000,100.0,0.0
2018-06-26 11:48:34.000000,79.0,22.0
2018-06-26 11:53:34.000000,91.0,10.0
2018-06-26 11:58:34.000000,100.0,0.0
2018-06-26 12:03:34.000000,84.0,16.0
2018-06-26 12:08:34.000000,80.0,20.0
2018-06-26 12:13:34.000000,98.0,3.0
2018-06-26 12:18:34.000000,100.0,0.0
2018-06-26 12:23:34.000000,100.0,0.0
2018-06-26 12:28:34.000000,100.0,0.0
2018-06-26 12:33:34.000000,84.0,16.0
2018-06-26 12:38:34.000000,90.0,11.0
2018-06-26 12:43:34.000000,94.0,7.0
2018-06-26 12:48:34.000000,100.0,0.0
2018-06-26 12:53:34.000000,100.0,0.0
2018-06-26 12:58:34.000000,82.0,19.0
2018-06-26 13:03:34.000000,90.0,11.0
2018-06-26 13:08:34.000000,90.0,10.0
2018-06-26 13:13:34.000000,86.0,15.0
2018-06-26 13:18:34.000000,88.0,13.0
2018-06-26 13:23:34.000000,94.0,7.0
2018-06-26 13:28:34.000000,74.0,27.0
2018-06-26 13:33:34.000000,94.0,7.0
2018-06-26 13:38:34.000000,85.0,15.0
2018-06-26 13:43:34.000000,95.0,6.0
2018-06-26 13:48:34.000000,96.0,5.0
2018-06-26 13:53:34.000000,96.0,5.0
2018-06-26 13:58:34.000000,100.0,0.0
2018-06-26 14:03:34.000000,84.0,17.0
2018-06-26 14:01:32.420200,91.0,10.0
2018-06-26 14:06:32.508865,94.0,7.0
2018-06-26 14:11:32.583140,85.0,16.0
2018-06-26 14:16:32.673648,53.0,48.0
2018-06-26 14:21:32.799272,55.0,46.0
2018-06-26 14:26:32.914801,62.0,39.0
2018-06-26 14:31:33.047826,69.0,32.0
2018-06-26 14:36:33.171926,74.0,27.0
2018-06-26 14:41:33.294481,86.0,15.0
2018-06-26 14:46:33.406721,74.0,27.0
2018-06-26 14:51:33.555242,81.0,20.0
2018-06-26 14:56:33.623047,72.0,29.0
2018-06-26 15:01:33.770155,91.0,10.0
2018-06-26 15:06:33.872030,94.0,7.0
2018-06-26 15:11:33.949107,88.0,13.0
2018-06-26 15:16:34.107516,90.0,11.0
2018-06-26 15:21:34.265182,84.0,17.0
2018-06-26 15:26:34.443559,93.0,8.0
2018-06-26 15:31:34.585793,79.0,22.0
2018-06-26 15:36:34.729660,82.0,19.0
2018-06-26 15:41:34.905463,83.0,18.0
2018-06-26 15:46:35.105118,80.0,21.0
2018-06-26 15:51:35.282332,86.0,15.0
2018-06-26 15:56:35.466309,86.0,15.0
2018-06-26 16:01:35.637967,82.0,19.0
2018-06-26 16:06:35.836133,81.0,20.0
2018-06-26 16:11:36.032314,78.0,23.0
2018-06-26 16:16:36.197188,73.0,28.0
2018-06-26 16:21:36.440312,74.0,27.0
2018-06-26 16:26:36.680619,75.0,26.0
2018-06-26 16:31:36.941405,71.0,30.0
2018-06-26 16:36:37.184484,72.0,29.0
2018-06-26 16:41:37.458606,70.0,31.0
2018-06-26 16:46:37.710699,67.0,34.0
2018-06-26 16:51:37.972955,63.0,38.0
2018-06-26 16:56:38.276926,66.0,35.0
2018-06-26 17:01:38.527000,63.0,38.0
2018-06-26 17:06:38.858420,60.0,41.0
2018-06-26 17:11:39.211225,68.0,33.0
2018-06-26 17:16:39.529018,68.0,33.0
2018-06-26 17:21:39.863714,61.0,40.0
2018-06-26 17:26:40.215205,55.0,46.0
2018-06-26 17:31:40.590693,84.0,17.0
2018-06-26 17:36:41.010563,83.0,18.0
2018-06-26 17:41:41.415437,72.0,29.0
2018-06-26 17:46:41.831628,69.0,32.0
2018-06-26 17:51:42.352188,72.0,29.0
2018-06-26 17:56:42.988160,54.0,47.0
2018-06-26 18:01:43.609401,63.0,38.0
2018-06-26 18:06:44.266967,68.0,33.0
2018-06-26 18:11:44.944661,65.0,36.0
2018-06-26 18:16:45.599898,68.0,33.0
2018-06-26 18:21:46.341261,71.0,30.0
2018-06-26 18:26:47.085460,74.0,27.0
2018-06-26 18:31:47.782939,72.0,29.0
2018-06-26 18:36:48.541251,74.0,27.0
2018-06-26 18:41:49.294124,70.0,31.0
2018-06-26 18:46:50.012481,79.0,22.0
2018-06-26 18:51:50.821816,77.0,23.0
2018-06-26 18:56:51.615955,73.0,28.0
2018-06-26 19:01:52.335259,72.0,29.0
