Time,Positive,Negative
2018-06-28 15:17:56.000000,74.0,27.0
2018-06-28 15:22:56.000000,93.0,8.0
2018-06-28 15:27:56.000000,91.0,10.0
2018-06-28 15:32:56.000000,79.0,22.0
2018-06-28 15:37:56.000000,85.0,16.0
2018-06-28 15:42:56.000000,82.0,19.0
2018-06-28 15:47:56.000000,90.0,11.0
2018-06-28 15:52:56.000000,91.0,10.0
2018-06-28 15:57:56.000000,91.0,10.0
2018-06-28 16:02:56.000000,88.0,13.0
2018-06-28 16:07:56.000000,82.0,19.0
2018-06-28 16:12:56.000000,81.0,20.0
2018-06-28 16:17:56.000000,72.0,29.0
2018-06-28 16:22:56.000000,71.0,30.0
2018-06-28 16:27:56.000000,77.0,24.0
2018-06-28 16:32:56.000000,78.0,23.0
2018-06-28 16:37:56.000000,86.0,15.0
2018-06-28 16:42:56.000000,83.0,18.0
2018-06-28 16:48:33.046295,86.0,15.0
2018-06-28 16:53:33.126475,78.0,23.0
2018-06-28 16:58:33.279991,84.0,17.0
2018-06-28 17:03:33.400218,84.0,17.0
2018-06-28 17:08:33.505630,89.0,12.0
2018-06-28 17:13:33.663369,88.0,13.0
2018-06-28 17:18:33.827751,76.0,25.0
2018-06-28 17:23:33.950724,68.0,33.0
2018-06-28 17:28:34.135723,73.0,28.0
2018-06-28 17:33:34.323966,83.0,18.0
2018-06-28 17:38:34.507435,85.0,16.0
2018-06-28 17:43:34.720309,82.0,19.0
2018-06-28 17:48:34.900945,83.0,18.0
2018-06-28 17:53:35.065352,80.0,20.0
2018-06-28 17:58:35.280109,82.0,19.0
2018-06-28 18:03:35.440820,82.0,19.0
2018-06-28 18:08:35.620213,79.0,22.0
2018-06-28 18:13:35.827701,68.0,33.0
2018-06-28 18:18:36.033011,65.0,36.0
2018-06-28 18:23:36.218437,74.0,27.0
2018-06-28 18:28:36.393452,77.0,24.0
2018-06-28 18:33:36.646899,84.0,17.0
2018-06-28 18:38:36.894813,76.0,25.0
2018-06-28 18:43:37.175516,77.0,24.0
2018-06-28 18:48:37.336417,83.0,18.0
2018-06-28 18:53:37.599796,78.0,23.0
2018-06-28 18:58:37.870045,75.0,26.0
2018-06-28 19:03:38.192148,76.0,25.0
2018-06-28 19:08:38.540639,72.0,29.0
2018-06-28 19:13:38.835174,78.0,23.0
2018-06-28 19:18:39.203276,66.0,35.0
2018-06-28 19:23:39.598479,63.0,38.0
2018-06-28 19:28:39.941307,71.0,30.0
2018-06-28 19:33:40.356703,69.0,32.0
2018-06-28 19:38:40.793683,70.0,31.0
2018-06-28 19:43:41.265658,69.0,32.0
2018-06-28 19:48:41.740334,69.0,32.0
2018-06-28 19:53:42.289630,73.0,28.0
2018-06-28 19:58:42.794390,73.0,28.0
2018-06-28 20:03:43.381393,73.0,28.0
2018-06-28 20:08:44.034348,73.0,28.0
2018-06-28 20:13:44.760224,71.0,30.0
2018-06-28 20:18:45.468222,73.0,28.0
2018-06-28 20:23:46.261665,65.0,36.0
2018-06-28 20:28:47.032056,61.0,40.0
2018-06-28 20:33:47.855607,64.0,37.0
2018-06-28 20:38:48.738167,70.0,31.0
2018-06-28 20:43:49.635240,66.0,35.0
2018-06-28 20:48:50.713969,63.0,38.0
2018-06-28 20:53:51.792501,66.0,35.0
2018-06-28 20:58:52.951076,67.0,34.0
2018-06-28 21:03:54.086307,71.0,30.0
2018-06-28 21:08:55.294404,71.0,30.0
2018-06-28 21:13:56.703033,80.0,21.0
2018-06-28 21:18:58.339341,81.0,20.0
2018-06-28 21:23:59.888109,67.0,34.0
2018-06-28 21:29:01.753795,63.0,38.0
2018-06-28 21:34:03.470629,67.0,34.0
2018-06-28 21:39:05.471929,68.0,33.0
2018-06-28 21:44:07.473598,64.0,37.0
2018-06-28 21:49:09.534007,66.0,35.0
2018-06-28 21:54:11.842660,68.0,33.0
2018-06-28 21:59:14.108765,70.0,31.0
2018-06-28 22:04:16.583986,69.0,32.0
2018-06-28 22:09:19.044667,71.0,30.0
2018-06-28 22:14:21.351031,72.0,29.0
2018-06-28 22:19:23.959772,68.0,33.0
2018-06-28 22:24:26.370895,68.0,33.0
2018-06-28 22:29:29.013089,72.0,29.0
2018-06-28 22:34:31.557568,73.0,28.0
2018-06-28 22:39:34.460116,72.0,29.0
2018-06-28 22:44:36.875119,68.0,33.0
2018-06-28 22:49:39.692668,67.0,34.0
2018-06-28 22:54:42.379968,71.0,30.0
2018-06-28 22:59:45.159689,72.0,29.0
2018-06-28 23:04:47.624172,68.0,33.0
2018-06-28 23:09:50.515477,68.0,33.0
2018-06-28 23:14:53.051992,73.0,28.0
2018-06-28 23:19:55.969490,71.0,30.0
2018-06-28 23:24:58.809527,74.0,27.0
2018-06-28 23:30:01.643481,73.0,28.0
2018-06-28 23:35:04.172076,78.0,23.0
2018-06-28 23:40:07.090658,75.0,26.0
2018-06-28 23:45:09.785160,73.0,28.0
2018-06-28 23:50:12.652502,70.0,31.0
2018-06-28 23:55:15.768719,73.0,28.0
2018-06-29 00:00:18.427202,71.0,30.0
2018-06-29 00:05:21.350481,68.0,33.0
2018-06-29 00:10:24.123989,67.0,34.0
2018-06-29 00:15:26.995490,69.0,32.0
2018-06-29 00:20:29.777667,72.0,29.0
2018-06-29 00:25:32.592875,69.0,32.0
2018-06-29 00:30:35.534358,68.0,33.0
2018-06-29 00:35:38.704623,62.0,39.0
2018-06-29 00:40:41.353064,72.0,29.0
2018-06-29 00:45:44.316441,79.0,22.0
2018-06-29 00:50:47.340058,65.0,36.0
