Pays1,Pays2,Pays3,Pays4,Pays5,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Player1,Player2,Player3,Player4,Player5,Time
Argentina,France,France,France,France,74.0,3.0,3.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:06:47.572960
Argentina,France,France,France,France,75.0,3.0,3.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:07:53.747080
Argentina,France,France,France,France,77.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:08:53.830636
Argentina,France,France,France,France,78.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:09:53.863045
Argentina,France,France,France,France,79.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:10:53.941185
Argentina,France,France,France,France,79.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:11:53.969176
Argentina,France,France,France,France,80.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:12:54.015058
Argentina,France,France,France,France,80.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:13:54.092213
Argentina,France,France,France,France,81.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:14:54.152034
Argentina,France,France,France,France,81.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:15:54.238143
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:16:54.318877
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:17:54.384051
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:18:54.466724
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:19:54.549745
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:20:54.606755
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:21:54.693743
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:22:54.763879
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:23:54.838699
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:24:54.895604
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:25:54.979229
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:26:55.030544
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:27:55.109768
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:28:55.167157
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:29:55.198653
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:30:55.275787
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:31:55.360245
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:32:55.418758
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:33:55.466595
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:34:55.530693
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:35:55.563990
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:36:55.647000
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:37:55.727940
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:38:55.802631
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:39:55.860572
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:40:55.942564
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:41:55.969810
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:42:56.054431
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:43:56.100881
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:44:56.133679
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:45:56.213124
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:46:56.291470
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:47:56.377433
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:48:56.431328
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:49:56.506919
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:50:56.574691
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:51:56.660857
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:52:56.747315
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:53:56.826271
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:54:56.893218
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:55:56.934307
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:56:57.022214
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:57:57.096280
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:58:57.182145
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 12:59:57.234885
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:00:57.296560
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Pogba,Mbappe,Pavard,2018-06-30 13:01:57.358919
