Pays1,Pays2,Pays3,Pays4,Pays5,Percentage1,Percentage2,Percentage3,Percentage4,Percentage5,Player1,Player2,Player3,Player4,Player5,Time
Argentina,France,France,France,France,74.0,3.0,3.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353207572
Argentina,France,France,France,France,75.0,3.0,3.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353273747
Argentina,France,France,France,France,77.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353333830
Argentina,France,France,France,France,78.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353393863
Argentina,France,France,France,France,79.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353453941
Argentina,France,France,France,France,79.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353513969
Argentina,France,France,France,France,80.0,3.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353574015
Argentina,France,France,France,France,80.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353634092
Argentina,France,France,France,France,81.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353694152
Argentina,France,France,France,France,81.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353754238
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353814318
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353874384
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353934466
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530353994549
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354054606
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354114693
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354174763
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354234838
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354294895
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354354979
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354415030
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354475109
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354535167
Argentina,France,France,France,France,82.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354595198
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354655275
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354715360
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354775418
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354835466
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354895530
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530354955563
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355015647
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355075727
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355135802
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355195860
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355255942
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355315969
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355376054
Argentina,France,France,France,France,83.0,2.0,1.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355436100
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355496133
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355556213
Argentina,France,France,France,France,83.0,2.0,2.0,1.0,1.0,Messi,Griezmann,Giroud,Mbappe,Pavard,1530355616291
