Time,Positive,Negative
2018-07-10 13:46:56.240342,78.0,23.0
2018-07-10 13:51:56.364769,79.0,22.0
2018-07-10 13:56:56.522133,75.0,26.0
2018-07-10 14:01:56.687588,79.0,22.0
2018-07-10 14:06:56.905784,78.0,23.0
2018-07-10 14:11:57.082463,79.0,22.0
2018-07-10 14:16:57.373569,77.0,24.0
2018-07-10 14:21:57.560396,78.0,23.0
2018-07-10 14:26:57.847865,77.0,24.0
2018-07-10 14:31:58.120271,79.0,22.0
2018-07-10 14:36:58.449520,78.0,23.0
2018-07-10 14:41:58.793103,76.0,25.0
2018-07-10 14:46:59.133005,75.0,26.0
2018-07-10 14:51:59.516188,73.0,28.0
2018-07-10 14:56:59.905520,75.0,26.0
2018-07-10 15:02:00.326604,80.0,21.0
2018-07-10 15:07:00.764355,78.0,23.0
2018-07-10 15:12:01.235325,75.0,26.0
2018-07-10 15:17:01.725248,75.0,26.0
2018-07-10 15:22:02.242701,78.0,23.0
2018-07-10 15:27:02.780114,79.0,22.0
2018-07-10 15:32:03.359967,81.0,20.0
2018-07-10 15:37:04.007790,85.0,16.0
2018-07-10 15:42:04.575536,83.0,18.0
2018-07-10 15:47:05.172467,79.0,22.0
2018-07-10 15:52:05.860151,81.0,20.0
2018-07-10 15:57:06.506762,80.0,21.0
2018-07-10 16:02:07.221236,83.0,18.0
2018-07-10 16:07:07.860200,81.0,20.0
2018-07-10 16:12:08.575775,82.0,19.0
2018-07-10 16:17:09.390414,81.0,20.0
2018-07-10 16:22:10.230534,82.0,19.0
2018-07-10 16:27:11.023142,81.0,20.0
2018-07-10 16:32:11.872199,84.0,17.0
2018-07-10 16:37:12.814921,84.0,17.0
2018-07-10 16:42:13.678323,82.0,19.0
2018-07-10 16:47:14.721306,81.0,20.0
2018-07-10 16:52:15.773656,81.0,20.0
2018-07-10 16:57:16.802101,83.0,18.0
2018-07-10 17:02:17.832635,85.0,16.0
2018-07-10 17:07:18.858091,81.0,20.0
2018-07-10 17:12:19.980935,80.0,21.0
2018-07-10 17:17:21.101740,83.0,18.0
2018-07-10 17:22:22.339678,83.0,18.0
2018-07-10 17:27:23.496628,82.0,19.0
2018-07-10 17:32:24.790000,83.0,18.0
2018-07-10 17:37:26.021418,83.0,18.0
2018-07-10 17:42:27.398107,81.0,20.0
2018-07-10 17:47:28.634019,80.0,21.0
2018-07-10 17:52:30.011430,78.0,23.0
2018-07-10 17:57:31.470755,81.0,20.0
2018-07-10 18:02:32.723507,81.0,20.0
2018-07-10 18:07:34.190870,84.0,17.0
2018-07-10 18:12:35.689676,77.0,24.0
2018-07-10 18:17:37.027284,81.0,20.0
2018-07-10 18:22:38.609886,81.0,20.0
2018-07-10 18:27:40.156314,78.0,23.0
2018-07-10 18:32:41.725894,78.0,23.0
2018-07-10 18:37:43.388625,81.0,20.0
2018-07-10 18:42:45.097730,81.0,20.0
2018-07-10 18:47:46.660934,81.0,20.0
2018-07-10 18:52:48.360898,82.0,19.0
2018-07-10 18:57:50.439156,86.0,15.0
2018-07-10 19:02:52.099596,82.0,19.0
2018-07-10 19:07:54.187137,85.0,16.0
2018-07-10 19:12:56.281646,81.0,20.0
2018-07-10 19:17:58.101371,81.0,20.0
2018-07-10 19:23:00.275578,80.0,21.0
2018-07-10 19:28:02.437057,78.0,23.0
2018-07-10 19:33:04.654317,80.0,21.0
2018-07-10 19:38:06.979719,78.0,23.0
2018-07-10 19:43:09.429695,81.0,20.0
2018-07-10 19:48:11.912988,82.0,19.0
2018-07-10 19:53:14.460054,82.0,19.0
2018-07-10 19:58:17.197850,82.0,19.0
2018-07-10 20:03:20.143410,75.0,26.0
2018-07-10 20:08:23.008026,71.0,30.0
2018-07-10 20:13:25.975265,74.0,27.0
2018-07-10 20:18:29.273993,71.0,30.0
2018-07-10 20:23:32.816728,70.0,31.0
2018-07-10 20:28:35.959222,73.0,28.0
2018-07-10 20:33:39.766171,69.0,32.0
2018-07-10 20:38:43.810953,59.0,42.0
2018-07-10 20:43:47.867541,70.0,31.0
2018-07-10 20:48:51.991131,68.0,33.0
2018-07-10 20:53:56.281555,71.0,30.0
2018-07-10 20:59:01.366365,69.0,32.0
2018-07-10 21:04:06.254659,69.0,32.0
2018-07-10 21:09:11.188934,68.0,33.0
2018-07-10 21:14:16.345106,79.0,22.0
2018-07-10 21:19:21.633600,77.0,24.0
2018-07-10 21:24:26.955860,76.0,25.0
2018-07-10 21:29:32.442644,67.0,34.0
2018-07-10 21:34:38.538488,70.0,31.0
2018-07-10 21:39:44.633385,70.0,31.0
2018-07-10 21:44:51.130971,72.0,29.0
2018-07-10 21:49:57.535221,67.0,34.0
2018-07-10 21:55:04.081785,56.0,45.0
2018-07-10 22:00:11.203949,59.0,42.0
2018-07-10 22:05:18.183695,59.0,42.0
2018-07-10 22:10:25.259915,60.0,41.0
2018-07-10 22:15:33.144422,59.0,42.0
2018-07-10 22:20:40.912594,61.0,40.0
2018-07-10 22:25:48.808826,64.0,37.0
2018-07-10 22:30:56.764748,63.0,38.0
2018-07-10 22:36:05.389820,64.0,37.0
2018-07-10 22:41:13.870166,63.0,38.0
2018-07-10 22:46:22.527778,64.0,37.0
2018-07-10 22:51:31.342447,60.0,41.0
2018-07-10 22:56:40.423803,61.0,40.0
2018-07-10 23:01:49.542811,64.0,37.0
2018-07-10 23:06:58.773315,64.0,37.0
2018-07-10 23:12:08.094007,64.0,37.0
