Time,Positive,Negative
2018-06-21 12:15:27.297461,77.0,24.0
2018-06-21 12:20:27.411891,79.0,22.0
2018-06-21 12:25:27.532321,77.0,24.0
2018-06-21 12:30:27.641715,81.0,20.0
2018-06-21 12:35:27.686845,93.0,8.0
2018-06-21 12:40:27.768175,88.0,13.0
2018-06-21 12:45:27.892254,92.0,9.0
2018-06-21 12:50:28.009538,90.0,11.0
2018-06-21 12:55:28.157203,88.0,13.0
2018-06-21 13:00:28.267841,89.0,12.0
2018-06-21 13:05:28.391459,90.0,11.0
2018-06-21 13:10:28.511712,88.0,13.0
2018-06-21 13:15:28.664895,89.0,12.0
2018-06-21 13:20:28.790182,91.0,10.0
2018-06-21 13:25:28.913460,86.0,15.0
2018-06-21 13:30:29.036992,87.0,14.0
2018-06-21 13:35:29.212144,81.0,20.0
2018-06-21 13:40:29.318696,84.0,17.0
2018-06-21 13:45:29.478149,83.0,18.0
2018-06-21 13:50:29.653308,76.0,25.0
2018-06-21 13:55:29.772159,81.0,20.0
2018-06-21 14:00:29.924334,86.0,15.0
2018-06-21 14:05:30.115441,89.0,12.0
2018-06-21 14:10:30.326155,90.0,11.0
2018-06-21 14:15:30.433511,74.0,27.0
2018-06-21 14:20:30.623249,74.0,27.0
2018-06-21 14:25:30.787209,81.0,20.0
2018-06-21 14:30:30.976238,84.0,17.0
2018-06-21 14:35:31.172108,76.0,25.0
2018-06-21 14:40:31.383912,79.0,22.0
2018-06-21 14:45:31.553727,77.0,24.0
2018-06-21 14:50:31.761256,93.0,8.0
2018-06-21 14:55:31.962667,91.0,10.0
2018-06-21 15:00:32.187896,88.0,13.0
2018-06-21 15:05:32.411550,87.0,14.0
2018-06-21 15:10:32.623494,88.0,13.0
2018-06-21 15:15:32.762962,91.0,10.0
2018-06-21 15:20:32.945824,91.0,10.0
2018-06-21 15:25:33.193482,95.0,6.0
2018-06-21 15:30:33.463499,95.0,6.0
2018-06-21 15:35:33.716476,88.0,13.0
2018-06-21 15:40:33.954000,94.0,7.0
2018-06-21 15:45:34.201208,92.0,9.0
2018-06-21 15:50:34.482391,72.0,29.0
2018-06-21 15:55:34.764810,70.0,31.0
2018-06-21 16:00:35.034844,74.0,27.0
2018-06-21 16:05:35.374525,84.0,17.0
2018-06-21 16:10:35.714953,88.0,13.0
2018-06-21 16:15:36.090920,85.0,16.0
2018-06-21 16:20:36.437795,82.0,19.0
2018-06-21 16:25:36.872130,82.0,19.0
2018-06-21 16:30:37.326062,85.0,16.0
2018-06-21 16:35:37.773361,84.0,17.0
2018-06-21 16:40:38.267965,85.0,16.0
2018-06-21 16:45:38.768300,83.0,18.0
2018-06-21 16:50:39.263936,88.0,13.0
2018-06-21 16:55:39.719353,86.0,15.0
2018-06-21 17:00:40.363833,84.0,17.0
2018-06-21 17:05:40.935219,72.0,29.0
2018-06-21 17:10:41.583510,66.0,35.0
2018-06-21 17:15:42.383077,71.0,30.0
2018-06-21 17:20:43.057037,72.0,29.0
2018-06-21 17:25:43.861384,65.0,36.0
2018-06-21 17:30:44.660041,65.0,36.0
2018-06-21 17:35:45.534336,79.0,22.0
2018-06-21 17:40:46.678147,89.0,12.0
2018-06-21 17:45:47.781829,87.0,14.0
2018-06-21 17:50:49.064398,86.0,15.0
2018-06-21 17:55:50.450047,87.0,14.0
2018-06-21 18:00:51.901539,87.0,14.0
2018-06-21 18:05:53.267275,85.0,16.0
2018-06-21 18:10:54.794121,80.0,21.0
2018-06-21 18:15:56.262990,81.0,20.0
2018-06-21 18:20:57.897145,74.0,27.0
2018-06-21 18:25:59.392224,74.0,27.0
2018-06-21 18:31:01.174011,71.0,30.0
2018-06-21 18:36:02.785437,70.0,31.0
2018-06-21 18:41:04.497426,67.0,34.0
2018-06-21 18:46:06.161612,69.0,32.0
2018-06-21 18:51:08.108912,70.0,31.0
2018-06-21 18:56:10.053862,66.0,35.0
2018-06-21 19:01:12.081543,63.0,38.0
2018-06-21 19:06:14.009176,67.0,34.0
2018-06-21 19:11:16.208749,71.0,30.0
2018-06-21 19:16:18.335676,69.0,32.0
2018-06-21 19:21:20.532515,75.0,26.0
2018-06-21 19:26:22.495511,78.0,23.0
2018-06-21 19:31:24.859911,78.0,23.0
2018-06-21 19:36:26.920002,77.0,24.0
2018-06-21 19:41:29.262031,75.0,26.0
2018-06-21 19:46:31.575223,82.0,19.0
2018-06-21 19:51:33.937021,77.0,24.0
2018-06-21 19:56:36.058422,81.0,20.0
2018-06-21 20:01:38.192590,77.0,24.0
2018-06-21 20:06:40.595073,81.0,20.0
2018-06-21 20:11:42.888655,79.0,22.0
2018-06-21 20:16:45.198757,80.0,21.0
2018-06-21 20:21:47.311513,80.0,21.0
2018-06-21 20:26:49.783593,78.0,23.0
2018-06-21 20:31:52.153679,80.0,21.0
2018-06-21 20:36:54.422970,82.0,19.0
2018-06-21 20:41:56.964266,76.0,25.0
2018-06-21 20:46:59.074032,79.0,22.0
2018-06-21 20:52:01.604153,80.0,21.0
