Time,Positive,Negative
2018-06-23 15:20:11.303369,80.0,20.0
2018-06-23 15:25:11.345816,74.0,27.0
2018-06-23 15:30:11.440655,67.0,34.0
2018-06-23 15:35:11.482520,62.0,39.0
2018-06-23 15:40:11.575569,68.0,32.0
2018-06-23 15:45:11.680178,60.0,40.0
2018-06-23 15:50:11.784078,55.0,46.0
2018-06-23 15:55:11.908560,72.0,29.0
2018-06-23 16:00:12.013229,79.0,22.0
2018-06-23 16:05:12.142645,70.0,31.0
2018-06-23 16:10:12.233345,72.0,29.0
2018-06-23 16:15:12.358522,68.0,33.0
2018-06-23 16:20:12.478595,57.0,44.0
2018-06-23 16:25:12.539217,71.0,30.0
2018-06-23 16:30:12.653241,73.0,28.0
2018-06-23 16:35:12.778994,72.0,29.0
2018-06-23 16:40:12.907965,76.0,25.0
2018-06-23 16:45:12.999795,65.0,36.0
2018-06-23 16:50:13.131752,48.0,52.0
2018-06-23 16:55:13.248064,52.0,49.0
2018-06-23 17:00:13.309268,78.0,23.0
2018-06-23 17:05:13.462642,73.0,28.0
2018-06-23 17:10:13.559471,75.0,25.0
2018-06-23 17:15:13.718571,71.0,30.0
2018-06-23 17:20:13.860712,83.0,18.0
2018-06-23 17:25:14.008774,70.0,30.0
2018-06-23 17:30:14.135728,83.0,18.0
2018-06-23 17:35:14.325816,92.0,9.0
2018-06-23 17:40:14.496702,76.0,25.0
2018-06-23 17:45:14.600273,55.0,46.0
2018-06-23 17:50:14.764863,58.0,43.0
2018-06-23 17:55:14.947994,65.0,35.0
2018-06-23 18:00:15.148928,60.0,41.0
2018-06-23 18:05:15.305678,72.0,29.0
2018-06-23 18:10:15.480349,63.0,38.0
2018-06-23 18:15:15.672883,70.0,31.0
2018-06-23 18:20:15.858484,86.0,15.0
2018-06-23 18:25:16.061886,80.0,21.0
2018-06-23 18:30:16.279724,83.0,18.0
2018-06-23 18:35:16.486616,83.0,18.0
2018-06-23 18:40:16.685275,80.0,21.0
2018-06-23 18:45:16.911994,79.0,22.0
2018-06-23 18:50:17.134348,68.0,33.0
2018-06-23 18:55:17.399988,76.0,24.0
2018-06-23 19:00:17.659991,69.0,32.0
2018-06-23 19:05:17.958839,73.0,28.0
2018-06-23 19:10:18.298362,76.0,25.0
2018-06-23 19:15:18.536467,79.0,22.0
2018-06-23 19:20:18.877270,77.0,24.0
2018-06-23 19:25:19.269091,72.0,29.0
2018-06-23 19:30:19.585460,75.0,26.0
2018-06-23 19:35:19.915493,78.0,23.0
2018-06-23 19:40:20.256097,75.0,26.0
2018-06-23 19:45:20.688054,87.0,14.0
2018-06-23 19:50:21.141528,85.0,16.0
2018-06-23 19:55:21.700349,83.0,18.0
2018-06-23 20:00:22.277686,86.0,15.0
2018-06-23 20:05:22.890611,81.0,20.0
2018-06-23 20:10:23.640662,80.0,21.0
2018-06-23 20:15:24.460700,67.0,34.0
2018-06-23 20:20:25.332589,58.0,43.0
2018-06-23 20:25:26.258748,62.0,39.0
2018-06-23 20:30:27.391819,55.0,46.0
2018-06-23 20:35:28.532295,61.0,40.0
2018-06-23 20:40:29.919396,71.0,30.0
2018-06-23 20:45:31.443586,64.0,37.0
2018-06-23 20:50:33.189461,59.0,42.0
2018-06-23 20:55:35.004588,56.0,45.0
2018-06-23 21:00:37.137690,60.0,41.0
2018-06-23 21:05:39.049670,56.0,45.0
2018-06-23 21:10:41.438583,55.0,46.0
2018-06-23 21:15:43.813983,66.0,35.0
2018-06-23 21:20:46.260558,65.0,36.0
2018-06-23 21:25:48.989272,68.0,33.0
2018-06-23 21:30:51.444729,61.0,40.0
2018-06-23 21:35:54.400209,58.0,43.0
2018-06-23 21:40:57.390019,57.0,44.0
2018-06-23 21:46:00.362891,48.0,53.0
2018-06-23 21:51:03.920956,63.0,38.0
2018-06-23 21:56:07.142103,59.0,42.0
2018-06-23 22:01:10.540194,77.0,24.0
2018-06-23 22:06:13.747026,77.0,24.0
2018-06-23 22:11:17.745284,79.0,22.0
2018-06-23 22:16:21.881399,80.0,20.0
2018-06-23 22:21:25.938909,75.0,26.0
2018-06-23 22:26:30.405342,77.0,24.0
2018-06-23 22:31:34.667289,76.0,25.0
2018-06-23 22:36:39.329204,72.0,29.0
2018-06-23 22:41:44.414745,72.0,29.0
2018-06-23 22:46:49.238596,77.0,24.0
2018-06-23 22:51:54.077915,76.0,25.0
