Time,Positive,Negative
2018-06-24 15:30:36.743294,100.0,0.0
2018-06-24 15:35:36.827475,100.0,0.0
2018-06-24 15:40:36.899071,88.0,13.0
2018-06-24 15:45:36.981153,94.0,7.0
2018-06-24 15:50:37.006582,91.0,10.0
2018-06-24 15:55:37.097593,94.0,7.0
2018-06-24 16:00:37.134240,88.0,13.0
2018-06-24 16:05:37.190740,90.0,11.0
2018-06-24 16:10:37.281341,96.0,5.0
2018-06-24 16:15:37.389697,89.0,12.0
2018-06-24 16:20:37.508607,83.0,18.0
2018-06-24 16:25:37.610107,94.0,7.0
2018-06-24 16:30:37.690268,97.0,4.0
2018-06-24 16:35:37.767580,97.0,4.0
2018-06-24 16:40:37.868780,84.0,17.0
2018-06-24 16:45:37.975402,98.0,3.0
2018-06-24 16:50:38.034202,97.0,4.0
2018-06-24 16:55:38.135727,94.0,7.0
2018-06-24 17:00:38.244497,94.0,7.0
2018-06-24 17:05:38.292098,87.0,14.0
2018-06-24 17:10:38.398845,100.0,0.0
2018-06-24 17:15:38.460874,92.0,8.0
2018-06-24 17:20:38.586057,88.0,13.0
2018-06-24 17:25:38.682836,80.0,21.0
2018-06-24 17:30:38.780243,95.0,6.0
2018-06-24 17:35:38.872702,96.0,5.0
2018-06-24 17:40:38.962949,74.0,27.0
2018-06-24 17:45:39.083297,90.0,10.0
2018-06-24 17:50:39.212146,99.0,2.0
2018-06-24 17:55:39.316157,91.0,10.0
2018-06-24 18:00:39.448212,87.0,14.0
2018-06-24 18:05:39.532913,99.0,2.0
2018-06-24 18:10:39.586596,97.0,4.0
2018-06-24 18:15:39.721515,94.0,7.0
2018-06-24 18:20:39.786934,89.0,12.0
2018-06-24 18:25:39.893363,97.0,4.0
2018-06-24 18:30:40.027126,92.0,9.0
2018-06-24 18:35:40.166197,73.0,28.0
2018-06-24 18:40:40.297106,92.0,9.0
2018-06-24 18:45:40.386179,90.0,11.0
2018-06-24 18:50:40.531763,99.0,2.0
2018-06-24 18:55:40.591913,97.0,4.0
2018-06-24 19:00:40.665801,91.0,10.0
2018-06-24 19:05:40.809422,93.0,8.0
2018-06-24 19:10:40.987319,95.0,6.0
2018-06-24 19:15:41.176234,95.0,6.0
2018-06-24 19:20:41.307205,93.0,8.0
2018-06-24 19:25:41.482913,90.0,11.0
2018-06-24 19:30:41.670896,86.0,15.0
2018-06-24 19:35:41.859817,87.0,14.0
2018-06-24 19:40:42.024974,88.0,13.0
2018-06-24 19:45:42.259940,83.0,18.0
2018-06-24 19:50:42.412791,86.0,15.0
2018-06-24 19:55:42.625794,80.0,21.0
2018-06-24 20:00:42.857005,80.0,21.0
2018-06-24 20:05:43.158514,80.0,21.0
2018-06-24 20:10:43.449099,64.0,37.0
2018-06-24 20:15:43.720242,70.0,31.0
2018-06-24 20:20:44.036586,69.0,32.0
2018-06-24 20:25:44.383647,70.0,31.0
2018-06-24 20:30:44.739093,72.0,29.0
2018-06-24 20:35:45.135177,62.0,39.0
2018-06-24 20:40:45.566451,67.0,34.0
2018-06-24 20:45:46.075910,77.0,24.0
2018-06-24 20:50:46.655435,68.0,33.0
2018-06-24 20:55:47.276235,73.0,28.0
2018-06-24 21:00:47.999849,77.0,24.0
2018-06-24 21:05:48.678496,72.0,29.0
2018-06-24 21:10:49.458966,72.0,29.0
2018-06-24 21:15:50.255878,71.0,30.0
2018-06-24 21:20:50.970901,74.0,27.0
2018-06-24 21:25:51.761423,73.0,28.0
2018-06-24 21:30:52.616879,75.0,26.0
2018-06-24 21:35:53.701432,76.0,25.0
2018-06-24 21:40:54.807124,79.0,22.0
2018-06-24 21:45:56.131402,75.0,26.0
2018-06-24 21:50:57.551816,73.0,28.0
2018-06-24 21:55:58.918278,71.0,30.0
2018-06-24 22:01:00.522608,72.0,29.0
2018-06-24 22:06:02.149651,73.0,28.0
2018-06-24 22:11:04.039846,74.0,27.0
2018-06-24 22:16:05.696072,77.0,24.0
2018-06-24 22:21:07.690504,76.0,25.0
2018-06-24 22:26:09.372946,68.0,33.0
2018-06-24 22:31:11.254028,70.0,31.0
2018-06-24 22:36:13.296916,68.0,33.0
2018-06-24 22:41:15.104591,71.0,30.0
2018-06-24 22:46:17.181252,72.0,29.0
2018-06-24 22:51:19.223470,69.0,32.0
2018-06-24 22:56:21.029289,77.0,24.0
2018-06-24 23:01:23.028210,74.0,27.0
