Count,Nom,Pays,Position,Prenom,_id
392,Quaresma,POR,Attaquant,Ricardo,5b1984bbb2b7c951b40b1bfe
154,Ronaldo,POR,Attaquant,Cristiano,5b198599b2b7c951b40b1c7d
32,Silva,POR,Attaquant,André,5b19859bb2b7c951b40b1cd0
11,Alves,POR,Défenseur,Bruno,5b198599b2b7c951b40b1cc5
3,Guerreiro,POR,Défenseur,Raphaël,5b198c73b2b7c951b40b2222
87,Fernandes,POR,Milieu,Bruno,5b19881db2b7c951b40b1e81
10,Carvalho,POR,Milieu,William,5b19898bb2b7c951b40b1fbe
9,Moutinho,POR,Milieu,João,5b198cbfb2b7c951b40b225c
15,Mandi,ALG,Défenseur,A,5b198599b2b7c951b40b1cc5
11,Bensebaini,ALG,Défenseur,A,5b198599b2b7c951b40b1cc5
10,Salhi,ALG,Gardien,A,5b198599b2b7c951b40b1cc5
