Count,Nom,Pays,Position,Prenom,_id
402,Mahrez,ALG,??,Riyad,5b1984bbb2b7c951b40b1c02
392,Quaresma,POR,Attaquant,Ricardo,5b1984bbb2b7c951b40b1bfe
154,Ronaldo,POR,Attaquant,Cristiano,5b198599b2b7c951b40b1c7d
114,Guedes,POR,Attaquant,Gonçalo,5b19866cb2b7c951b40b1d34
87,Fernandes,POR,Milieu,Bruno,5b19881db2b7c951b40b1e81
41,Ferhat,ALG,??,Zinedine,5b198748b2b7c951b40b1dc8
32,Silva,POR,Attaquant,André,5b19859bb2b7c951b40b1cd0
13,Slimani,ALG,??,Islam,5b198599b2b7c951b40b1c9c
12,Brahimi,ALG,??,Yacine,5b198599b2b7c951b40b1c81
11,Alves,POR,Défenseur,Bruno,5b198599b2b7c951b40b1cc5
