Time,Positive,Negative
2018-06-15 12:44:07,40.0,60.0
2018-06-15 12:49:07,100.0,0.0
2018-06-15 12:54:07,100.0,0.0
2018-06-15 12:59:07,100.0,0.0
2018-06-15 13:04:07,100.0,0.0
2018-06-15 13:09:07,100.0,0.0
2018-06-15 13:14:07,75.0,25.0
2018-06-15 13:19:07,75.0,25.0
2018-06-15 13:24:07,80.0,20.0
2018-06-15 13:29:07,100.0,0.0
2018-06-15 13:34:07,75.0,25.0
2018-06-15 13:39:07,100.0,0.0
2018-06-15 13:44:07,100.0,0.0
2018-06-15 13:49:07,100.0,0.0
2018-06-15 13:54:07,100.0,0.0
2018-06-15 13:59:07,75.0,25.0
2018-06-15 14:04:07,50.0,50.0
2018-06-15 14:09:07,100.0,0.0
2018-06-15 14:14:07,67.0,34.0
2018-06-15 14:19:07,100.0,0.0
2018-06-15 14:24:07,100.0,0.0
2018-06-15 14:29:07,96.0,5.0
2018-06-15 14:34:07,90.0,11.0
2018-06-15 14:39:07,96.0,4.0
2018-06-15 14:44:07,89.0,12.0
2018-06-15 14:49:07,84.0,17.0
2018-06-15 14:54:07,92.0,9.0
2018-06-15 14:59:07,100.0,0.0
2018-06-15 15:04:07,100.0,0.0
2018-06-15 15:09:07,95.0,6.0
2018-06-15 15:14:07,67.0,34.0
2018-06-15 15:19:07,100.0,0.0
2018-06-15 15:24:07,63.0,38.0
2018-06-15 15:29:07,50.0,50.0
2018-06-15 15:34:07,82.0,19.0
2018-06-15 15:39:07,100.0,0.0
2018-06-15 15:44:07,100.0,0.0
2018-06-15 15:49:07,72.0,29.0
2018-06-15 15:54:07,100.0,0.0
2018-06-15 15:59:07,58.0,43.0
2018-06-15 16:04:07,89.0,12.0
2018-06-15 16:09:07,75.0,25.0
2018-06-15 16:14:07,100.0,0.0
2018-06-15 16:19:07,100.0,0.0
2018-06-15 16:24:07,37.0,64.0
2018-06-15 16:29:07,50.0,50.0
2018-06-15 16:34:07,34.0,67.0
2018-06-15 16:39:07,36.0,65.0
2018-06-15 16:44:07,65.0,36.0
2018-06-15 16:49:07,60.0,40.0
2018-06-15 16:54:07,53.0,48.0
2018-06-15 16:59:07,59.0,42.0
2018-06-15 17:04:07,72.0,29.0
2018-06-15 17:09:07,79.0,22.0
2018-06-15 17:14:07,69.0,32.0
2018-06-15 17:19:07,84.0,17.0
2018-06-15 17:24:07,76.0,24.0
2018-06-15 17:29:07,50.0,50.0
2018-06-15 17:34:07,73.0,28.0
2018-06-15 17:39:07,52.0,48.0
2018-06-15 17:44:07,87.0,14.0
2018-06-15 17:49:07,58.0,43.0
2018-06-15 17:54:07,76.0,24.0
2018-06-15 17:59:07,70.0,31.0
2018-06-15 18:04:07,67.0,34.0
2018-06-15 18:09:07,69.0,32.0
2018-06-15 18:14:07,76.0,25.0
2018-06-15 18:19:07,72.0,29.0
2018-06-15 18:24:07,66.0,35.0
2018-06-15 18:29:07,53.0,48.0
2018-06-15 18:34:07,70.0,31.0
2018-06-15 18:39:07,69.0,32.0
2018-06-15 18:44:07,74.0,27.0
2018-06-15 18:49:07,64.0,37.0
2018-06-15 18:54:07,68.0,33.0
2018-06-15 18:59:07,70.0,31.0
2018-06-15 19:04:07,82.0,19.0
2018-06-15 19:14:07,100.0,0.0
2018-06-15 20:09:07,72.0,29.0
2018-06-15 20:14:07,82.0,19.0
2018-06-15 20:19:07,91.0,10.0
2018-06-15 20:24:07,91.0,10.0
2018-06-15 20:29:07,88.0,13.0
2018-06-15 20:34:07,88.0,13.0
2018-06-15 20:39:07,89.0,12.0
2018-06-15 20:44:07,83.0,18.0
2018-06-15 20:49:07,87.0,14.0
2018-06-15 20:54:07,90.0,11.0
2018-06-15 20:59:07,94.0,7.0
2018-06-15 21:04:07,95.0,6.0
2018-06-15 21:09:07,61.0,40.0
2018-06-15 21:14:07,60.0,41.0
2018-06-15 21:19:07,69.0,32.0
2018-06-15 21:24:07,68.0,33.0
2018-06-15 21:29:07,63.0,38.0
2018-06-15 21:34:07,56.0,45.0
2018-06-15 21:39:07,62.0,39.0
2018-06-15 21:44:07,61.0,40.0
2018-06-15 21:49:07,36.0,65.0
