Time,Positive,Negative
2018-06-14 16:42:39.609402,0.0,100.0
2018-06-14 16:47:39.724432,78.0,23.0
2018-06-14 16:49:18.467255,78.0,23.0
2018-06-14 16:52:39.830474,100.0,0.0
2018-06-14 16:54:18.573025,100.0,0.0
2018-06-14 16:57:39.928462,83.0,18.0
2018-06-14 16:59:18.630687,82.0,19.0
2018-06-14 17:02:40.021667,64.0,37.0
2018-06-14 17:04:18.691998,50.0,50.0
2018-06-14 17:07:40.052644,66.0,35.0
2018-06-14 17:09:18.807436,79.0,22.0
2018-06-14 17:12:40.148058,84.0,17.0
2018-06-14 17:14:18.885510,86.0,15.0
2018-06-14 17:17:40.271877,86.0,15.0
2018-06-14 17:19:19.005700,86.0,15.0
2018-06-14 17:22:40.389743,81.0,20.0
2018-06-14 17:24:19.107105,60.0,40.0
2018-06-14 17:27:40.487028,55.0,46.0
2018-06-14 17:29:19.228188,61.0,40.0
2018-06-14 17:32:40.564927,44.0,57.0
2018-06-14 17:34:19.353865,42.0,59.0
2018-06-14 17:37:40.657494,65.0,36.0
2018-06-14 17:39:19.454085,67.0,34.0
2018-06-14 17:42:40.708842,60.0,40.0
2018-06-14 17:44:19.554181,58.0,43.0
2018-06-14 17:47:40.805472,64.0,37.0
2018-06-14 17:49:19.657678,61.0,40.0
2018-06-14 17:52:40.884600,66.0,35.0
2018-06-14 17:54:19.718182,75.0,25.0
2018-06-14 17:57:41.002077,80.0,20.0
2018-06-14 17:59:19.830399,74.0,27.0
2018-06-14 18:02:41.098741,58.0,43.0
2018-06-14 18:04:19.874361,58.0,43.0
2018-06-14 18:07:41.180749,67.0,34.0
2018-06-14 18:09:19.989439,73.0,28.0
2018-06-14 18:12:41.303011,47.0,54.0
2018-06-14 18:14:20.118699,44.0,57.0
2018-06-14 18:17:41.421919,63.0,38.0
2018-06-14 18:19:20.185401,56.0,45.0
2018-06-14 18:22:41.523088,78.0,23.0
2018-06-14 18:24:20.288551,80.0,20.0
2018-06-14 18:27:41.581764,56.0,45.0
2018-06-14 18:29:20.356717,84.0,17.0
2018-06-14 18:32:41.695466,67.0,34.0
2018-06-14 18:34:20.461492,67.0,34.0
2018-06-14 18:37:41.807660,80.0,21.0
2018-06-14 18:39:20.578263,75.0,25.0
2018-06-14 18:42:41.922230,77.0,24.0
2018-06-14 18:44:20.688811,84.0,17.0
2018-06-14 18:47:42.029799,80.0,20.0
2018-06-14 18:49:20.803201,67.0,34.0
2018-06-14 18:52:42.160883,78.0,23.0
2018-06-14 18:54:20.908417,82.0,19.0
2018-06-14 18:57:42.239756,83.0,18.0
2018-06-14 18:59:21.032739,89.0,12.0
2018-06-14 19:04:21.147828,84.0,17.0
2018-06-14 19:09:21.240695,80.0,21.0
2018-06-14 19:14:21.342575,75.0,25.0
2018-06-14 19:19:21.467388,82.0,19.0
2018-06-14 19:24:21.596847,77.0,24.0
2018-06-14 19:29:21.728958,40.0,61.0
2018-06-14 19:34:21.815739,8.0,93.0
2018-06-14 19:39:21.940681,14.0,87.0
2018-06-14 19:44:21.984049,13.0,88.0
2018-06-14 19:49:22.090154,31.0,70.0
2018-06-14 19:54:22.187118,15.0,86.0
2018-06-14 19:59:22.308690,23.0,78.0
2018-06-14 20:04:22.406206,13.0,88.0
2018-06-14 20:09:22.480385,16.0,85.0
2018-06-14 20:14:22.585161,24.0,77.0
2018-06-14 20:19:22.709691,16.0,85.0
2018-06-14 20:24:22.829706,29.0,72.0
2018-06-14 20:29:22.957195,15.0,86.0
2018-06-14 20:34:23.088592,16.0,84.0
2018-06-14 20:39:23.218999,19.0,82.0
2018-06-14 20:44:23.305518,46.0,55.0
2018-06-14 20:49:23.404857,16.0,84.0
2018-06-14 20:54:23.531862,16.0,85.0
2018-06-14 20:59:23.653256,16.0,85.0
