,created_at,hashtags,lang,location,locationBis,positivity,text
0,2018-06-14 14:41:42,[],fr,,,-1,Avec la coupe du monde ça s'improvise expert des relations diplomatiques dans ce parti. 🤣 Ils ne savent même pas qu… https://t.co/QG4ltm5fvC
1,2018-06-14 14:42:59,[],fr,"Chepoix, France",FRA,0,Ça va faire 1h30 que j’attend devant ma télé pour regarder un Russie - Arabie Saoudite de mort MAIS BLC C’EST LA CO… https://t.co/viKSqDDq2F
2,2018-06-14 14:43:58,"['RUSARA', 'Russia2018']",fr,"Saint-Brieuc, France",FRA,0,"Sur ce match, je vois la Russie gagner ! #RUSARA #Russia2018"
3,2018-06-14 14:43:59,"['CDM18', 'RUSARA']",fr,,,0,"1er pari coupe du monde. Russie - Arabie Saoudite : +0,5 buts Arabie Saoudite @ 2 sur betclic #CDM18 #RUSARA"
4,2018-06-14 14:44:03,['RUSARA'],fr,Parieur Pro / Conseil ,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
5,2018-06-14 14:44:12,['RUSARA'],fr,"Lyon, France",FRA,1,@FacheBenjamin C’est clair 😑 pour les matchs ça sera déjà plus simple #RUSARA ?
6,2018-06-14 14:44:26,['RUSARA'],fr,,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
7,2018-06-14 14:44:30,"['CDM2018', 'WorldCupRussia2018', 'RUSARA']",fr,"Paris, France",USA,0,"⚽️ #CDM2018 #WorldCupRussia2018 #RUSARA
A l'occasion du Russie - Arabie Saoudite

Joue et gagne ce T-Shirt
Pour cel… https://t.co/fMcvASo7e7"
8,2018-06-14 14:44:33,"['WorldCupRussia2018', 'RUSARA']",fr,France,FRA,0,"😂😂😂😂 @robbiewilliams qui se permet de faire un fuck devant la caméra 😂😂😂😂
#WorldCupRussia2018 #RUSARA"
9,2018-06-14 14:44:47,['RUSARA'],fr,"Lucé, Centre",FRA,1,Parfait j’arrive après la cérémonie d’ouverture #RUSARA
10,2018-06-14 14:44:58,['RUSARA'],fr,Cannes,FRA,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
11,2018-06-14 14:44:58,['RUSARA'],fr,Paris,USA,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
12,2018-06-14 14:44:59,"['Russia2018WorldCup', 'RUSARA']",fr,[Sarcelles-Nador-Medine],,1,"Bon deja la cérémonie d’ouverture elle est claquée a mort. 
#Russia2018WorldCup #RUSARA"
13,2018-06-14 14:45:02,[],fr,"Paris, Ile-de-France",USA,-1,RT @NicolasKanaan: Comment un duel entre une nation qui a d’énormes groupes pétroliers (🇷🇺) et une autre qui a du pétrole à foison (🇸🇦) peu…
14,2018-06-14 14:45:07,[],fr,"Villeurbanne, France",FRA,1,"Au calme, en train de regarder Rob. Williams nous ouvrir cette coupe du monde. Et enfin, le début de cette 21ème Co… https://t.co/JsURVfa27w"
15,2018-06-14 14:45:08,[],fr,"Paris, Ile-de-France",USA,-1,"RT @NicolasKanaan: Je suis le seul à penser que ce Russie 🇷🇺 vs Arabie Saoudite 🇸🇦 va complètement partir en sucette 🍭?

Mon prono: 4/4.…"
16,2018-06-14 14:46:12,"['RUSARA', 'WorldCupRussia2018']",fr,,,1,Dzagoev va te montrer que le football russe est magnifique #RUSARA #WorldCupRussia2018
17,2018-06-14 14:46:19,"['CoupeDuMonde2018', 'RUSKSA', 'RUSARA']",fr,Paris,USA,0,"#CoupeDuMonde2018 #RUSKSA #RUSARA la Russie a déjà remporté une coupe du monde ...en 1934 à Paris....
@clerebillat… https://t.co/uIaA7IBHxR"
18,2018-06-14 14:46:25,['RUSARA'],fr,,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
19,2018-06-14 14:46:31,"['Dunkerque', 'Lille', 'Calais', 'Boulogne', 'Nord', 'NpdC', 'Hautsdefrance']",fr,Bergues (nord) France,FRA,-1,#Dunkerque #Lille #Calais #Boulogne #Nord #NpdC #Hautsdefrance ⚽️ Nous commençons aujourd'hui les chroniques… https://t.co/euqQoY5bVz
20,2018-06-14 14:46:36,['RUSARA'],fr,,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
21,2018-06-14 14:46:36,"['CM2018', 'RUSARA']",fr,"Arcueil, France",FRA,-1,Mon père et moi on connaît 0 joueur mais impossible de rater le 1er match ptdr #CM2018 #RUSARA
22,2018-06-14 14:46:37,['RUSARA'],fr,Entre Ghandi et Hitler,,0,"Allez la Russie 
#RUSARA"
23,2018-06-14 14:46:38,['RUSARA'],fr,"London, England",GBR,0,"Debut de la coupe du monde Russie 2018 les choses sérieuse commencent
#RUSARA"
24,2018-06-14 14:46:50,['RUSARA'],fr,,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
25,2018-06-14 14:46:50,['CoupeDuMonde2018'],fr,BelieberDirectionerMixerZquad,,1,Mon pronostique pour ce premier match de la #CoupeDuMonde2018 est 2-1 pour la Russie 😉 J'hésitais un peu mais je pe… https://t.co/j5kmdxfjOW
26,2018-06-14 14:46:57,"['WorldCupRussia2018', 'Rusia2018', 'RUSARA']",fr,Paris 18,USA,0,Alors? #WorldCupRussia2018 #Rusia2018 #RUSARA et combien combien?
27,2018-06-14 14:47:30,['RUSARA'],fr,"Rhône-Alpes, France",FRA,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
28,2018-06-14 14:47:40,"['RUSARA', 'WorldCupRussia2018']",fr,"Rennes, France",FRA,1,Je suis plus emballé par un Russie-Arabie Saoudite qu'un quart de LDC 😭#RUSARA #WorldCupRussia2018
29,2018-06-14 14:47:41,['RUSARA'],fr,"Le Mans, France",FRA,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
30,2018-06-14 14:50:33,[],fr,,,0,RT @wandrillebonis: C’est vraiment parce que c’est le match d’ouverture que je suis Russie Arabie Saoudite 😂😂😂 sinon c’était même pas en rê…
31,2018-06-14 14:50:35,['RUSARA'],fr,Côte d'Ivoire,,0,"Bouffez moi ces saoudiens, écrasez les, marchez leur dessus ! #RUSARA"
32,2018-06-14 14:50:43,"['WorldCup', 'WorldCup2018', 'CoupeDuMonde2018']",fr,"Paris, France",USA,1,"Ma plus belle relation amoureuse va débuter dans quelques instants
😍🎉⚽

#WorldCup #WorldCup2018 #CoupeDuMonde2018… https://t.co/Jz1ZmPARW8"
33,2018-06-14 14:50:49,"['RUSKSA', 'RUSARA']",fr,France,FRA,1,Bon la pour les commentaires de Margotton on file sur TF1 il y a pas photo #RUSKSA #RUSARA
34,2018-06-14 14:54:52,['RUSARA'],fr,,,1,"Bon match à tous , en espérant que l’Arabie Saoudite soit meilleur que sur la play #RUSARA"
35,2018-06-14 14:54:58,['RUSARA'],fr,France,FRA,1,J’aime pas la Russie mais l’Arabie Saoudite m’a dégoûté hier.. par conséquent je veux juste un match spectaculaire #RUSARA
36,2018-06-14 14:55:04,"['RUSARA', 'WorldCup']",fr,Fraicheur,,-1,RT @Alayks: Un peu en galère le traducteur franco-russe. #RUSARA #WorldCup
37,2018-06-14 14:55:06,[],fr,"Mouguerre, Pays Basque",,1,"« Vive le football, vive la Russie et surtout n’oubliez pas : nous savons où vous habitez. Un accident est vite arr… https://t.co/c2mwxLyvrt"
38,2018-06-14 14:55:07,[],fr,,,1,RT @PrinceduParc: Aleksandr Golovin est un bon joueur... Bizarre que aucun club de Ligue 1 ne se penche sur lui... J'espère que sa Coupe du…
39,2018-06-14 14:55:14,[],fr,"Rennes, France",FRA,0,"RT @MkrInes: LE LIVE EST LANCÉ !
Regardons le match ensemble 🔥
-
https://t.co/jO7x1L4Tsg https://t.co/BTPSO2DvSd"
40,2018-06-14 14:55:16,['RUSARA'],fr,,,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
41,2018-06-14 14:55:18,['FiFoot'],fr,Eus,,1,RT @FranceInsoumise: ⚽️ Nous commençons aujourd'hui les chroniques #FiFoot avec des analyses politiques de certains matches de la coupe du…
42,2018-06-14 14:55:20,"['CoupeduMonde', 'RUSARA', 'RUS', 'KSA', 'RUSKSA']",fr,"Marseille, France",FRA,0,La #CoupeduMonde est officiellement commencée avec le début de #RUSARA #RUS #KSA #RUSKSA
43,2018-06-14 14:55:43,"['RUSARA', 'CDM2018']",fr,nowhere,,0,"RT @MrEDtheTruth: En gros: « vous perdez aujourd’hui les gars c’est goulag »

#RUSARA #CDM2018 https://t.co/8VMeOqmGU9"
44,2018-06-14 14:55:51,[],fr,"Miami, FL",USA,1,RT @Somany_thingx: Si l’Arabie Saoudite gagne contre la Russie je deviens riche et je paye un kebab 🥙 à tous ceux sui auront retweetés ou l…
45,2018-06-14 14:55:52,"['RUSARA', 'CM2018']",fr,,,1,"RT @Betclic: 🇷🇺 Russie vs Arabie Saoudite 🇸🇦

⚽ Qui va gagner le match #RUSARA ? #CM2018 

🌍 Toutes les cotes pour parier : https://t.co/qw…"
46,2018-06-14 14:55:59,['RUSARA'],fr,"London, England",GBR,1,"RT @ParionsSportEL: 🎁 5 x 20€ de paris gratuits à gagner sur #RUSARA

1⃣ RT &amp; Follow 
2⃣ Réponds au post de la manière suivante : 2-0 ou 2/…"
47,2018-06-14 14:56:00,['arabiesaoudite'],fr,,,1,"@GV3443GV @NicolasKanaan reste à savoir si l'#arabiesaoudite a acheté le match ou pas, tu le sauras ds 90 min 🤣… https://t.co/mFJ5RIa9vn"
48,2018-06-14 14:56:01,"['RUSARA', 'CM2018']",fr,"Saint-Jeannet, France",FRA,1,"RT @pantalon_blanc: Couuuuupe du Mooooonde. Hyyyyyype 🔥

Un bon petit match tout pété pour commencer, ça c'est l'esprit CDM #RUSARA #CM2018"
