,created_at,hashtags,lang,location,locationBis,positivity,text
0,2018-06-27 12:14:52,['SERBRA'],en,world,,0,"RT @itvfootball: Will they get it?

Find out on @ITV tonight from 6.30pm as @neymarjr and co. look to make the last 16 

#SERBRA https://t.…"
1,2018-06-27 12:17:33,"['CORALL', 'mexsue']",fr,,,0,"RT @wlfootbal: Programme du jour :
🕗 16h00 ➡️  🇰🇷 corée - 🇩🇪 Allemagne #CORALL
                 ➡️🇸🇪suède  -  🇲🇽  Mexique  #mexsue 
🕗 20h00…"
2,2018-06-27 12:18:40,"['WorldCup', 'xG', 'KOR', 'GER', 'MEX']",en,"Beverley, England",GBR,0,"RT @InfoGolApp: Match previews for today's #WorldCup action based on expected goals (#xG) 👇
#KOR vs #GER 👉 https://t.co/5zawwjIXep 
#MEX vs…"
3,2018-06-27 12:18:55,['SERBRA'],en,Sirius B,,1,"“Hookers do tricks, magicians make magic.” #SERBRA 🇷🇸 https://t.co/qLN43tIJsG"
4,2018-06-27 12:19:32,"['25DaysofEngland', '2018worldcup', 'englandfc', 'threelions']",en,London to Chicago,GBR,0,"Day 14/25: England 2014

https://t.co/zBPSa774bS

#25DaysofEngland #2018worldcup #englandfc #threelions⁠ ⁠… https://t.co/sJhlZnjP7U"
5,2018-06-27 12:22:00,"['GrupoE', 'Serbia', 'Brasil']",es,"Buenos Aires , Argentina",ARG,0,RT @martinbugliavaz: La previa de un duelo clave en el #GrupoE. #Serbia y #Brasil se cruzan en Moscú con la mira en octavos y repasamos la…
6,2018-06-27 12:22:13,['BlackbetWCgiveaway'],en,Nigeria,NGA,1,"We still have loads of Free Bets to give out in our #BlackbetWCgiveaway.💰💰

⚽📣 Predict the final score of the Serbi… https://t.co/g26Ekm7051"
7,2018-06-27 12:22:26,"['KORGER', 'MEXSWE']",en,"Brisbane, Queensland",AUS,0,"Today's match predictions ⚽️

South Korea 🇰🇷 0 - 3 🇩🇪 Germany
#KORGER
Mexico 🇲🇽 1 - 1 🇸🇪 Sweden
#MEXSWE
Serbia 🇷🇸 2… https://t.co/6mR8268nmV"
8,2018-06-27 12:27:06,"['SERBRA', 'BRA', 'WorldCup']",en,UK,,0,"@ITV @neymarjr And Brazil's running man is...

#SERBRA #BRA #WorldCup https://t.co/KwsVulMTFa"
9,2018-06-27 12:27:12,[],fr,,,1,RT @Le_Footoir: TOP 10 des plus belles photos de la femme de Neymar : Bruna Marquezine. Lire l'article sur Le Footoir : https://t.co/uxVhTC…
10,2018-06-27 12:28:50,"['Brasilempata', 'BRASER', 'SERBRA']",pt,Brasil,,0,@McDonalds_BR #Brasilempata hoje #BRASER #SERBRA
