Count,Nation
24.0,GBR
18.0,USA
11.0,FRA
8.0,AUS
6.0,CHE
5.0,SWE
4.0,DEU
3.0,NGA
3.0,IND
3.0,KEN
2.0,CAN
2.0,ZAF
2.0,THA
2.0,BRA
2.0,IDN
2.0,ITA
1.0,IRL
1.0,VEN
1.0,MYS
1.0,NLD
1.0,UGA
1.0,URY
1.0,BEL
1.0,PRT
1.0,GHA
1.0,SGP
1.0,PAK
1.0,HKG
1.0,FIN
1.0,NZL
1.0,DNK
1.0,LUX
1.0,MEX
1.0,COL
1.0,VNM
1.0,NPL
1.0,MAR
1.0,CMR
1.0,MLT
1.0,PRI
1.0,NIC
1.0,ESP
1.0,CHL
1.0,PHL
1.0,GTM
1.0,MMR
1.0,JPN
1.0,CHN
1.0,RUS
1.0,BGD
1.0,GRD
1.0,SLV
1.0,SRB
1.0,SAU
1.0,HND
1.0,FRO
1.0,TUN
1.0,LKA
1.0,ARG
1.0,NOR
1.0,POL
1.0,PRK
1.0,TUR
1.0,BGR
1.0,BHS
1.0,MWI
1.0,ECU
1.0,ISR
1.0,ISL
1.0,RWA
1.0,KWT
1.0,CIV
1.0,AUT
1.0,QAT
1.0,MTQ
1.0,JOR
1.0,IRQ
