Time,Positive,Negative
2018-06-18 16:14:55.276728,92.0,9.0
2018-06-18 16:19:55.403654,91.0,10.0
2018-06-18 16:24:55.504838,88.0,13.0
2018-06-18 16:29:55.616476,92.0,9.0
2018-06-18 16:34:55.722596,90.0,11.0
2018-06-18 16:39:55.827207,89.0,12.0
2018-06-18 16:44:55.885153,89.0,12.0
2018-06-18 16:49:55.905743,95.0,6.0
2018-06-18 16:54:55.966960,89.0,12.0
2018-06-18 16:59:56.013031,92.0,9.0
2018-06-18 17:04:56.080115,87.0,14.0
2018-06-18 17:09:56.159570,87.0,14.0
2018-06-18 17:14:56.249612,87.0,14.0
2018-06-18 17:19:56.346379,87.0,14.0
2018-06-18 17:24:56.445539,96.0,5.0
2018-06-18 17:29:56.516853,83.0,18.0
2018-06-18 17:34:56.623774,92.0,9.0
2018-06-18 17:39:56.730187,83.0,18.0
2018-06-18 17:44:56.848342,93.0,8.0
2018-06-18 17:49:56.975416,84.0,17.0
2018-06-18 17:54:57.015796,77.0,24.0
2018-06-18 17:59:57.130329,81.0,20.0
2018-06-18 18:04:57.203767,82.0,19.0
2018-06-18 18:09:57.281127,90.0,11.0
2018-06-18 18:14:57.350112,91.0,10.0
2018-06-18 18:19:57.471058,90.0,11.0
2018-06-18 18:24:57.588078,89.0,12.0
2018-06-18 18:29:57.628475,83.0,18.0
2018-06-18 18:34:57.759324,88.0,13.0
2018-06-18 18:39:57.897339,70.0,30.0
2018-06-18 18:44:57.942063,88.0,13.0
2018-06-18 18:49:57.992602,83.0,18.0
2018-06-18 18:54:58.115329,93.0,8.0
2018-06-18 18:59:58.259585,88.0,13.0
2018-06-18 19:04:58.409584,86.0,15.0
2018-06-18 19:09:58.563572,82.0,19.0
2018-06-18 19:14:58.670503,90.0,11.0
2018-06-18 19:19:58.839291,81.0,20.0
2018-06-18 19:24:59.027836,72.0,29.0
2018-06-18 19:29:59.224659,77.0,24.0
2018-06-18 19:34:59.406178,80.0,21.0
2018-06-18 19:39:59.566692,83.0,18.0
2018-06-18 19:44:59.737886,81.0,20.0
2018-06-18 19:49:59.976806,82.0,19.0
2018-06-18 19:55:00.217787,84.0,17.0
2018-06-18 20:00:00.496121,78.0,23.0
2018-06-18 20:05:00.783548,72.0,29.0
2018-06-18 20:10:01.119267,71.0,30.0
2018-06-18 20:15:01.486955,74.0,27.0
2018-06-18 20:20:01.961483,71.0,30.0
2018-06-18 20:25:02.491082,71.0,30.0
2018-06-18 20:30:03.022580,68.0,33.0
2018-06-18 20:35:03.588030,64.0,37.0
2018-06-18 20:40:04.215307,69.0,32.0
2018-06-18 20:45:04.965188,70.0,31.0
2018-06-18 20:50:05.740037,65.0,36.0
2018-06-18 20:55:06.733955,69.0,32.0
2018-06-18 21:00:07.715246,69.0,32.0
2018-06-18 21:05:08.765122,68.0,33.0
2018-06-18 21:10:09.930022,68.0,33.0
2018-06-18 21:15:11.039693,59.0,42.0
2018-06-18 21:20:12.139409,67.0,34.0
2018-06-18 21:25:13.337709,65.0,36.0
2018-06-18 21:30:14.620156,68.0,33.0
2018-06-18 21:35:15.995348,64.0,37.0
2018-06-18 21:40:17.257828,71.0,30.0
2018-06-18 21:45:18.689750,61.0,40.0
2018-06-18 21:50:20.157051,58.0,43.0
2018-06-18 21:55:21.826968,58.0,43.0
2018-06-18 22:00:23.639001,58.0,43.0
2018-06-18 22:05:25.436219,48.0,53.0
2018-06-18 22:10:27.177700,54.0,47.0
2018-06-18 22:15:29.261506,63.0,38.0
2018-06-18 22:20:31.062446,62.0,39.0
2018-06-18 22:25:33.098434,65.0,36.0
2018-06-18 22:30:34.881316,62.0,39.0
2018-06-18 22:35:37.073420,59.0,42.0
2018-06-18 22:40:39.095145,61.0,40.0
2018-06-18 22:45:40.901360,64.0,37.0
2018-06-18 22:50:43.073343,67.0,34.0
2018-06-18 22:55:45.150579,63.0,38.0
2018-06-18 23:00:47.258549,68.0,33.0
2018-06-18 23:05:49.147663,67.0,34.0
2018-06-18 23:10:51.397392,67.0,34.0
2018-06-18 23:15:53.307546,66.0,35.0
2018-06-18 23:20:55.354406,67.0,34.0
2018-06-18 23:25:57.618923,67.0,34.0
2018-06-18 23:30:59.540681,59.0,42.0
2018-06-18 23:36:01.799582,57.0,44.0
2018-06-18 23:41:04.020416,62.0,39.0
2018-06-18 23:46:05.885404,63.0,38.0
2018-06-18 23:51:08.158115,60.0,41.0
2018-06-18 23:56:10.109122,61.0,40.0
2018-06-19 00:01:12.370942,60.0,41.0
2018-06-19 00:06:14.661390,57.0,44.0
2018-06-19 00:11:16.838086,57.0,44.0
2018-06-19 00:16:19.069608,64.0,37.0
2018-06-19 00:21:21.190064,67.0,34.0
2018-06-19 00:26:23.456100,56.0,45.0
2018-06-19 00:31:25.476892,58.0,43.0
2018-06-19 00:36:27.562193,54.0,47.0
2018-06-19 00:41:29.903868,61.0,40.0
2018-06-19 00:46:32.175445,63.0,38.0
2018-06-19 00:51:34.202785,45.0,56.0
2018-06-19 00:56:36.373298,65.0,36.0
