Time,Positive,Negative
2018-06-30 16:09:32.932834,78.0,23.0
2018-06-30 16:14:33.051592,78.0,23.0
2018-06-30 16:19:33.160113,89.0,12.0
2018-06-30 16:24:33.269852,80.0,20.0
2018-06-30 16:29:33.366172,100.0,0.0
2018-06-30 16:34:33.453614,90.0,11.0
2018-06-30 16:39:33.493718,87.0,14.0
2018-06-30 16:44:33.601649,74.0,27.0
2018-06-30 16:49:33.710781,76.0,25.0
2018-06-30 16:54:33.795473,75.0,26.0
2018-06-30 16:59:33.906017,85.0,16.0
2018-06-30 17:04:34.017420,62.0,39.0
2018-06-30 17:09:34.105687,50.0,50.0
2018-06-30 17:14:34.215376,72.0,29.0
2018-06-30 17:19:34.287193,73.0,28.0
2018-06-30 17:24:34.358413,79.0,22.0
2018-06-30 17:29:34.389686,65.0,35.0
2018-06-30 17:34:34.461287,56.0,45.0
2018-06-30 17:39:34.581300,85.0,16.0
2018-06-30 17:44:34.675599,58.0,43.0
2018-06-30 17:49:34.773454,77.0,24.0
2018-06-30 17:54:34.895792,59.0,42.0
2018-06-30 17:59:35.020902,61.0,40.0
2018-06-30 18:04:35.151394,77.0,24.0
2018-06-30 18:09:35.227240,69.0,32.0
2018-06-30 18:14:35.348872,76.0,25.0
2018-06-30 18:19:35.503263,90.0,11.0
2018-06-30 18:24:35.560883,80.0,21.0
2018-06-30 18:29:35.710103,79.0,22.0
2018-06-30 18:34:35.771540,81.0,20.0
2018-06-30 18:39:35.918423,84.0,17.0
2018-06-30 18:44:36.078331,74.0,27.0
2018-06-30 18:49:36.262433,75.0,25.0
2018-06-30 18:54:36.389708,71.0,30.0
2018-06-30 18:59:36.569324,83.0,18.0
2018-06-30 19:04:36.776284,80.0,21.0
2018-06-30 19:09:36.987665,73.0,28.0
2018-06-30 19:14:37.126263,43.0,58.0
2018-06-30 19:19:37.345690,61.0,40.0
2018-06-30 19:24:37.588344,67.0,34.0
2018-06-30 19:29:37.776138,68.0,33.0
2018-06-30 19:34:38.025176,65.0,36.0
2018-06-30 19:39:38.305545,66.0,35.0
2018-06-30 19:44:38.588010,74.0,27.0
2018-06-30 19:49:38.880998,86.0,15.0
2018-06-30 19:54:39.138420,80.0,21.0
2018-06-30 19:59:39.526463,77.0,24.0
2018-06-30 20:04:39.958682,73.0,28.0
2018-06-30 20:09:40.478248,79.0,22.0
2018-06-30 20:14:41.067992,84.0,17.0
2018-06-30 20:19:41.763987,79.0,22.0
2018-06-30 20:24:42.406190,77.0,24.0
2018-06-30 20:29:43.132512,73.0,28.0
2018-06-30 20:34:43.930478,75.0,26.0
2018-06-30 20:39:44.783951,79.0,22.0
2018-06-30 20:44:45.785660,72.0,29.0
2018-06-30 20:49:46.830002,62.0,39.0
2018-06-30 20:54:48.038321,69.0,32.0
2018-06-30 20:59:49.206122,67.0,34.0
2018-06-30 21:04:50.472249,66.0,35.0
2018-06-30 21:09:51.672007,72.0,29.0
2018-06-30 21:14:53.043784,64.0,37.0
2018-06-30 21:19:54.589658,62.0,39.0
2018-06-30 21:24:56.280158,81.0,20.0
2018-06-30 21:29:57.928217,81.0,20.0
2018-06-30 21:34:59.913223,79.0,22.0
2018-06-30 21:40:01.704577,80.0,21.0
2018-06-30 21:45:03.897964,73.0,28.0
2018-06-30 21:50:05.841936,65.0,36.0
2018-06-30 21:55:08.105800,61.0,40.0
2018-06-30 22:00:10.445560,72.0,29.0
2018-06-30 22:05:13.123911,73.0,28.0
2018-06-30 22:10:15.522385,73.0,28.0
2018-06-30 22:15:18.399606,73.0,28.0
2018-06-30 22:20:21.220451,75.0,26.0
2018-06-30 22:25:24.151560,75.0,26.0
2018-06-30 22:30:27.201053,76.0,25.0
2018-06-30 22:35:30.131839,77.0,24.0
2018-06-30 22:40:33.534765,79.0,22.0
2018-06-30 22:45:36.497468,73.0,28.0
2018-06-30 22:50:39.888926,74.0,27.0
2018-06-30 22:55:43.131894,76.0,25.0
2018-06-30 23:00:46.550982,77.0,24.0
2018-06-30 23:05:49.595032,79.0,22.0
2018-06-30 23:10:53.056865,74.0,27.0
2018-06-30 23:15:56.643084,77.0,24.0
2018-06-30 23:21:00.069752,73.0,28.0
2018-06-30 23:26:03.558906,72.0,29.0
2018-06-30 23:31:07.053544,77.0,24.0
2018-06-30 23:36:10.769914,70.0,31.0
2018-06-30 23:41:14.216708,76.0,25.0
2018-06-30 23:46:17.785063,76.0,25.0
2018-06-30 23:51:21.339363,79.0,22.0
