Time,Positive,Negative
2018-06-25 11:36:49.000000,100.0,0.0
2018-06-25 11:41:49.000000,78.0,23.0
2018-06-25 11:46:49.000000,75.0,25.0
2018-06-25 11:51:49.000000,58.0,43.0
2018-06-25 11:56:49.000000,50.0,50.0
2018-06-25 12:01:49.000000,82.0,19.0
2018-06-25 12:06:49.000000,65.0,36.0
2018-06-25 12:11:49.000000,29.0,72.0
2018-06-25 12:16:49.000000,38.0,63.0
2018-06-25 12:21:49.000000,55.0,46.0
2018-06-25 12:26:49.000000,60.0,41.0
2018-06-25 12:31:49.000000,62.0,39.0
2018-06-25 12:36:49.000000,50.0,50.0
2018-06-25 12:41:49.000000,56.0,45.0
2018-06-25 12:46:49.000000,67.0,34.0
2018-06-25 12:51:49.000000,67.0,34.0
2018-06-25 12:56:49.000000,83.0,18.0
2018-06-25 13:01:49.000000,65.0,36.0
2018-06-25 13:06:49.000000,90.0,11.0
2018-06-25 13:11:49.000000,75.0,25.0
2018-06-25 13:16:49.000000,78.0,23.0
2018-06-25 13:21:49.000000,72.0,29.0
2018-06-25 13:26:49.000000,64.0,37.0
2018-06-25 13:31:49.000000,83.0,18.0
2018-06-25 13:36:49.000000,97.0,4.0
2018-06-25 13:41:49.000000,94.0,7.0
2018-06-25 13:46:49.000000,90.0,11.0
2018-06-25 13:51:49.000000,89.0,12.0
2018-06-25 13:56:49.000000,89.0,12.0
2018-06-25 14:01:49.000000,97.0,4.0
2018-06-25 14:06:49.000000,95.0,6.0
2018-06-25 14:11:49.000000,90.0,11.0
2018-06-25 14:16:49.000000,96.0,5.0
2018-06-25 14:21:49.000000,93.0,8.0
2018-06-25 14:26:49.000000,90.0,11.0
2018-06-25 14:31:49.000000,84.0,16.0
2018-06-25 14:36:49.000000,96.0,5.0
2018-06-25 14:41:49.000000,95.0,6.0
2018-06-25 14:46:49.000000,97.0,4.0
2018-06-25 14:51:49.000000,100.0,1.0
2018-06-25 14:56:49.000000,97.0,4.0
2018-06-25 15:01:49.000000,96.0,4.0
2018-06-25 15:06:49.000000,95.0,6.0
2018-06-25 15:11:49.000000,97.0,4.0
2018-06-25 15:09:04.349878,96.0,5.0
2018-06-25 15:14:04.460806,94.0,7.0
2018-06-25 15:19:04.568304,95.0,6.0
2018-06-25 15:24:04.739752,96.0,5.0
2018-06-25 15:29:04.904362,92.0,9.0
2018-06-25 15:34:05.058091,94.0,7.0
2018-06-25 15:39:05.251608,93.0,8.0
2018-06-25 15:44:05.406149,92.0,9.0
2018-06-25 15:49:05.605892,95.0,6.0
2018-06-25 15:54:05.808179,91.0,10.0
2018-06-25 15:59:06.039834,86.0,15.0
2018-06-25 16:04:06.220132,81.0,20.0
2018-06-25 16:09:06.443519,85.0,16.0
2018-06-25 16:14:06.653317,93.0,8.0
2018-06-25 16:19:06.955260,92.0,9.0
2018-06-25 16:24:07.254877,86.0,15.0
2018-06-25 16:29:07.553966,65.0,36.0
2018-06-25 16:34:07.927261,74.0,27.0
2018-06-25 16:39:08.362653,62.0,39.0
2018-06-25 16:44:08.804729,68.0,33.0
2018-06-25 16:49:09.267481,73.0,28.0
2018-06-25 16:54:09.771937,73.0,28.0
2018-06-25 16:59:10.291880,72.0,29.0
2018-06-25 17:04:10.792966,74.0,27.0
2018-06-25 17:09:11.380298,65.0,36.0
2018-06-25 17:14:11.944748,74.0,27.0
2018-06-25 17:19:12.508949,78.0,23.0
2018-06-25 17:24:13.067855,75.0,26.0
2018-06-25 17:29:13.662842,71.0,30.0
2018-06-25 17:34:14.274186,76.0,25.0
