,Position,Equipe,Points,Group,Emoji,Buts_pour,Buts_contre
0,1,Russia,0,A,russia,0,0
1,2,Saudi Arabia,0,A,saudi-arabia,0,0
2,3,Egypt,0,A,egypt,0,0
3,4,Uruguay,0,A,uruguay,0,0
4,1,Portugal,0,B,portugal,0,0
5,2,Spain,0,B,spain,0,0
6,3,Morocco,0,B,morocco,0,0
7,4,Iran,0,B,iran,0,0
8,1,France,0,C,france,0,0
9,2,Australia,0,C,australia,0,0
10,3,Peru,0,C,peru,0,0
11,4,Denmark,0,C,denmark,0,0
12,1,Argentina,0,D,argentina,0,0
13,2,Iceland,0,D,iceland,0,0
14,3,Croatia,0,D,croatia,0,0
15,4,Nigeria,0,D,nigeria,0,0
16,1,Brazil,0,E,brazil,0,0
17,2,Switzerland,0,E,switzerland,0,0
18,3,Costa Rica,0,E,costa-rica,0,0
19,4,Serbia,0,E,serbia,0,0
20,1,Germany,0,F,germany,0,0
21,2,Mexico,0,F,mexico,0,0
22,3,Sweden,0,F,sweden,0,0
23,4,Korea Republic,0,F,south-korea,0,0
24,1,Belgium,0,G,belgium,0,0
25,2,Panama,0,G,panama,0,0
26,3,Tunisia,0,G,tunisia,0,0
27,4,England,0,G,england,0,0
28,1,Poland,0,H,poland,0,0
29,2,Senegal,0,H,senegal,0,0
30,3,Colombia,0,H,colombia,0,0
31,4,Japan,0,H,japan,0,0

