Date,Delivered,Sales
01-2014,3740.0,1006.0
02-2014,3171.0,880.0
03-2014,3030.0,1214.0
04-2014,2863.0,1237.0
05-2014,2920.0,1135.0
06-2014,2678.0,1068.0
07-2014,3505.0,1340.0
08-2014,3565.0,1505.0
09-2014,3739.0,1283.0
10-2014,3063.0,1201.0
11-2014,3138.0,1065.0
12-2014,2550.0,986.0
01-2015,2730.0,1133.0
02-2015,2158.0,897.0
03-2015,2332.0,1007.0
04-2015,2385.0,1041.0
05-2015,2045.0,942.0
06-2015,2281.0,1009.0
07-2015,2205.0,1144.0
08-2015,2243.0,1139.0
09-2015,2209.0,1038.0
10-2015,2445.0,1059.0
11-2015,2285.0,1008.0
12-2015,1982.0,971.0
01-2016,1871.0,859.0
02-2016,1896.0,853.0
03-2016,2027.0,961.0
04-2016,1863.0,938.0
05-2016,1911.0,1062.0
06-2016,2066.0,1081.0
07-2016,2204.0,1056.0
08-2016,2211.0,1194.0
09-2016,2337.0,1126.0
10-2016,2476.0,1077.0
11-2016,2604.0,1067.0
12-2016,2541.0,1029.0
