Date,Delivered,Sales
01-2014,6860.0,3213.0
02-2014,6227.0,2953.0
03-2014,6662.0,3751.0
04-2014,7381.0,4152.0
05-2014,7435.0,4111.0
06-2014,7643.0,4074.0
07-2014,11545.0,6285.0
08-2014,12966.0,8099.0
09-2014,9530.0,5219.0
10-2014,8437.0,4303.0
11-2014,6440.0,3187.0
12-2014,6438.0,3106.0
01-2015,6848.0,3251.0
02-2015,5552.0,2943.0
03-2015,6171.0,2821.0
04-2015,6652.0,3351.0
05-2015,6935.0,3528.0
06-2015,7725.0,3719.0
07-2015,10640.0,5722.0
08-2015,12958.0,7073.0
09-2015,9194.0,4491.0
10-2015,8260.0,3852.0
11-2015,7964.0,3059.0
12-2015,6594.0,2926.0
01-2016,6075.0,2524.0
02-2016,6172.0,2396.0
03-2016,6324.0,2525.0
04-2016,6178.0,2865.0
05-2016,6206.0,2970.0
06-2016,6833.0,3359.0
07-2016,8967.0,4829.0
08-2016,10951.0,6390.0
09-2016,8561.0,3683.0
10-2016,8155.0,3411.0
11-2016,7719.0,3001.0
12-2016,6818.0,2521.0
