Time,Positive,Negative
2018-07-06 18:43:31.772685,70.0,31.0
2018-07-06 18:48:31.924176,76.0,25.0
2018-07-06 18:53:32.063188,79.0,22.0
2018-07-06 18:58:32.218993,70.0,31.0
2018-07-06 19:03:32.436424,62.0,39.0
2018-07-06 19:08:32.652789,64.0,37.0
2018-07-06 19:13:32.857159,56.0,45.0
2018-07-06 19:18:33.141471,53.0,48.0
2018-07-06 19:23:33.457418,60.0,41.0
2018-07-06 19:28:33.780318,66.0,35.0
2018-07-06 19:33:34.097064,67.0,34.0
2018-07-06 19:38:34.547853,71.0,30.0
2018-07-06 19:43:35.073626,71.0,30.0
2018-07-06 19:48:35.604595,69.0,32.0
2018-07-06 19:53:36.319129,73.0,28.0
2018-07-06 19:58:37.190236,75.0,26.0
2018-07-06 20:03:38.227998,71.0,30.0
2018-07-06 20:08:39.443647,72.0,29.0
2018-07-06 20:13:40.841744,61.0,40.0
2018-07-06 20:18:42.361011,75.0,26.0
2018-07-06 20:23:44.252362,79.0,22.0
2018-07-06 20:28:46.231266,76.0,25.0
2018-07-06 20:33:48.357266,74.0,27.0
2018-07-06 20:38:50.785634,74.0,27.0
2018-07-06 20:43:53.488572,76.0,25.0
2018-07-06 20:48:56.190569,75.0,26.0
2018-07-06 20:53:58.991161,78.0,23.0
2018-07-06 20:59:02.260130,77.0,24.0
2018-07-06 21:04:05.902461,76.0,25.0
2018-07-06 21:09:09.059852,74.0,27.0
2018-07-06 21:14:12.801395,64.0,37.0
2018-07-06 21:19:16.789371,60.0,41.0
2018-07-06 21:24:20.802438,62.0,39.0
2018-07-06 21:29:24.850467,61.0,40.0
2018-07-06 21:34:29.305365,60.0,41.0
2018-07-06 21:39:34.017091,58.0,43.0
2018-07-06 21:44:38.957915,66.0,35.0
2018-07-06 21:49:43.767523,61.0,40.0
2018-07-06 21:54:49.014729,70.0,31.0
2018-07-06 21:59:54.531655,79.0,22.0
2018-07-06 22:05:00.298254,81.0,20.0
2018-07-06 22:10:06.572367,79.0,22.0
2018-07-06 22:15:11.981051,76.0,25.0
2018-07-06 22:20:18.132804,76.0,25.0
2018-07-06 22:25:24.565921,78.0,23.0
2018-07-06 22:30:31.390878,78.0,23.0
2018-07-06 22:35:38.403577,77.0,24.0
2018-07-06 22:40:45.814379,82.0,19.0
2018-07-06 22:45:52.341687,82.0,19.0
2018-07-06 22:50:59.675956,79.0,22.0
2018-07-06 22:56:07.309785,76.0,25.0
2018-07-06 23:01:15.360804,80.0,21.0
2018-07-06 23:06:23.118722,79.0,22.0
2018-07-06 23:11:30.922666,79.0,22.0
2018-07-06 23:16:39.542663,79.0,22.0
2018-07-06 23:21:46.797067,78.0,23.0
2018-07-06 23:26:55.084718,79.0,22.0
2018-07-06 23:32:03.598418,81.0,20.0
2018-07-06 23:37:11.735660,78.0,23.0
2018-07-06 23:42:20.280253,78.0,23.0
2018-07-06 23:47:29.205675,79.0,22.0
2018-07-06 23:52:37.770739,76.0,25.0
2018-07-06 23:57:46.328629,77.0,24.0
2018-07-07 00:02:54.762882,78.0,23.0
2018-07-07 00:08:03.902700,76.0,25.0
2018-07-07 00:13:12.549376,74.0,27.0
2018-07-07 00:18:21.099417,76.0,25.0
2018-07-07 00:23:30.153886,74.0,27.0
2018-07-07 00:28:39.682748,77.0,24.0
2018-07-07 00:33:47.786244,78.0,23.0
2018-07-07 00:38:56.812301,77.0,24.0
2018-07-07 00:44:05.930212,78.0,23.0
2018-07-07 00:49:15.269723,79.0,22.0
2018-07-07 00:54:24.121244,79.0,22.0
2018-07-07 00:59:33.355784,77.0,24.0
2018-07-07 01:04:42.919939,74.0,27.0
2018-07-07 01:09:52.185647,74.0,27.0
2018-07-07 01:15:01.376025,79.0,22.0
2018-07-07 01:20:10.440339,79.0,22.0
2018-07-07 01:25:19.446976,81.0,20.0
2018-07-07 01:30:28.954845,75.0,26.0
2018-07-07 01:35:38.672009,79.0,22.0
2018-07-07 01:40:47.873729,78.0,23.0
2018-07-07 01:45:57.179188,80.0,21.0
2018-07-07 01:51:06.162745,78.0,23.0
2018-07-07 01:56:15.776845,82.0,19.0
2018-07-07 02:01:24.763863,82.0,19.0
2018-07-07 02:06:34.655641,79.0,22.0
2018-07-07 02:11:44.255115,82.0,19.0
2018-07-07 02:16:54.047118,77.0,24.0
2018-07-07 02:22:03.530114,77.0,24.0
2018-07-07 02:27:13.897284,82.0,19.0
2018-07-07 02:32:23.733377,80.0,21.0
2018-07-07 02:37:32.334657,83.0,18.0
2018-07-07 02:42:42.150643,81.0,20.0
2018-07-07 02:47:52.487903,77.0,24.0
2018-07-07 02:53:02.140332,80.0,21.0
2018-07-07 02:58:11.306778,86.0,15.0
2018-07-07 03:03:21.168069,86.0,15.0
2018-07-07 03:08:31.315248,83.0,18.0
2018-07-07 03:13:41.111870,83.0,18.0
2018-07-07 03:18:50.925639,82.0,19.0
2018-07-07 03:23:59.628348,79.0,22.0
2018-07-07 03:29:09.426875,81.0,20.0
2018-07-07 03:34:19.670869,86.0,15.0
2018-07-07 03:39:29.427284,86.0,15.0
2018-07-07 03:44:38.886174,83.0,18.0
2018-07-07 03:49:49.287989,86.0,15.0
2018-07-07 03:54:58.705021,82.0,19.0
2018-07-07 04:00:09.358504,78.0,23.0
2018-07-07 04:05:18.222174,79.0,22.0
2018-07-07 04:10:27.991224,78.0,23.0
2018-07-07 04:15:38.313844,79.0,22.0
2018-07-07 04:20:48.386725,79.0,22.0
2018-07-07 04:25:57.942260,84.0,17.0
2018-07-07 04:31:08.264929,86.0,15.0
2018-07-07 04:36:18.091971,83.0,18.0
2018-07-07 04:41:27.755327,77.0,24.0
2018-07-07 04:46:37.212303,87.0,14.0
2018-07-07 04:51:47.468085,86.0,15.0
2018-07-07 04:56:58.043087,83.0,18.0
2018-07-07 05:02:07.981372,83.0,18.0
2018-07-07 05:07:17.876875,85.0,16.0
2018-07-07 05:12:27.893511,77.0,24.0
2018-07-07 05:17:37.535617,83.0,18.0
2018-07-07 05:22:48.759817,87.0,14.0
2018-07-07 05:27:58.421144,84.0,17.0
2018-07-07 05:33:08.606418,82.0,19.0
2018-07-07 05:38:18.845738,81.0,20.0
2018-07-07 05:43:29.573344,84.0,17.0
2018-07-07 05:48:39.461323,81.0,20.0
2018-07-07 05:53:49.464724,84.0,17.0
2018-07-07 05:58:59.688137,85.0,16.0
2018-07-07 06:04:10.564921,87.0,14.0
2018-07-07 06:09:21.342378,85.0,16.0
2018-07-07 06:14:31.667544,77.0,24.0
2018-07-07 06:19:41.553889,82.0,18.0
2018-07-07 06:24:51.483268,80.0,21.0
2018-07-07 06:30:02.059091,82.0,19.0
2018-07-07 06:35:12.167315,82.0,19.0
2018-07-07 06:40:22.915286,88.0,13.0
2018-07-07 06:45:33.038349,78.0,23.0
2018-07-07 06:50:44.023836,78.0,23.0
2018-07-07 06:55:53.065730,76.0,25.0
2018-07-07 07:01:03.377473,81.0,20.0
2018-07-07 07:06:13.641705,78.0,23.0
2018-07-07 07:11:23.873884,77.0,24.0
2018-07-07 07:16:34.866950,85.0,16.0
2018-07-07 07:21:44.761538,80.0,21.0
2018-07-07 07:26:55.966178,79.0,22.0
2018-07-07 07:32:06.674045,77.0,24.0
2018-07-07 07:37:17.244012,76.0,25.0
2018-07-07 07:42:27.763128,79.0,22.0
2018-07-07 07:47:38.384460,77.0,24.0
2018-07-07 07:52:49.010236,76.0,25.0
2018-07-07 07:57:58.251415,79.0,22.0
2018-07-07 08:03:08.457560,79.0,22.0
2018-07-07 08:08:19.412208,78.0,23.0
2018-07-07 08:13:30.276599,79.0,22.0
2018-07-07 08:18:40.693351,75.0,26.0
2018-07-07 08:23:50.982807,75.0,26.0
2018-07-07 08:29:01.347776,79.0,22.0
2018-07-07 08:34:11.665920,77.0,24.0
2018-07-07 08:39:22.420749,80.0,21.0
2018-07-07 08:44:32.327743,80.0,21.0
2018-07-07 08:49:43.087714,75.0,26.0
2018-07-07 08:54:54.061486,81.0,20.0
2018-07-07 09:00:03.644410,74.0,27.0
2018-07-07 09:05:14.030266,76.0,25.0
2018-07-07 09:10:25.225928,76.0,25.0
2018-07-07 09:15:36.203446,78.0,23.0
2018-07-07 09:20:46.554652,74.0,27.0
2018-07-07 09:25:56.670483,77.0,24.0
2018-07-07 09:31:07.894207,73.0,28.0
2018-07-07 09:36:18.356571,74.0,27.0
2018-07-07 09:41:28.511109,75.0,26.0
2018-07-07 09:46:39.629150,73.0,28.0
2018-07-07 09:51:49.957280,66.0,35.0
2018-07-07 09:57:00.268758,74.0,27.0
2018-07-07 10:02:11.187172,77.0,24.0
2018-07-07 10:07:21.534388,80.0,21.0
2018-07-07 10:12:31.617284,78.0,23.0
2018-07-07 10:17:42.254804,72.0,29.0
2018-07-07 10:22:53.614491,72.0,29.0
2018-07-07 10:28:03.815791,76.0,25.0
2018-07-07 10:33:14.920728,68.0,33.0
2018-07-07 10:38:25.758462,75.0,26.0
2018-07-07 10:43:36.500639,75.0,26.0
2018-07-07 10:48:46.050898,76.0,25.0
2018-07-07 10:53:56.933199,78.0,23.0
