Time,Positive,Negative
2018-06-22 11:24:54.104613,84.0,17.0
2018-06-22 11:29:54.160621,75.0,25.0
2018-06-22 11:34:54.248419,93.0,8.0
2018-06-22 11:39:54.357615,80.0,20.0
2018-06-22 11:44:54.471643,90.0,10.0
2018-06-22 11:49:54.572967,70.0,30.0
2018-06-22 11:54:54.688413,93.0,8.0
2018-06-22 11:59:54.773389,91.0,10.0
2018-06-22 12:04:54.887707,89.0,12.0
2018-06-22 12:09:54.996339,84.0,17.0
2018-06-22 12:14:55.108751,82.0,19.0
2018-06-22 12:19:55.193821,76.0,24.0
2018-06-22 12:24:55.259748,63.0,38.0
2018-06-22 12:29:55.364061,77.0,24.0
2018-06-22 12:34:55.474185,82.0,18.0
2018-06-22 12:39:55.584888,87.0,14.0
2018-06-22 12:44:55.700030,97.0,4.0
2018-06-22 12:49:55.830744,97.0,4.0
2018-06-22 12:54:55.925964,95.0,6.0
2018-06-22 12:59:55.989370,89.0,12.0
2018-06-22 13:04:56.047702,75.0,26.0
2018-06-22 13:09:56.207082,81.0,20.0
2018-06-22 13:14:56.366295,79.0,22.0
2018-06-22 13:19:56.459427,82.0,19.0
2018-06-22 13:24:56.621335,86.0,15.0
2018-06-22 13:29:56.771568,84.0,17.0
2018-06-22 13:34:56.989600,84.0,17.0
2018-06-22 13:39:57.192151,83.0,18.0
2018-06-22 13:44:57.408176,84.0,17.0
2018-06-22 13:49:57.642282,81.0,20.0
2018-06-22 13:54:57.852918,82.0,19.0
2018-06-22 13:59:58.126905,76.0,25.0
2018-06-22 14:04:58.415686,82.0,19.0
2018-06-22 14:09:58.717058,85.0,16.0
2018-06-22 14:14:58.982570,77.0,24.0
2018-06-22 14:19:59.353300,67.0,34.0
2018-06-22 14:24:59.719128,66.0,35.0
2018-06-22 14:30:00.178297,71.0,30.0
2018-06-22 14:35:00.667018,67.0,34.0
2018-06-22 14:40:01.111887,67.0,34.0
2018-06-22 14:45:01.610917,70.0,31.0
2018-06-22 14:50:02.287530,66.0,35.0
2018-06-22 14:55:02.899679,73.0,28.0
2018-06-22 15:00:03.572647,78.0,23.0
2018-06-22 15:05:04.380079,68.0,33.0
2018-06-22 15:10:05.122894,73.0,28.0
2018-06-22 15:15:05.878523,74.0,27.0
2018-06-22 15:20:06.734828,74.0,27.0
2018-06-22 15:25:07.621567,75.0,26.0
2018-06-22 15:30:08.501882,69.0,32.0
2018-06-22 15:35:09.534630,67.0,34.0
2018-06-22 15:40:10.636534,65.0,36.0
