Time,Positive,Negative
2018-06-17 16:37:11.709501,67.0,34.0
2018-06-17 16:42:11.831521,89.0,12.0
2018-06-17 16:47:11.901908,34.0,67.0
2018-06-17 16:52:11.922172,100.0,0.0
2018-06-17 16:57:12.009932,100.0,0.0
2018-06-17 17:02:12.085575,100.0,0.0
2018-06-17 17:07:12.173027,100.0,0.0
2018-06-17 17:12:12.266328,80.0,20.0
2018-06-17 17:17:12.307330,100.0,0.0
2018-06-17 17:22:12.418167,100.0,0.0
2018-06-17 17:27:12.512792,67.0,34.0
2018-06-17 17:32:12.564848,75.0,25.0
2018-06-17 17:37:12.652425,100.0,0.0
2018-06-17 17:42:12.693864,100.0,0.0
2018-06-17 17:47:12.794571,100.0,0.0
2018-06-17 17:52:12.883965,100.0,0.0
2018-06-17 17:57:12.962332,100.0,0.0
2018-06-17 18:02:13.072407,40.0,60.0
2018-06-17 18:07:13.184804,100.0,0.0
2018-06-17 18:12:13.297152,100.0,0.0
2018-06-17 18:17:13.405315,100.0,0.0
2018-06-17 18:22:13.430648,0.0,100.0
2018-06-17 18:27:13.516715,100.0,0.0
2018-06-17 18:32:13.625771,91.0,10.0
2018-06-17 18:37:13.681136,100.0,0.0
2018-06-17 18:42:13.720718,100.0,0.0
2018-06-17 18:47:13.739766,100.0,0.0
2018-06-17 18:52:13.834059,80.0,20.0
2018-06-17 18:57:13.926027,72.0,29.0
2018-06-17 19:02:14.027082,78.0,23.0
2018-06-17 19:07:14.125447,77.0,24.0
2018-06-17 19:12:14.231410,43.0,58.0
2018-06-17 19:17:14.309830,59.0,42.0
2018-06-17 19:22:14.377606,52.0,49.0
2018-06-17 19:27:14.467868,55.0,46.0
2018-06-17 19:32:14.583223,81.0,20.0
2018-06-17 19:37:14.669493,80.0,20.0
2018-06-17 19:42:14.741102,65.0,36.0
2018-06-17 19:47:14.855963,71.0,30.0
2018-06-17 19:52:14.926229,66.0,35.0
2018-06-17 19:57:15.024456,65.0,35.0
2018-06-17 20:02:15.142802,77.0,24.0
2018-06-17 20:07:15.205871,65.0,36.0
2018-06-17 20:12:15.285869,83.0,18.0
2018-06-17 20:17:15.411178,72.0,29.0
2018-06-17 20:22:15.550986,78.0,23.0
2018-06-17 20:27:15.675239,86.0,15.0
2018-06-17 20:32:15.821460,72.0,29.0
2018-06-17 20:37:15.971030,74.0,27.0
2018-06-17 20:42:16.133503,73.0,28.0
2018-06-17 20:47:16.295692,81.0,20.0
2018-06-17 20:52:16.472580,67.0,34.0
2018-06-17 20:57:16.632372,68.0,33.0
2018-06-17 21:02:16.788463,80.0,21.0
2018-06-17 21:07:16.934184,70.0,30.0
2018-06-17 21:12:17.103317,60.0,41.0
2018-06-17 21:17:17.243884,77.0,24.0
2018-06-17 21:22:17.419776,45.0,56.0
2018-06-17 21:27:17.534365,58.0,43.0
2018-06-17 21:32:17.700072,68.0,33.0
2018-06-17 21:37:17.896242,65.0,36.0
2018-06-17 21:42:18.016228,56.0,45.0
2018-06-17 21:47:18.193085,61.0,40.0
2018-06-17 21:52:18.365973,66.0,35.0
2018-06-17 21:57:18.540599,66.0,35.0
2018-06-17 22:02:18.724504,67.0,34.0
2018-06-17 22:07:18.821667,82.0,19.0
2018-06-17 22:12:19.032796,88.0,13.0
2018-06-17 22:17:19.218669,83.0,18.0
2018-06-17 22:22:19.422352,74.0,27.0
2018-06-17 22:27:19.556957,77.0,24.0
2018-06-17 22:32:19.732249,79.0,22.0
2018-06-17 22:37:19.866511,68.0,32.0
2018-06-17 22:42:20.048417,78.0,23.0
2018-06-17 22:47:20.222951,100.0,0.0
2018-06-17 22:52:20.383709,95.0,6.0
2018-06-17 22:57:20.588315,74.0,27.0
