Time,Positive,Negative
2018-07-03 19:03:20.018167,65.0,36.0
2018-07-03 19:08:20.101325,76.0,25.0
2018-07-03 19:13:20.240190,72.0,29.0
2018-07-03 19:18:20.325561,75.0,26.0
2018-07-03 19:23:20.486929,76.0,24.0
2018-07-03 19:28:20.670706,77.0,24.0
2018-07-03 19:33:20.879453,74.0,27.0
2018-07-03 19:38:21.054708,68.0,33.0
2018-07-03 19:43:21.293873,75.0,26.0
2018-07-03 19:48:21.568968,80.0,21.0
2018-07-03 19:53:21.846698,77.0,24.0
2018-07-03 19:58:22.135934,73.0,28.0
2018-07-03 20:03:22.521872,70.0,31.0
2018-07-03 20:08:22.785369,72.0,29.0
2018-07-03 20:13:23.158382,67.0,34.0
2018-07-03 20:18:23.529575,66.0,35.0
2018-07-03 20:23:23.982548,68.0,33.0
2018-07-03 20:28:24.440029,68.0,33.0
2018-07-03 20:33:24.896235,63.0,38.0
2018-07-03 20:38:25.481510,57.0,44.0
2018-07-03 20:43:26.057721,53.0,48.0
2018-07-03 20:48:26.753082,53.0,48.0
2018-07-03 20:53:27.420479,49.0,52.0
2018-07-03 20:58:28.246410,45.0,56.0
2018-07-03 21:03:29.127455,49.0,52.0
2018-07-03 21:08:30.026124,53.0,48.0
2018-07-03 21:13:30.930920,57.0,44.0
2018-07-03 21:18:31.960323,48.0,53.0
2018-07-03 21:23:33.140825,52.0,49.0
2018-07-03 21:28:34.443287,51.0,50.0
2018-07-03 21:33:36.196933,52.0,49.0
2018-07-03 21:38:37.912660,53.0,48.0
2018-07-03 21:43:39.540594,51.0,50.0
2018-07-03 21:48:41.625296,50.0,51.0
2018-07-03 21:53:43.454506,49.0,52.0
2018-07-03 21:58:45.703722,57.0,44.0
2018-07-03 22:03:47.957651,72.0,29.0
2018-07-03 22:08:50.576609,70.0,31.0
2018-07-03 22:13:53.244032,68.0,33.0
2018-07-03 22:18:56.003896,63.0,38.0
2018-07-03 22:23:58.995675,62.0,39.0
2018-07-03 22:29:01.979431,63.0,38.0
2018-07-03 22:34:04.728774,64.0,37.0
2018-07-03 22:39:08.061326,58.0,43.0
2018-07-03 22:44:11.648975,57.0,44.0
2018-07-03 22:49:15.031550,67.0,34.0
2018-07-03 22:54:18.896156,65.0,36.0
2018-07-03 22:59:22.641555,72.0,29.0
2018-07-03 23:04:26.890482,72.0,29.0
2018-07-03 23:09:31.108071,72.0,29.0
2018-07-03 23:14:35.396469,69.0,32.0
2018-07-03 23:19:39.812964,74.0,27.0
2018-07-03 23:24:43.869250,73.0,28.0
2018-07-03 23:29:48.524544,71.0,30.0
2018-07-03 23:34:53.400267,71.0,30.0
2018-07-03 23:39:58.120648,69.0,32.0
2018-07-03 23:45:02.751428,69.0,32.0
2018-07-03 23:50:07.523379,72.0,29.0
2018-07-03 23:55:12.316389,71.0,30.0
2018-07-04 00:00:17.423030,70.0,31.0
2018-07-04 00:05:22.224853,69.0,32.0
2018-07-04 00:10:27.719788,70.0,31.0
2018-07-04 00:15:32.761018,72.0,29.0
2018-07-04 00:20:37.204721,69.0,32.0
2018-07-04 00:25:42.327013,71.0,30.0
2018-07-04 00:30:47.101836,74.0,27.0
2018-07-04 00:35:52.321106,65.0,36.0
2018-07-04 00:40:56.783168,72.0,29.0
2018-07-04 00:46:01.801791,73.0,28.0
2018-07-04 00:51:07.123170,73.0,28.0
2018-07-04 00:56:11.995663,75.0,26.0
2018-07-04 01:01:16.755189,77.0,24.0
2018-07-04 01:06:22.132847,73.0,28.0
2018-07-04 01:11:27.161527,74.0,27.0
2018-07-04 01:16:32.231053,72.0,29.0
2018-07-04 01:21:37.451559,71.0,30.0
