Time,Positive,Negative
2018-07-11 15:48:55.767137,85.0,16.0
2018-07-11 15:49:34.681625,85.0,16.0
2018-07-11 15:51:28.872475,86.0,15.0
2018-07-11 15:56:28.993465,76.0,25.0
2018-07-11 16:01:29.099842,81.0,20.0
2018-07-11 16:06:29.191955,80.0,21.0
2018-07-11 16:11:29.285589,76.0,25.0
2018-07-11 16:16:29.393625,79.0,22.0
2018-07-11 16:21:29.527785,78.0,23.0
2018-07-11 16:26:29.667443,87.0,14.0
2018-07-11 16:31:29.714834,74.0,27.0
2018-07-11 16:36:29.828607,80.0,21.0
2018-07-11 16:41:29.922292,82.0,19.0
2018-07-11 16:46:30.056344,82.0,19.0
2018-07-11 16:51:30.207790,76.0,25.0
2018-07-11 16:56:30.357056,78.0,23.0
2018-07-11 17:01:30.514385,82.0,19.0
2018-07-11 17:06:30.620405,80.0,21.0
2018-07-11 17:11:30.708797,72.0,29.0
2018-07-11 17:16:30.879900,74.0,27.0
2018-07-11 17:21:31.053009,73.0,27.0
2018-07-11 17:26:31.228722,83.0,18.0
2018-07-11 17:31:31.384830,81.0,20.0
2018-07-11 17:36:31.569265,80.0,21.0
2018-07-11 17:41:31.751818,78.0,23.0
2018-07-11 17:46:31.944170,78.0,23.0
2018-07-11 17:51:32.137859,80.0,21.0
2018-07-11 17:56:32.341239,80.0,21.0
2018-07-11 18:01:32.507060,79.0,22.0
2018-07-11 18:06:32.711992,79.0,22.0
2018-07-11 18:11:32.921983,76.0,25.0
2018-07-11 18:16:33.139253,80.0,21.0
2018-07-11 18:21:33.343109,88.0,13.0
2018-07-11 18:26:33.579394,87.0,14.0
2018-07-11 18:31:33.765912,90.0,11.0
2018-07-11 18:36:34.000906,93.0,8.0
2018-07-11 18:41:34.283641,89.0,12.0
2018-07-11 18:46:34.552257,92.0,9.0
2018-07-11 18:51:34.891704,87.0,14.0
2018-07-11 18:56:35.249365,88.0,13.0
2018-07-11 19:01:35.620025,84.0,17.0
2018-07-11 19:06:35.916796,82.0,19.0
2018-07-11 19:11:36.230370,80.0,21.0
2018-07-11 19:16:36.625741,84.0,17.0
2018-07-11 19:21:37.055014,76.0,25.0
2018-07-11 19:26:37.486049,75.0,25.0
2018-07-11 19:31:37.900035,76.0,25.0
2018-07-11 19:36:38.455271,80.0,21.0
2018-07-11 19:41:39.022327,79.0,22.0
2018-07-11 19:46:39.507923,80.0,21.0
2018-07-11 19:51:40.143661,81.0,20.0
2018-07-11 19:56:40.785473,75.0,26.0
2018-07-11 20:01:41.532999,76.0,25.0
2018-07-11 20:06:42.395923,78.0,23.0
2018-07-11 20:11:43.373721,88.0,13.0
2018-07-11 20:16:44.419608,88.0,13.0
2018-07-11 20:21:45.582184,82.0,19.0
2018-07-11 20:26:46.864766,83.0,18.0
2018-07-11 20:31:48.109230,76.0,25.0
2018-07-11 20:36:49.526571,79.0,22.0
2018-07-11 20:41:51.007473,76.0,25.0
2018-07-11 20:46:52.576682,75.0,26.0
2018-07-11 20:51:54.235082,79.0,22.0
2018-07-11 20:56:55.969872,77.0,24.0
2018-07-11 21:01:57.767848,80.0,21.0
2018-07-11 21:06:59.857385,70.0,31.0
2018-07-11 21:12:01.836449,72.0,29.0
2018-07-11 21:17:03.689984,70.0,31.0
2018-07-11 21:22:05.904491,67.0,34.0
2018-07-11 21:27:08.204221,59.0,42.0
2018-07-11 21:32:10.613442,58.0,43.0
2018-07-11 21:37:13.318540,66.0,35.0
2018-07-11 21:42:15.655203,68.0,33.0
2018-07-11 21:47:18.448882,68.0,33.0
2018-07-11 21:52:21.285967,68.0,33.0
2018-07-11 21:57:24.126735,63.0,38.0
2018-07-11 22:02:27.107365,64.0,37.0
2018-07-11 22:07:30.207173,62.0,39.0
2018-07-11 22:12:33.353409,61.0,40.0
2018-07-11 22:17:36.615932,63.0,38.0
2018-07-11 22:22:39.990556,59.0,42.0
2018-07-11 22:27:43.580182,58.0,43.0
2018-07-11 22:32:47.301372,62.0,39.0
2018-07-11 22:37:51.183918,62.0,39.0
2018-07-11 22:42:55.302235,75.0,26.0
2018-07-11 22:47:59.618903,75.0,26.0
2018-07-11 22:53:03.672556,73.0,28.0
2018-07-11 22:58:08.321490,72.0,29.0
2018-07-11 23:03:13.256827,73.0,28.0
2018-07-11 23:08:18.032065,71.0,30.0
2018-07-11 23:13:23.222215,71.0,30.0
