Time,Positive,Negative
2018-06-30 11:55:12.267882,87.0,14.0
2018-06-30 12:00:12.553378,85.0,16.0
2018-06-30 12:05:12.838179,64.0,37.0
2018-06-30 12:10:13.196900,53.0,48.0
2018-06-30 12:15:13.474504,58.0,43.0
2018-06-30 12:20:13.792445,64.0,37.0
2018-06-30 12:25:14.124163,68.0,33.0
2018-06-30 12:30:14.503287,69.0,32.0
2018-06-30 12:35:14.837623,72.0,29.0
2018-06-30 12:40:15.246761,71.0,30.0
2018-06-30 12:45:15.656968,70.0,31.0
2018-06-30 12:50:16.022085,73.0,28.0
2018-06-30 12:55:16.471703,74.0,27.0
2018-06-30 13:00:16.940173,74.0,27.0
2018-06-30 13:05:17.410384,75.0,26.0
2018-06-30 13:10:17.792791,77.0,24.0
2018-06-30 13:15:18.241626,79.0,22.0
2018-06-30 13:20:18.701366,76.0,25.0
2018-06-30 13:25:19.125811,76.0,25.0
2018-06-30 13:30:19.691927,82.0,19.0
2018-06-30 13:35:20.226764,78.0,23.0
2018-06-30 13:40:20.709671,74.0,27.0
2018-06-30 13:45:21.234840,76.0,25.0
2018-06-30 13:50:21.822521,77.0,24.0
2018-06-30 13:55:22.367216,80.0,21.0
2018-06-30 14:00:23.024828,81.0,20.0
2018-06-30 14:05:23.626339,87.0,14.0
2018-06-30 14:10:24.260568,83.0,18.0
2018-06-30 14:15:24.891830,76.0,25.0
2018-06-30 14:20:25.602374,79.0,22.0
2018-06-30 14:25:26.264234,81.0,20.0
2018-06-30 14:30:26.936317,80.0,21.0
2018-06-30 14:35:27.700968,82.0,19.0
2018-06-30 14:40:28.500178,79.0,22.0
2018-06-30 14:45:29.274044,73.0,28.0
2018-06-30 14:50:30.035917,75.0,26.0
2018-06-30 14:55:30.917837,79.0,22.0
2018-06-30 15:00:31.824350,80.0,21.0
2018-06-30 15:05:32.888928,79.0,22.0
2018-06-30 15:10:33.854610,80.0,21.0
2018-06-30 15:15:34.902068,80.0,21.0
2018-06-30 15:20:36.053278,80.0,21.0
2018-06-30 15:25:37.192665,76.0,25.0
2018-06-30 15:30:38.457187,74.0,27.0
2018-06-30 15:35:39.616289,79.0,22.0
2018-06-30 15:40:40.964192,78.0,23.0
2018-06-30 15:45:42.261373,80.0,21.0
2018-06-30 15:50:43.728273,83.0,18.0
2018-06-30 15:55:45.303991,80.0,21.0
2018-06-30 16:00:46.795939,79.0,22.0
2018-06-30 16:05:48.615599,69.0,32.0
2018-06-30 16:10:50.292363,73.0,28.0
2018-06-30 16:15:52.313512,79.0,22.0
2018-06-30 16:20:54.458488,75.0,26.0
2018-06-30 16:25:56.780995,69.0,32.0
2018-06-30 16:30:59.446237,71.0,30.0
2018-06-30 16:36:02.191809,69.0,32.0
2018-06-30 16:41:05.058700,65.0,36.0
2018-06-30 16:46:08.069537,71.0,30.0
2018-06-30 16:51:11.008904,73.0,28.0
2018-06-30 16:56:14.405059,73.0,28.0
2018-06-30 17:01:18.096707,78.0,23.0
2018-06-30 17:06:21.736713,73.0,28.0
2018-06-30 17:11:25.617228,65.0,36.0
2018-06-30 17:16:29.470310,66.0,35.0
2018-06-30 17:21:33.792974,79.0,22.0
2018-06-30 17:26:38.119986,74.0,27.0
2018-06-30 17:31:42.888082,71.0,30.0
2018-06-30 17:36:47.565134,65.0,36.0
2018-06-30 17:41:52.762983,63.0,38.0
2018-06-30 17:46:57.821259,68.0,33.0
2018-06-30 17:52:03.320945,68.0,33.0
2018-06-30 17:57:09.219521,63.0,38.0
2018-06-30 18:02:14.975662,67.0,34.0
2018-06-30 18:07:20.817319,72.0,29.0
2018-06-30 18:12:26.800113,75.0,26.0
2018-06-30 18:17:33.322440,74.0,27.0
2018-06-30 18:22:40.010787,72.0,29.0
2018-06-30 18:27:47.137480,73.0,28.0
2018-06-30 18:32:54.027590,74.0,27.0
2018-06-30 18:38:01.112464,74.0,27.0
2018-06-30 18:43:08.301304,75.0,26.0
2018-06-30 18:48:15.491178,74.0,27.0
2018-06-30 18:53:23.084485,74.0,27.0
2018-06-30 18:58:30.953245,76.0,25.0
2018-06-30 19:03:38.528704,75.0,26.0
2018-06-30 19:08:46.625065,74.0,27.0
