Count,Nation
33.0,FRA
30.0,USA
8.0,BGD
6.0,GBR
4.0,NGA
4.0,ZAF
2.0,IND
2.0,CAN
2.0,KEN
1.0,PRT
1.0,GHA
1.0,URY
1.0,ESP
1.0,IDN
1.0,ITA
1.0,BEL
1.0,ARG
1.0,DEU
1.0,IRL
1.0,DNK
1.0,JEY
1.0,SEN
1.0,GEO
1.0,JAM
1.0,AZE
1.0,VEN
1.0,UGA
1.0,AUT
1.0,PHL
1.0,MCO
1.0,PER
1.0,REU
1.0,SGP
1.0,RUS
1.0,GLP
1.0,CHL
1.0,RWA
1.0,SWE
1.0,ARE
1.0,MYS
1.0,BRA
1.0,LBY
1.0,MAR
1.0,MTQ
1.0,ZWE
1.0,HKG
1.0,FIN
1.0,CIV
1.0,AFG
1.0,DZA
1.0,PAK
1.0,NPL
1.0,GMB
1.0,POL
1.0,NZL
1.0,UKR
1.0,EGY
1.0,BRB
1.0,ECU
1.0,COL
1.0,ISR
1.0,MDV
1.0,NLD
1.0,LKA
1.0,ZMB
1.0,VNM
1.0,OMN
1.0,CHE
1.0,MEX
1.0,TZA
1.0,BWA
1.0,PAN
