Time,Positive,Negative,Neutral
2018-06-09 18:21:00,4.0,3.0,3.0
2018-06-09 18:26:00,3.0,3.0,4.0
2018-06-09 18:31:00,2.0,2.0,2.0
2018-06-09 18:36:00,2.0,2.0,2.0
2018-06-09 18:41:00,3.0,1.0,3.0
2018-06-09 18:46:00,3.0,4.0,2.0
2018-06-09 18:51:00,3.0,1.0,2.0
2018-06-09 18:56:00,6.0,2.0,3.0
2018-06-09 19:01:00,5.0,3.0,3.0
2018-06-09 19:06:00,7.0,5.0,4.0
2018-06-09 19:11:00,6.0,6.0,5.0
2018-06-09 19:16:00,4.0,6.0,3.0
2018-06-09 19:21:00,5.0,5.0,5.0
2018-06-09 19:26:00,3.0,2.0,2.0
2018-06-09 19:31:00,4.0,2.0,3.0
2018-06-09 19:36:00,4.0,3.0,4.0
2018-06-09 19:41:00,3.0,6.0,4.0
2018-06-09 19:46:00,2.0,4.0,1.0
2018-06-09 19:51:00,0.0,0.0,0.0
2018-06-09 19:56:00,0.0,0.0,0.0
2018-06-09 20:01:00,0.0,0.0,0.0
2018-06-09 20:06:00,0.0,0.0,0.0
2018-06-09 20:11:00,0.0,0.0,0.0
2018-06-09 20:16:00,0.0,0.0,0.0
2018-06-09 20:21:00,0.0,0.0,0.0
2018-06-09 20:26:00,0.0,0.0,0.0
2018-06-09 20:31:00,0.0,0.0,0.0
2018-06-09 20:36:00,0.0,0.0,0.0
2018-06-09 20:41:00,0.0,0.0,0.0
2018-06-09 20:46:00,0.0,0.0,0.0
2018-06-09 20:51:00,2.0,3.0,7.0
2018-06-09 20:56:00,7.0,8.0,12.0
2018-06-09 21:01:00,8.0,9.0,11.0
2018-06-09 21:06:00,12.0,12.0,10.0
2018-06-09 21:11:00,7.0,9.0,7.0
2018-06-09 21:16:00,4.0,6.0,5.0
2018-06-09 21:21:00,2.0,6.0,4.0
