Time,Positive,Negative
2018-06-19 15:22:53.209592,88.0,13.0
2018-06-19 15:27:53.282844,84.0,17.0
2018-06-19 15:32:53.399043,80.0,21.0
2018-06-19 15:37:53.515764,90.0,11.0
2018-06-19 15:42:53.636556,82.0,19.0
2018-06-19 15:47:53.728023,91.0,10.0
2018-06-19 15:52:53.854135,87.0,14.0
2018-06-19 15:57:53.982673,87.0,14.0
2018-06-19 16:02:54.029584,87.0,14.0
2018-06-19 16:07:54.153470,90.0,11.0
2018-06-19 16:12:54.230870,84.0,17.0
2018-06-19 16:17:54.403474,81.0,20.0
2018-06-19 16:22:54.577708,86.0,15.0
2018-06-19 16:27:54.752295,84.0,17.0
2018-06-19 16:32:54.939415,88.0,13.0
2018-06-19 16:37:55.128979,92.0,9.0
2018-06-19 16:42:55.307683,91.0,10.0
2018-06-19 16:47:55.530591,91.0,10.0
2018-06-19 16:52:55.772082,86.0,15.0
2018-06-19 16:57:55.968239,85.0,16.0
2018-06-19 17:02:56.235984,75.0,26.0
2018-06-19 17:07:56.454295,73.0,28.0
2018-06-19 17:12:56.770311,71.0,30.0
2018-06-19 17:17:57.105768,73.0,28.0
2018-06-19 17:22:57.458432,72.0,29.0
2018-06-19 17:27:57.727671,75.0,26.0
2018-06-19 17:32:58.109016,69.0,32.0
2018-06-19 17:37:58.517377,73.0,28.0
2018-06-19 17:42:58.968728,76.0,25.0
2018-06-19 17:47:59.449716,72.0,29.0
2018-06-19 17:53:00.069774,73.0,28.0
2018-06-19 17:58:00.700723,79.0,22.0
2018-06-19 18:03:01.305143,80.0,20.0
2018-06-19 18:08:02.005227,74.0,27.0
2018-06-19 18:13:02.786540,75.0,26.0
2018-06-19 18:18:03.489481,74.0,27.0
2018-06-19 18:23:04.288648,67.0,34.0
2018-06-19 18:28:05.309891,67.0,34.0
2018-06-19 18:33:06.356595,67.0,34.0
2018-06-19 18:38:07.390288,71.0,30.0
2018-06-19 18:43:08.587447,70.0,31.0
2018-06-19 18:48:09.679315,66.0,35.0
2018-06-19 18:53:10.903388,60.0,41.0
2018-06-19 18:58:12.317289,85.0,16.0
2018-06-19 19:03:13.792924,86.0,15.0
2018-06-19 19:08:15.374529,82.0,19.0
2018-06-19 19:13:17.219545,78.0,23.0
2018-06-19 19:18:18.841819,79.0,22.0
2018-06-19 19:23:20.659448,77.0,24.0
2018-06-19 19:28:22.458634,77.0,24.0
2018-06-19 19:33:24.390516,79.0,22.0
2018-06-19 19:38:26.103445,79.0,22.0
2018-06-19 19:43:28.154448,79.0,22.0
2018-06-19 19:48:30.118748,77.0,24.0
2018-06-19 19:53:31.945848,80.0,21.0
2018-06-19 19:58:34.082706,78.0,23.0
2018-06-19 20:03:36.130557,82.0,19.0
