Time,Positive,Negative
2018-07-07 16:00:21.428124,80.0,20.0
2018-07-07 16:05:21.531886,96.0,5.0
2018-07-07 16:10:21.628951,89.0,12.0
2018-07-07 16:15:21.706467,91.0,10.0
2018-07-07 16:20:21.815061,92.0,8.0
2018-07-07 16:25:21.903187,94.0,7.0
2018-07-07 16:30:22.018603,96.0,5.0
2018-07-07 16:35:22.135884,98.0,3.0
2018-07-07 16:40:22.204319,96.0,5.0
2018-07-07 16:45:22.315174,90.0,11.0
2018-07-07 16:50:22.379629,92.0,8.0
2018-07-07 16:55:22.469114,89.0,12.0
2018-07-07 17:00:22.583525,89.0,12.0
2018-07-07 17:05:22.682075,93.0,8.0
2018-07-07 17:10:22.752578,99.0,2.0
2018-07-07 17:15:22.846868,92.0,9.0
2018-07-07 17:20:22.923756,95.0,6.0
2018-07-07 17:25:22.996845,87.0,14.0
2018-07-07 17:30:23.108685,79.0,22.0
2018-07-07 17:35:23.183343,90.0,11.0
2018-07-07 17:40:23.294525,90.0,11.0
2018-07-07 17:45:23.370453,67.0,34.0
2018-07-07 17:50:23.491282,85.0,16.0
2018-07-07 17:55:23.612822,86.0,15.0
2018-07-07 18:00:23.729105,93.0,8.0
2018-07-07 18:05:23.865666,94.0,7.0
2018-07-07 18:10:23.939103,93.0,8.0
2018-07-07 18:15:24.081533,92.0,9.0
2018-07-07 18:20:24.220422,93.0,8.0
2018-07-07 18:25:24.366734,91.0,10.0
2018-07-07 18:30:24.461396,89.0,12.0
2018-07-07 18:35:24.611315,93.0,8.0
2018-07-07 18:40:24.757389,90.0,10.0
2018-07-07 18:45:24.903853,85.0,16.0
2018-07-07 18:50:25.030224,87.0,14.0
2018-07-07 18:55:25.195965,96.0,5.0
2018-07-07 19:00:25.314478,82.0,19.0
2018-07-07 19:05:25.490772,81.0,20.0
2018-07-07 19:10:25.640777,88.0,13.0
2018-07-07 19:15:25.808483,87.0,14.0
2018-07-07 19:20:25.979380,88.0,13.0
2018-07-07 22:05:31.150774,62.0,39.0
2018-07-07 22:06:13.101145,61.0,40.0
2018-07-07 22:11:13.341629,59.0,42.0
2018-07-07 22:16:13.675637,59.0,42.0
2018-07-07 22:21:14.078106,38.0,63.0
2018-07-07 22:22:10.044600,38.0,63.0
2018-07-07 22:26:14.554091,53.0,48.0
2018-07-07 22:27:10.536044,56.0,45.0
2018-07-07 22:31:15.138812,59.0,42.0
2018-07-07 22:32:11.130889,61.0,40.0
2018-07-07 22:36:15.953699,68.0,33.0
2018-07-07 22:37:11.898325,68.0,33.0
2018-07-07 22:41:16.918895,68.0,33.0
2018-07-07 22:42:12.950138,67.0,34.0
2018-07-07 22:46:18.091239,64.0,37.0
2018-07-07 22:47:14.089516,62.0,39.0
2018-07-07 22:51:19.326005,58.0,43.0
2018-07-07 22:52:15.434044,63.0,38.0
2018-07-07 22:56:20.817893,70.0,31.0
2018-07-07 22:57:16.969751,69.0,32.0
2018-07-07 23:01:22.589638,70.0,31.0
2018-07-07 23:02:18.834275,70.0,31.0
2018-07-07 23:06:24.328249,73.0,28.0
2018-07-07 23:07:20.483608,74.0,27.0
2018-07-07 23:11:26.265738,76.0,25.0
2018-07-07 23:12:22.510163,76.0,25.0
2018-07-07 23:16:28.308616,78.0,23.0
2018-07-07 23:17:24.544819,78.0,23.0
2018-07-07 23:21:30.312454,76.0,25.0
2018-07-07 23:22:26.655067,76.0,25.0
2018-07-07 23:26:32.413524,74.0,27.0
2018-07-07 23:27:28.591232,74.0,27.0
2018-07-07 23:31:34.610007,76.0,25.0
2018-07-07 23:32:30.782171,75.0,26.0
2018-07-07 23:36:36.817632,72.0,29.0
2018-07-07 23:37:32.930296,73.0,28.0
2018-07-07 23:41:39.058149,74.0,27.0
2018-07-07 23:42:35.350245,74.0,27.0
2018-07-07 23:46:41.533197,74.0,27.0
2018-07-07 23:47:37.457025,72.0,29.0
2018-07-07 23:51:43.657199,74.0,27.0
2018-07-07 23:52:39.925760,75.0,26.0
2018-07-07 23:56:46.208279,76.0,25.0
2018-07-07 23:57:42.349985,78.0,23.0
