Time,Positive,Negative
2018-06-27 14:22:39.763826,100.0,0.0
2018-06-27 14:27:39.833817,100.0,0.0
2018-06-27 14:32:39.899761,100.0,0.0
2018-06-27 14:37:39.945768,100.0,0.0
2018-06-27 14:42:39.956836,100.0,0.0
2018-06-27 14:47:40.067165,34.0,67.0
2018-06-27 14:52:40.176111,100.0,0.0
2018-06-27 15:02:40.273287,100.0,0.0
2018-06-27 15:07:40.355014,100.0,0.0
2018-06-27 15:12:40.437060,100.0,0.0
2018-06-27 15:17:40.520315,67.0,34.0
2018-06-27 15:22:40.604863,63.0,38.0
2018-06-27 15:27:40.688716,100.0,0.0
2018-06-27 15:32:40.772681,100.0,0.0
2018-06-27 15:37:40.881171,100.0,0.0
2018-06-27 15:42:40.939420,100.0,0.0
2018-06-27 15:47:41.050354,100.0,0.0
2018-06-27 15:52:41.151976,100.0,0.0
2018-06-27 15:57:41.199199,100.0,0.0
2018-06-27 16:02:41.275443,100.0,0.0
2018-06-27 16:12:41.468328,100.0,0.0
2018-06-27 16:17:41.540712,50.0,50.0
2018-06-27 16:22:41.646063,0.0,100.0
2018-06-27 16:27:41.715718,100.0,0.0
2018-06-27 16:32:41.803436,100.0,0.0
2018-06-27 16:37:41.888660,100.0,0.0
2018-06-27 16:42:41.986608,100.0,0.0
2018-06-27 16:47:42.081963,100.0,0.0
2018-06-27 16:52:42.170123,100.0,0.0
2018-06-27 16:57:42.280569,100.0,0.0
2018-06-27 17:02:42.366730,82.0,19.0
2018-06-27 17:07:42.474782,100.0,0.0
2018-06-27 17:12:42.560481,67.0,34.0
2018-06-27 17:17:42.578888,100.0,0.0
2018-06-27 17:22:42.666479,100.0,0.0
2018-06-27 17:27:42.756756,100.0,0.0
2018-06-27 17:32:42.856475,100.0,0.0
2018-06-27 17:37:42.951146,100.0,0.0
2018-06-27 17:42:43.027770,100.0,0.0
2018-06-27 17:47:43.119080,100.0,0.0
2018-06-27 17:52:43.211863,100.0,0.0
2018-06-27 17:57:43.304938,100.0,0.0
2018-06-27 18:02:43.396443,75.0,25.0
2018-06-27 18:07:43.499037,91.0,10.0
2018-06-27 18:12:43.613688,36.0,65.0
2018-06-27 18:17:43.707569,69.0,32.0
2018-06-27 18:22:43.772132,60.0,40.0
2018-06-27 18:27:43.875185,77.0,24.0
2018-06-27 18:32:43.967221,100.0,0.0
2018-06-27 18:37:44.053487,85.0,16.0
2018-06-27 18:42:44.163760,84.0,17.0
2018-06-27 18:47:44.243006,88.0,13.0
2018-06-27 18:52:44.354021,94.0,7.0
2018-06-27 18:57:44.465336,72.0,29.0
2018-06-27 19:02:44.572123,83.0,18.0
2018-06-27 19:07:44.673558,86.0,15.0
2018-06-27 19:12:44.790696,75.0,25.0
2018-06-27 19:17:44.906026,83.0,18.0
2018-06-27 19:22:44.993363,73.0,28.0
2018-06-27 19:27:45.068465,60.0,40.0
2018-06-27 19:32:45.182893,70.0,30.0
2018-06-27 19:37:45.305514,72.0,29.0
2018-06-27 19:42:45.423874,73.0,28.0
2018-06-27 19:47:45.487860,69.0,32.0
2018-06-27 19:52:45.578272,74.0,27.0
2018-06-27 19:57:45.628567,74.0,27.0
2018-06-27 20:02:45.771338,64.0,37.0
2018-06-27 20:07:45.873935,73.0,28.0
2018-06-27 20:12:45.966201,68.0,33.0
2018-06-27 20:17:46.104922,58.0,43.0
2018-06-27 20:22:46.204835,68.0,33.0
2018-06-27 20:27:46.346584,63.0,38.0
2018-06-27 20:32:46.438173,67.0,34.0
2018-06-27 20:37:46.573729,75.0,26.0
2018-06-27 20:42:46.686980,68.0,33.0
2018-06-27 20:47:46.823911,77.0,24.0
2018-06-27 20:52:46.911980,64.0,37.0
2018-06-27 20:57:47.042935,54.0,47.0
2018-06-27 21:02:47.154899,72.0,29.0
2018-06-27 21:07:47.308435,65.0,35.0
2018-06-27 21:12:47.481829,59.0,42.0
2018-06-27 21:17:47.622752,79.0,22.0
2018-06-27 21:22:47.775281,74.0,27.0
2018-06-27 21:27:47.938395,68.0,33.0
2018-06-27 21:32:48.106269,63.0,38.0
2018-06-27 21:37:48.260231,77.0,24.0
2018-06-27 21:42:48.431226,72.0,29.0
2018-06-27 21:47:48.582630,60.0,40.0
2018-06-27 21:52:48.712106,64.0,37.0
2018-06-27 21:57:48.821463,61.0,40.0
2018-06-27 22:02:48.951053,72.0,29.0
2018-06-27 22:07:49.143739,73.0,28.0
2018-06-27 22:12:49.311945,54.0,46.0
2018-06-27 22:17:49.499925,45.0,56.0
2018-06-27 22:22:49.698462,71.0,30.0
2018-06-27 22:27:49.908098,67.0,34.0
2018-06-27 22:32:50.110175,60.0,41.0
2018-06-27 22:37:50.297556,88.0,13.0
2018-06-27 22:42:50.517179,84.0,16.0
2018-06-27 22:47:50.661721,72.0,29.0
2018-06-27 22:52:50.842152,76.0,24.0
2018-06-27 22:57:50.972965,83.0,18.0
2018-06-27 23:02:51.180577,42.0,59.0
