Time,Positive,Negative
2018-07-01 12:58:31.294908,75.0,25.0
2018-07-01 13:03:31.359786,100.0,0.0
2018-07-01 13:08:31.427182,100.0,0.0
2018-07-01 13:13:31.505842,100.0,0.0
2018-07-01 13:18:31.561067,100.0,0.0
2018-07-01 13:23:31.659838,100.0,0.0
2018-07-01 13:28:31.718573,100.0,0.0
2018-07-01 13:33:31.807349,78.0,23.0
2018-07-01 13:38:31.909368,89.0,12.0
2018-07-01 13:43:31.980480,75.0,25.0
2018-07-01 13:48:32.063047,100.0,0.0
2018-07-01 13:53:32.168462,100.0,0.0
2018-07-01 13:58:32.258315,78.0,23.0
2018-07-01 14:03:32.328943,89.0,12.0
2018-07-01 14:08:32.440105,100.0,0.0
2018-07-01 14:13:32.509541,89.0,12.0
2018-07-01 14:18:32.545687,72.0,29.0
2018-07-01 14:23:32.633649,80.0,20.0
2018-07-01 14:28:32.685673,80.0,20.0
2018-07-01 14:33:32.757450,84.0,17.0
2018-07-01 14:38:32.868630,67.0,34.0
2018-07-01 14:43:32.959605,86.0,15.0
2018-07-01 14:48:33.043989,59.0,42.0
2018-07-01 14:53:33.105100,75.0,25.0
2018-07-01 14:58:33.218111,67.0,34.0
2018-07-01 15:03:33.292862,79.0,22.0
2018-07-01 15:08:33.360834,92.0,9.0
2018-07-01 15:13:33.447488,55.0,46.0
2018-07-01 15:18:33.550108,85.0,16.0
2018-07-01 15:23:33.656761,91.0,10.0
2018-07-01 15:28:33.675093,83.0,18.0
2018-07-01 15:33:33.703916,81.0,20.0
2018-07-01 15:38:33.789870,70.0,30.0
2018-07-01 15:43:33.889999,94.0,7.0
2018-07-01 15:48:33.974280,88.0,13.0
2018-07-01 15:53:34.071499,77.0,24.0
2018-07-01 15:58:34.139478,81.0,20.0
2018-07-01 16:03:34.253915,73.0,28.0
2018-07-01 16:08:34.362499,77.0,23.0
2018-07-01 16:13:34.486956,72.0,29.0
2018-07-01 16:18:34.572802,71.0,30.0
2018-07-01 16:23:34.687695,82.0,19.0
2018-07-01 16:28:34.761147,81.0,20.0
2018-07-01 16:33:34.898264,59.0,42.0
2018-07-01 16:38:35.046626,60.0,41.0
2018-07-01 16:43:35.134986,41.0,60.0
2018-07-01 16:48:35.278747,49.0,52.0
2018-07-01 16:53:35.429847,54.0,47.0
2018-07-01 16:58:35.517543,54.0,47.0
2018-07-01 17:03:35.704036,69.0,32.0
2018-07-01 17:08:35.803303,60.0,41.0
2018-07-01 17:13:35.974721,71.0,30.0
2018-07-01 17:18:36.156301,56.0,45.0
2018-07-01 17:23:36.287927,64.0,37.0
2018-07-01 17:28:36.443031,59.0,42.0
2018-07-01 17:33:36.621866,42.0,59.0
2018-07-01 17:38:36.816357,44.0,57.0
2018-07-01 17:43:37.012008,46.0,55.0
2018-07-01 17:48:37.202200,49.0,52.0
2018-07-01 17:53:37.397923,52.0,49.0
2018-07-01 17:58:37.551988,63.0,38.0
2018-07-01 18:03:37.764920,54.0,47.0
2018-07-01 18:08:37.937545,54.0,47.0
2018-07-01 18:13:38.147244,51.0,50.0
2018-07-01 18:18:38.368392,49.0,52.0
2018-07-01 18:23:38.590751,60.0,41.0
2018-07-01 18:28:38.793852,55.0,46.0
2018-07-01 18:33:39.011256,63.0,38.0
2018-07-01 18:38:39.196171,68.0,33.0
2018-07-01 18:43:39.388212,58.0,43.0
2018-07-01 18:48:39.661244,68.0,33.0
2018-07-01 18:53:39.955658,79.0,22.0
2018-07-01 18:58:40.230373,73.0,28.0
2018-07-01 19:03:40.567134,74.0,27.0
