Time,Positive,Negative
2018-07-07 13:35:10.556777,89.0,12.0
2018-07-07 13:40:10.655383,87.0,14.0
2018-07-07 13:45:10.745137,89.0,12.0
2018-07-07 13:50:10.835675,93.0,8.0
2018-07-07 13:55:10.887990,86.0,15.0
2018-07-07 14:00:11.012877,90.0,11.0
2018-07-07 14:05:11.081978,89.0,12.0
2018-07-07 14:10:11.218805,92.0,9.0
2018-07-07 14:15:11.353610,85.0,16.0
2018-07-07 14:20:11.473921,87.0,14.0
2018-07-07 14:25:11.613411,83.0,18.0
2018-07-07 14:30:11.769798,83.0,18.0
2018-07-07 14:35:11.924990,78.0,23.0
2018-07-07 14:40:12.039267,80.0,21.0
2018-07-07 14:45:12.236853,88.0,13.0
2018-07-07 14:50:12.336193,88.0,13.0
2018-07-07 14:55:12.518449,88.0,13.0
2018-07-07 15:00:12.707241,90.0,11.0
2018-07-07 15:05:12.895180,85.0,16.0
2018-07-07 15:10:13.146368,88.0,13.0
2018-07-07 15:15:13.366772,88.0,13.0
2018-07-07 15:20:13.618386,88.0,13.0
2018-07-07 15:25:13.827906,85.0,16.0
2018-07-07 15:30:14.145748,84.0,17.0
2018-07-07 15:35:14.467431,86.0,15.0
2018-07-07 15:40:14.780938,79.0,22.0
2018-07-07 15:45:15.053772,78.0,23.0
2018-07-07 15:50:15.342206,85.0,16.0
2018-07-07 15:55:15.744933,83.0,18.0
2018-07-07 16:00:16.176386,78.0,23.0
2018-07-07 16:05:16.578245,77.0,24.0
2018-07-07 16:10:17.076283,70.0,31.0
2018-07-07 16:15:17.588228,69.0,32.0
2018-07-07 16:20:18.202062,64.0,37.0
2018-07-07 16:25:18.816270,60.0,41.0
2018-07-07 16:30:19.386438,55.0,46.0
2018-07-07 16:35:20.126050,73.0,28.0
2018-07-07 16:40:20.955643,81.0,20.0
2018-07-07 16:45:21.795261,71.0,30.0
2018-07-07 16:50:22.839492,58.0,43.0
2018-07-07 16:55:23.865715,65.0,36.0
2018-07-07 17:00:25.104140,70.0,31.0
2018-07-07 17:05:26.321496,70.0,31.0
2018-07-07 17:10:27.625988,78.0,23.0
2018-07-07 17:15:28.984626,74.0,27.0
2018-07-07 17:20:30.379287,76.0,25.0
2018-07-07 17:25:32.119103,80.0,21.0
2018-07-07 17:30:33.706663,80.0,21.0
2018-07-07 17:35:35.606353,73.0,28.0
2018-07-07 17:40:37.241906,72.0,29.0
2018-07-07 17:45:39.246471,70.0,31.0
2018-07-07 17:50:41.151031,73.0,28.0
2018-07-07 17:55:43.307677,86.0,15.0
2018-07-07 18:00:45.567189,84.0,17.0
2018-07-07 18:05:47.689554,86.0,15.0
2018-07-07 18:10:50.153120,78.0,23.0
2018-07-07 18:15:52.505482,82.0,19.0
2018-07-07 18:20:55.168564,86.0,15.0
2018-07-07 18:25:57.567789,90.0,11.0
2018-07-07 18:31:00.345073,85.0,16.0
2018-07-07 18:36:02.726674,87.0,14.0
2018-07-07 18:41:05.466624,89.0,12.0
2018-07-07 18:46:08.146359,87.0,14.0
2018-07-07 18:51:11.018450,86.0,15.0
2018-07-07 18:56:13.471828,88.0,13.0
