Time,Positive,Negative
2018-07-03 14:06:00.445471,100.0,0.0
2018-07-03 14:11:00.494027,100.0,0.0
2018-07-03 14:16:00.551038,86.0,15.0
2018-07-03 14:21:00.647181,84.0,17.0
2018-07-03 14:26:00.660959,100.0,0.0
2018-07-03 14:31:00.762854,73.0,28.0
2018-07-03 14:36:00.851126,82.0,19.0
2018-07-03 14:41:00.946470,96.0,5.0
2018-07-03 14:46:01.058145,85.0,16.0
2018-07-03 14:51:01.072147,75.0,25.0
2018-07-03 14:56:01.173114,77.0,24.0
2018-07-03 15:01:01.266159,87.0,14.0
2018-07-03 15:06:01.363738,73.0,28.0
2018-07-03 15:11:01.475277,84.0,17.0
2018-07-03 15:16:01.580057,78.0,23.0
2018-07-03 15:21:01.676714,84.0,16.0
2018-07-03 15:26:01.739084,71.0,30.0
2018-07-03 15:31:01.844309,80.0,21.0
2018-07-03 15:36:01.910425,80.0,20.0
2018-07-03 15:41:02.014824,87.0,14.0
2018-07-03 15:46:02.119155,92.0,9.0
2018-07-03 15:51:02.211720,88.0,13.0
2018-07-03 15:56:02.296259,78.0,23.0
2018-07-03 16:01:02.412813,81.0,20.0
2018-07-03 16:06:02.476560,66.0,35.0
2018-07-03 16:11:02.576157,65.0,36.0
2018-07-03 16:16:02.666387,58.0,43.0
2018-07-03 16:21:02.780704,74.0,27.0
2018-07-03 16:26:02.896374,75.0,26.0
2018-07-03 16:31:03.004685,64.0,37.0
2018-07-03 16:36:03.100776,55.0,46.0
2018-07-03 16:41:03.190100,50.0,50.0
2018-07-03 16:46:03.291857,65.0,36.0
2018-07-03 16:51:03.408462,61.0,40.0
2018-07-03 16:56:03.512152,76.0,25.0
2018-07-03 17:01:03.585501,89.0,12.0
2018-07-03 17:06:03.672770,77.0,24.0
2018-07-03 17:11:03.761765,60.0,41.0
2018-07-03 17:16:03.873771,61.0,40.0
2018-07-03 17:21:03.969716,48.0,53.0
2018-07-03 17:26:04.038888,58.0,43.0
2018-07-03 17:31:04.151250,45.0,56.0
2018-07-03 17:36:04.269538,62.0,39.0
2018-07-03 17:41:04.301623,61.0,40.0
2018-07-03 17:46:04.400085,63.0,38.0
2018-07-03 17:51:04.483843,61.0,40.0
2018-07-03 17:56:04.575856,73.0,28.0
2018-07-03 18:01:04.682714,61.0,40.0
2018-07-03 18:06:04.753890,37.0,64.0
2018-07-03 18:11:04.866011,45.0,56.0
2018-07-03 18:16:04.934073,72.0,29.0
2018-07-03 18:21:05.023749,80.0,20.0
2018-07-03 18:26:05.138685,60.0,40.0
2018-07-03 18:31:05.202555,34.0,67.0
2018-07-03 18:36:05.298050,0.0,100.0
2018-07-03 18:41:05.385874,50.0,50.0
2018-07-03 18:46:05.472941,60.0,40.0
2018-07-03 18:51:05.582763,86.0,15.0
2018-07-03 18:56:05.680635,50.0,50.0
2018-07-03 19:01:05.766376,0.0,100.0
2018-07-03 19:06:05.843125,67.0,34.0
2018-07-03 19:11:05.963411,84.0,17.0
2018-07-03 19:16:06.068685,80.0,20.0
2018-07-03 19:21:06.219288,0.0,100.0
2018-07-03 19:26:06.316032,67.0,34.0
2018-07-03 19:31:06.447218,80.0,20.0
2018-07-03 19:36:06.582785,50.0,50.0
2018-07-03 19:41:06.692650,100.0,0.0
2018-07-03 19:46:06.818363,75.0,25.0
2018-07-03 19:51:06.938828,50.0,50.0
2018-07-03 19:56:07.051376,100.0,0.0
2018-07-03 20:01:07.183961,0.0,100.0
2018-07-03 20:06:07.298613,50.0,50.0
2018-07-03 20:16:07.506484,100.0,0.0
2018-07-03 20:21:07.591500,100.0,0.0
2018-07-03 20:26:07.709418,50.0,50.0
