Time,Positive,Negative
2018-07-06 10:15:04.463297,79.0,22.0
2018-07-06 10:20:04.556483,83.0,18.0
2018-07-06 10:25:04.672626,80.0,21.0
2018-07-06 10:30:04.746031,87.0,14.0
2018-07-06 10:35:04.865525,90.0,11.0
2018-07-06 10:40:04.966985,87.0,14.0
2018-07-06 10:45:05.046195,82.0,19.0
2018-07-06 10:50:05.149539,89.0,12.0
2018-07-06 10:55:05.214416,79.0,22.0
2018-07-06 11:00:05.301656,89.0,11.0
2018-07-06 11:05:05.432922,81.0,20.0
2018-07-06 11:10:05.542379,81.0,20.0
2018-07-06 11:15:05.673930,85.0,16.0
2018-07-06 11:20:05.784803,83.0,18.0
2018-07-06 11:25:05.896034,82.0,19.0
2018-07-06 11:30:06.050035,80.0,21.0
2018-07-06 11:35:06.176335,86.0,15.0
2018-07-06 11:40:06.319062,94.0,7.0
2018-07-06 11:45:06.464391,93.0,8.0
2018-07-06 11:50:06.581974,92.0,9.0
2018-07-06 11:55:06.694839,93.0,8.0
2018-07-06 12:00:06.853573,89.0,12.0
2018-07-06 12:05:06.977017,88.0,13.0
2018-07-06 12:10:07.146038,89.0,12.0
2018-07-06 12:15:07.318109,86.0,15.0
2018-07-06 12:20:07.477294,87.0,14.0
2018-07-06 12:25:07.664968,88.0,13.0
2018-07-06 12:30:07.817049,89.0,12.0
2018-07-06 12:35:07.964661,89.0,12.0
2018-07-06 12:40:08.129458,93.0,8.0
2018-07-06 12:45:08.316243,80.0,21.0
2018-07-06 12:50:08.432110,89.0,12.0
2018-07-06 12:55:08.603475,89.0,12.0
2018-07-06 13:00:08.793339,89.0,12.0
2018-07-06 13:05:08.966706,87.0,14.0
2018-07-06 13:10:09.173361,87.0,14.0
2018-07-06 13:15:09.380127,88.0,13.0
2018-07-06 13:20:09.514680,89.0,12.0
2018-07-06 13:25:09.755002,89.0,12.0
2018-07-06 13:30:09.993799,78.0,23.0
2018-07-06 13:35:10.228627,76.0,25.0
2018-07-06 13:40:10.488408,78.0,23.0
2018-07-06 13:45:10.712731,82.0,19.0
2018-07-06 13:50:10.970791,83.0,18.0
2018-07-06 13:55:11.189220,85.0,16.0
2018-07-06 14:00:11.442839,84.0,17.0
2018-07-06 14:05:11.669190,86.0,15.0
2018-07-06 14:10:11.922586,88.0,13.0
2018-07-06 14:15:12.212801,82.0,19.0
2018-07-06 14:20:12.485330,78.0,23.0
2018-07-06 14:25:12.741737,85.0,16.0
2018-07-06 14:30:13.024952,78.0,23.0
2018-07-06 14:35:13.340712,86.0,15.0
2018-07-06 14:40:13.688451,84.0,17.0
2018-07-06 14:45:13.990673,90.0,11.0
2018-07-06 14:50:14.331827,85.0,16.0
2018-07-06 14:55:14.675944,89.0,12.0
2018-07-06 15:00:15.075458,84.0,17.0
2018-07-06 15:05:15.435659,65.0,36.0
2018-07-06 15:10:15.758000,65.0,36.0
2018-07-06 15:15:16.183966,73.0,28.0
2018-07-06 15:20:16.603747,86.0,15.0
2018-07-06 15:25:17.035940,88.0,13.0
2018-07-06 15:30:17.525464,83.0,18.0
2018-07-06 15:35:18.054201,83.0,18.0
2018-07-06 15:40:18.607248,81.0,20.0
2018-07-06 15:45:19.167677,84.0,17.0
2018-07-06 15:50:19.708663,80.0,21.0
2018-07-06 15:55:20.369510,79.0,22.0
2018-07-06 16:00:21.006696,78.0,23.0
2018-07-06 16:05:21.757223,76.0,25.0
2018-07-06 16:10:22.581069,69.0,32.0
2018-07-06 16:15:23.421230,69.0,32.0
2018-07-06 16:20:24.273153,72.0,29.0
2018-07-06 16:25:25.257402,74.0,27.0
2018-07-06 16:30:26.250528,68.0,33.0
2018-07-06 16:35:27.409678,62.0,39.0
2018-07-06 16:40:28.465789,64.0,37.0
2018-07-06 16:45:29.851001,83.0,18.0
2018-07-06 16:50:31.298898,78.0,23.0
2018-07-06 16:55:32.890599,77.0,24.0
2018-07-06 17:00:34.578314,77.0,24.0
2018-07-06 17:05:36.327514,71.0,30.0
2018-07-06 17:10:37.984482,73.0,28.0
2018-07-06 17:15:39.930459,74.0,27.0
2018-07-06 17:20:41.928954,65.0,36.0
2018-07-06 17:25:44.050222,57.0,44.0
2018-07-06 17:30:46.312427,60.0,41.0
2018-07-06 17:35:48.436485,71.0,30.0
2018-07-06 17:40:50.932658,71.0,30.0
2018-07-06 17:45:53.367366,67.0,34.0
2018-07-06 17:50:55.861866,61.0,40.0
2018-07-06 17:55:58.669439,70.0,31.0
2018-07-06 18:01:01.783977,75.0,26.0
2018-07-06 18:06:04.449027,71.0,30.0
2018-07-06 18:11:07.658982,72.0,29.0
2018-07-06 18:16:10.874023,69.0,32.0
2018-07-06 18:21:14.064415,70.0,31.0
2018-07-06 18:26:17.603450,72.0,29.0
2018-07-06 18:31:20.969496,73.0,28.0
2018-07-06 18:36:24.051797,72.0,29.0
2018-07-06 18:41:27.618652,70.0,31.0
2018-07-06 18:46:30.975836,70.0,31.0
