Time,Positive,Negative
2018-06-20 16:45:27.299035,85.0,16.0
2018-06-20 16:50:27.386150,82.0,19.0
2018-06-20 16:55:27.509439,80.0,21.0
2018-06-20 17:00:27.636680,78.0,23.0
2018-06-20 17:05:27.758666,76.0,25.0
2018-06-20 17:10:27.901547,79.0,22.0
2018-06-20 17:15:28.061874,75.0,26.0
2018-06-20 17:20:28.150645,73.0,28.0
2018-06-20 17:25:28.347729,79.0,22.0
2018-06-20 17:30:28.456079,81.0,20.0
2018-06-20 17:35:28.685106,75.0,26.0
2018-06-20 17:40:28.904455,75.0,26.0
2018-06-20 17:45:29.134823,75.0,26.0
2018-06-20 17:50:29.387664,57.0,44.0
2018-06-20 17:55:29.675844,75.0,25.0
2018-06-20 18:00:29.890940,74.0,27.0
2018-06-20 18:05:30.198863,73.0,28.0
2018-06-20 18:10:30.493308,75.0,26.0
2018-06-20 18:15:30.737560,69.0,32.0
2018-06-20 18:20:31.078224,57.0,44.0
2018-06-20 18:25:31.446841,64.0,37.0
2018-06-20 18:30:31.768178,65.0,36.0
2018-06-20 18:35:32.118518,58.0,43.0
2018-06-20 18:40:32.492029,69.0,32.0
2018-06-20 18:45:32.811494,69.0,32.0
2018-06-20 18:50:33.219106,69.0,32.0
2018-06-20 18:55:33.642038,75.0,26.0
2018-06-20 19:00:34.087409,78.0,23.0
2018-06-20 19:05:34.552249,83.0,18.0
2018-06-20 19:10:35.023741,82.0,19.0
2018-06-20 19:15:35.524346,87.0,14.0
2018-06-20 19:20:35.975371,78.0,23.0
2018-06-20 19:25:36.456973,80.0,21.0
2018-06-20 19:30:36.997742,80.0,20.0
2018-06-20 19:35:37.502294,79.0,22.0
2018-06-20 19:40:37.930422,75.0,26.0
2018-06-20 19:45:38.452639,80.0,21.0
2018-06-20 19:50:38.934482,79.0,22.0
2018-06-20 19:55:39.429015,84.0,17.0
2018-06-20 20:00:39.974516,79.0,22.0
2018-06-20 20:05:40.487979,80.0,21.0
2018-06-20 20:10:41.079726,68.0,33.0
2018-06-20 20:15:41.630608,79.0,22.0
2018-06-20 20:20:42.111667,86.0,15.0
2018-06-20 20:25:42.665427,92.0,9.0
2018-06-20 20:30:43.264833,75.0,26.0
2018-06-20 20:35:43.814154,92.0,9.0
2018-06-20 20:40:44.361940,78.0,23.0
2018-06-20 20:45:44.979033,84.0,17.0
2018-06-20 20:50:45.480874,87.0,14.0
